<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWZ.US,5,20250728,153000,22.8402,22.8402,22.8,22.83,10617,0
PWZ.US,5,20250728,154000,22.83,22.83,22.83,22.83,100,0
PWZ.US,5,20250728,154500,22.83,22.83,22.83,22.83,846,0
PWZ.US,5,20250728,155000,22.82,22.82,22.81,22.8189,500,0
PWZ.US,5,20250728,160000,22.815,22.83,22.815,22.83,51225,0
PWZ.US,5,20250728,160500,22.83,22.845,22.83,22.84,87704,0
PWZ.US,5,20250728,161000,22.835,22.85,22.835,22.845,131961,0
PWZ.US,5,20250728,161500,22.845,22.86,22.845,22.855,77007,0
PWZ.US,5,20250728,162000,22.855,22.86,22.845,22.8497,18676,0
PWZ.US,5,20250728,162500,22.8458,22.8499,22.84,22.8499,24627,0
PWZ.US,5,20250728,163000,22.8316,22.85,22.8316,22.845,5726,0
PWZ.US,5,20250728,163500,22.8492,22.8492,22.84,22.845,2405,0
PWZ.US,5,20250728,164000,22.845,22.845,22.84,22.845,5679,0
PWZ.US,5,20250728,164500,22.845,22.85,22.835,22.835,20999,0
PWZ.US,5,20250728,165000,22.83,22.84,22.82,22.82,89588,0
PWZ.US,5,20250728,165500,22.8286,22.8286,22.8102,22.815,9785,0
PWZ.US,5,20250728,170000,22.8199,22.8199,22.8,22.8,19092,0
PWZ.US,5,20250728,170500,22.805,22.809,22.805,22.809,2842,0
PWZ.US,5,20250728,171000,22.805,22.81,22.8013,22.805,2617,0
PWZ.US,5,20250728,171500,22.805,22.815,22.805,22.815,10093,0
PWZ.US,5,20250728,172000,22.81,22.8188,22.81,22.815,5090,0
PWZ.US,5,20250728,172500,22.81,22.82,22.81,22.8135,8031,0
PWZ.US,5,20250728,173000,22.815,22.815,22.815,22.815,200,0
PWZ.US,5,20250728,173500,22.81,22.8185,22.81,22.8185,355,0
PWZ.US,5,20250728,174500,22.82,22.82,22.82,22.82,3458,0
PWZ.US,5,20250728,180500,22.8186,22.8186,22.8186,22.8186,329,0
PWZ.US,5,20250728,181000,22.815,22.815,22.815,22.815,1138,0
PWZ.US,5,20250728,182500,22.82,22.82,22.82,22.82,204,0
PWZ.US,5,20250728,185000,22.815,22.825,22.815,22.825,9618,0
PWZ.US,5,20250728,185500,22.8265,22.8265,22.8265,22.8265,1669,0
PWZ.US,5,20250728,190000,22.83,22.83,22.82,22.8252,17946,0
PWZ.US,5,20250728,191000,22.8247,22.8247,22.8247,22.8247,100,0
PWZ.US,5,20250728,192500,22.8201,22.825,22.8201,22.825,687,0
PWZ.US,5,20250728,193000,22.825,22.825,22.825,22.825,1530,0
PWZ.US,5,20250728,194000,22.825,22.825,22.825,22.825,992,0
PWZ.US,5,20250728,195000,22.825,22.825,22.825,22.825,1600,0
PWZ.US,5,20250728,195500,22.8253,22.8253,22.8253,22.8253,119,0
PWZ.US,5,20250728,200000,22.83,22.83,22.83,22.83,100,0
PWZ.US,5,20250728,200500,22.825,22.8264,22.825,22.8264,757,0
PWZ.US,5,20250728,201000,22.825,22.825,22.825,22.825,200,0
PWZ.US,5,20250728,201500,22.8201,22.8201,22.815,22.815,6049,0
PWZ.US,5,20250728,203000,22.815,22.815,22.815,22.815,300,0
PWZ.US,5,20250728,203500,22.8108,22.8108,22.8108,22.8108,2231,0
PWZ.US,5,20250728,204000,22.815,22.815,22.815,22.815,1179,0
PWZ.US,5,20250728,210000,22.815,22.82,22.805,22.805,3704,0
PWZ.US,5,20250728,211000,22.8041,22.8041,22.8041,22.8041,618,0
PWZ.US,5,20250728,211500,22.805,22.81,22.805,22.805,4900,0
PWZ.US,5,20250728,212000,22.8199,22.8199,22.8199,22.8199,452,0
PWZ.US,5,20250728,212500,22.8101,22.815,22.8101,22.815,1300,0
PWZ.US,5,20250728,213000,22.8148,22.8148,22.8148,22.8148,397,0
PWZ.US,5,20250728,214000,22.81,22.82,22.81,22.815,127174,0
PWZ.US,5,20250728,215000,22.815,22.815,22.815,22.815,433,0
PWZ.US,5,20250728,215500,22.815,22.83,22.81,22.83,2577,0
PWZ.US,5,20250729,153000,22.86,22.86,22.83,22.83,1000,0
PWZ.US,5,20250729,153500,22.83,22.84,22.83,22.83,4394,0
PWZ.US,5,20250729,154000,22.835,22.84,22.835,22.84,1672,0
PWZ.US,5,20250729,154500,22.84,22.85,22.84,22.85,1166,0
PWZ.US,5,20250729,155000,22.855,22.855,22.85,22.85,2099,0
PWZ.US,5,20250729,155500,22.85,22.86,22.85,22.86,200,0
PWZ.US,5,20250729,160000,22.86,22.88,22.86,22.88,49639,0
PWZ.US,5,20250729,160500,22.89,22.89,22.885,22.885,49285,0
PWZ.US,5,20250729,161000,22.885,22.885,22.88,22.885,2604,0
PWZ.US,5,20250729,161500,22.885,22.91,22.885,22.905,178519,0
PWZ.US,5,20250729,162000,22.905,22.905,22.895,22.9,9980,0
PWZ.US,5,20250729,162500,22.895,22.895,22.89,22.89,1915,0
PWZ.US,5,20250729,163000,22.885,22.89,22.885,22.89,14244,0
PWZ.US,5,20250729,163500,22.89,22.89,22.885,22.89,5996,0
PWZ.US,5,20250729,164000,22.88,22.88,22.88,22.88,600,0
PWZ.US,5,20250729,164500,22.885,22.8899,22.88,22.8899,1962,0
PWZ.US,5,20250729,165000,22.88,22.88,22.875,22.875,7826,0
PWZ.US,5,20250729,165500,22.875,22.875,22.875,22.875,1002,0
PWZ.US,5,20250729,170000,22.87,22.875,22.87,22.875,1200,0
PWZ.US,5,20250729,170500,22.87,22.875,22.87,22.87,429,0
PWZ.US,5,20250729,171000,22.87,22.87,22.87,22.87,100,0
PWZ.US,5,20250729,171500,22.87,22.875,22.87,22.87,1341,0
PWZ.US,5,20250729,172000,22.87,22.87,22.87,22.87,200,0
PWZ.US,5,20250729,172500,22.87,22.87,22.87,22.87,3678,0
PWZ.US,5,20250729,173000,22.865,22.865,22.865,22.865,200,0
PWZ.US,5,20250729,173500,22.865,22.87,22.865,22.87,15297,0
PWZ.US,5,20250729,174000,22.875,22.875,22.875,22.875,6279,0
PWZ.US,5,20250729,174500,22.87,22.885,22.87,22.885,12050,0
PWZ.US,5,20250729,175000,22.89,22.9,22.89,22.9,8927,0
PWZ.US,5,20250729,180000,22.9,22.9,22.9,22.9,100,0
PWZ.US,5,20250729,180500,22.9,22.9,22.9,22.9,100,0
PWZ.US,5,20250729,181000,22.91,22.91,22.905,22.905,300,0
PWZ.US,5,20250729,181500,22.91,22.9191,22.91,22.915,2785,0
PWZ.US,5,20250729,182000,22.9101,22.915,22.9101,22.915,2376,0
PWZ.US,5,20250729,182500,22.915,22.9167,22.91,22.915,4980,0
PWZ.US,5,20250729,183000,22.91,22.915,22.91,22.9111,2275,0
PWZ.US,5,20250729,183500,22.91,22.91,22.91,22.91,100,0
PWZ.US,5,20250729,184000,22.91,22.9167,22.91,22.915,1438,0
PWZ.US,5,20250729,184500,22.91,22.91,22.91,22.91,100,0
PWZ.US,5,20250729,185000,22.91,22.9157,22.91,22.9157,215,0
PWZ.US,5,20250729,185500,22.91,22.915,22.91,22.91,14847,0
PWZ.US,5,20250729,190000,22.91,22.93,22.91,22.93,10719,0
PWZ.US,5,20250729,190500,22.93,22.93,22.93,22.93,300,0
PWZ.US,5,20250729,191000,22.93,22.93,22.93,22.93,1500,0
PWZ.US,5,20250729,191500,22.93,22.9365,22.92,22.92,5682,0
PWZ.US,5,20250729,192500,22.92,22.92,22.92,22.92,100,0
