<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROAM.US,5,20250728,153000,26.51,26.51,26.51,26.51,200,0
ROAM.US,5,20250728,161500,26.45,26.45,26.45,26.45,100,0
ROAM.US,5,20250728,165000,26.4222,26.4222,26.4222,26.4222,418,0
ROAM.US,5,20250728,170000,26.44,26.44,26.44,26.44,100,0
ROAM.US,5,20250728,203500,26.374664,26.374664,26.374664,26.374664,322,0
ROAM.US,5,20250728,210000,26.365,26.365,26.365,26.365,356,0
ROAM.US,5,20250728,215500,26.43,26.43,26.43,26.43,599,0
ROAM.US,5,20250729,184500,26.5047,26.5047,26.5047,26.5047,887,0
ROAM.US,5,20250729,214000,26.4713,26.4713,26.4713,26.4713,1514,0
ROAM.US,5,20250730,160000,26.4793,26.4793,26.4793,26.4793,219,0
ROAM.US,5,20250730,161500,26.46,26.46,26.46,26.46,432,0
ROAM.US,5,20250730,164000,26.43,26.4302,26.43,26.4302,200,0
ROAM.US,5,20250730,184000,26.455,26.455,26.455,26.455,286,0
ROAM.US,5,20250730,203000,26.4754,26.4754,26.4754,26.4754,265,0
ROAM.US,5,20250730,205000,26.3911,26.3911,26.3911,26.3911,114,0
ROAM.US,5,20250730,205500,26.39,26.39,26.39,26.39,100,0
ROAM.US,5,20250730,210500,26.3552,26.3552,26.3552,26.3552,100,0
ROAM.US,5,20250731,194500,26.13,26.1302,26.13,26.1302,572,0
ROAM.US,5,20250801,174500,26.1102,26.1102,26.1102,26.1102,125,0
ROAM.US,5,20250801,193500,26.0303,26.0303,26.0303,26.0303,172,0
ROAM.US,5,20250804,161000,26.39,26.39,26.39,26.39,100,0
ROAM.US,5,20250804,164500,26.3403,26.3403,26.3403,26.3403,341,0
ROAM.US,5,20250804,185000,26.3737,26.3737,26.3737,26.3737,117,0
ROAM.US,5,20250805,155000,26.5561,26.5561,26.5561,26.5561,133,0
ROAM.US,5,20250806,214000,26.615,26.615,26.615,26.615,100,0
ROAM.US,5,20250806,214500,26.61,26.61,26.61,26.61,375,0
ROAM.US,5,20250807,154000,26.85,26.85,26.85,26.85,3757,0
ROAM.US,5,20250807,182500,26.785,26.785,26.785,26.785,100,0
