<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPV.US,5,20250728,153000,94.2,94.23,93.98,93.98,18609,0
RPV.US,5,20250728,153500,94.02,94.1,93.94,93.985,20313,0
RPV.US,5,20250728,154000,93.96,93.98,93.88,93.8863,4802,0
RPV.US,5,20250728,154500,93.96,93.96,93.81,93.81,15030,0
RPV.US,5,20250728,155000,93.77,93.78,93.71,93.78,3050,0
RPV.US,5,20250728,155500,93.67,93.72,93.65,93.71,2037,0
RPV.US,5,20250728,160000,93.69,93.76,93.69,93.76,2400,0
RPV.US,5,20250728,160500,93.88,93.88,93.83,93.87,5825,0
RPV.US,5,20250728,161000,93.84,93.925,93.84,93.925,15240,0
RPV.US,5,20250728,161500,93.91,93.92,93.86,93.915,21364,0
RPV.US,5,20250728,162000,93.92,93.93,93.725,93.725,17404,0
RPV.US,5,20250728,162500,93.725,93.86,93.725,93.86,29959,0
RPV.US,5,20250728,163000,93.86,93.88,93.82,93.84,25533,0
RPV.US,5,20250728,163500,93.84,93.86,93.8,93.845,14887,0
RPV.US,5,20250728,164000,93.8,93.85,93.79,93.85,17197,0
RPV.US,5,20250728,164500,93.87,93.87,93.82,93.845,9848,0
RPV.US,5,20250728,165000,93.86,93.87,93.8,93.83,12910,0
RPV.US,5,20250728,165500,93.81,93.84,93.81,93.83,9260,0
RPV.US,5,20250728,170000,93.83,93.91,93.8,93.905,21469,0
RPV.US,5,20250728,170500,93.905,93.91,93.85,93.89,8008,0
RPV.US,5,20250728,171000,93.87,93.93,93.86,93.925,10171,0
RPV.US,5,20250728,171500,93.91,93.94,93.85,93.87,10002,0
RPV.US,5,20250728,172000,93.865,93.9,93.86,93.895,800,0
RPV.US,5,20250728,172500,93.88,93.88,93.83,93.87,10726,0
RPV.US,5,20250728,173000,93.86,93.89,93.85,93.89,5973,0
RPV.US,5,20250728,173500,93.91,93.94,93.86,93.86,5605,0
RPV.US,5,20250728,174000,93.88,93.91,93.875,93.91,7006,0
RPV.US,5,20250728,174500,93.91,93.95,93.91,93.95,1593,0
RPV.US,5,20250728,175000,94,94.02,93.98,94.01,2904,0
RPV.US,5,20250728,175500,94.02,94.02,94.0134,94.0134,913,0
RPV.US,5,20250728,180000,94.015,94.04,94.01,94.02,3795,0
RPV.US,5,20250728,180500,94.02,94.08,94.01,94.065,2260,0
RPV.US,5,20250728,181000,94.02,94.0507,94.02,94.05,3838,0
RPV.US,5,20250728,181500,94.01,94.04,94.01,94.04,3857,0
RPV.US,5,20250728,182000,94,94.0201,94,94.0201,2300,0
RPV.US,5,20250728,182500,94.02,94.03,93.97,93.99,4407,0
RPV.US,5,20250728,183000,94,94,93.98,93.98,200,0
RPV.US,5,20250728,183500,93.9601,93.97,93.9601,93.97,400,0
RPV.US,5,20250728,184000,93.93,93.93,93.93,93.93,100,0
RPV.US,5,20250728,184500,93.84,93.84,93.81,93.8301,1475,0
RPV.US,5,20250728,185000,93.82,93.82,93.82,93.82,100,0
RPV.US,5,20250728,185500,93.82,93.82,93.82,93.82,100,0
RPV.US,5,20250728,190000,93.83,93.87,93.83,93.86,800,0
RPV.US,5,20250728,190500,93.84,93.84,93.82,93.82,500,0
RPV.US,5,20250728,191000,93.8,93.8,93.8,93.8,100,0
RPV.US,5,20250728,191500,93.76,93.76,93.72,93.72,2340,0
RPV.US,5,20250728,192000,93.69,93.71,93.63,93.63,874,0
RPV.US,5,20250728,192500,93.655,93.655,93.655,93.655,213,0
RPV.US,5,20250728,193000,93.63,93.65,93.63,93.65,300,0
RPV.US,5,20250728,193500,93.67,93.67,93.66,93.66,300,0
RPV.US,5,20250728,194000,93.6,93.6,93.6,93.6,100,0
RPV.US,5,20250728,194500,93.6196,93.63,93.6196,93.63,533,0
RPV.US,5,20250728,195000,93.61,93.61,93.57,93.58,1016,0
RPV.US,5,20250728,195500,93.56,93.56,93.56,93.56,100,0
RPV.US,5,20250728,200000,93.5496,93.5496,93.48,93.48,1248,0
