<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RYLG.US,5,20250728,153000,21.55,21.55,21.55,21.55,100,0
RYLG.US,5,20250728,163500,21.555,21.555,21.555,21.555,500,0
RYLG.US,5,20250728,171000,21.565,21.565,21.565,21.565,103,0
RYLG.US,5,20250728,172500,21.5637,21.5637,21.5637,21.5637,383,0
RYLG.US,5,20250729,154500,21.6799,21.6799,21.58,21.58,323,0
RYLG.US,5,20250729,172500,21.53,21.54,21.42,21.42,4800,0
RYLG.US,5,20250730,161500,21.48,21.48,21.48,21.48,100,0
RYLG.US,5,20250730,203000,21.58,21.58,21.58,21.58,331,0
RYLG.US,5,20250801,161500,20.82,20.83,20.82,20.83,500,0
RYLG.US,5,20250801,163500,20.91,20.91,20.91,20.91,100,0
RYLG.US,5,20250801,164500,20.8,20.8,20.8,20.8,200,0
RYLG.US,5,20250801,172500,20.79,20.79,20.79,20.79,100,0
RYLG.US,5,20250801,214500,20.92,20.92,20.92,20.92,360,0
RYLG.US,5,20250804,154500,21,21,21,21,100,0
RYLG.US,5,20250804,160500,21.1,21.1,21.1,21.1,100,0
RYLG.US,5,20250804,161000,21.035,21.035,21.035,21.035,200,0
RYLG.US,5,20250804,162000,21.12,21.12,21.12,21.12,100,0
RYLG.US,5,20250804,165500,21.08,21.08,21.08,21.08,400,0
RYLG.US,5,20250804,173000,21.12,21.1261,21.12,21.1261,386,0
RYLG.US,5,20250805,155500,21.3561,21.3561,21.3561,21.3561,130,0
RYLG.US,5,20250805,161000,21.3561,21.3561,21.3561,21.3561,100,0
RYLG.US,5,20250805,162000,21.3499,21.3499,21.3499,21.3499,200,0
RYLG.US,5,20250805,203500,21.32,21.32,21.32,21.32,100,0
RYLG.US,5,20250805,204000,21.3276,21.3276,21.3276,21.3276,280,0
RYLG.US,5,20250806,154500,21.3198,21.3198,21.3198,21.3198,100,0
RYLG.US,5,20250806,185500,21.3987,21.399,21.3987,21.3987,1138,0
RYLG.US,5,20250807,153000,21.51,21.51,21.51,21.51,300,0
RYLG.US,5,20250807,153500,21.62,21.62,21.62,21.62,600,0
RYLG.US,5,20250807,161500,21.36,21.36,21.33,21.33,205,0
RYLG.US,5,20250807,162500,21.29,21.29,21.29,21.29,639,0
RYLG.US,5,20250808,153000,21.415,21.415,21.415,21.415,238,0
RYLG.US,5,20250808,172500,21.355,21.4093,21.355,21.4,500,0
RYLG.US,5,20250808,181000,21.3968,21.3968,21.3968,21.3968,956,0
RYLG.US,5,20250808,211000,21.4195,21.4195,21.4195,21.4195,118,0
RYLG.US,5,20250811,154000,21.445,21.445,21.445,21.445,114,0
RYLG.US,5,20250811,163000,21.4253,21.4253,21.4253,21.4253,125,0
RYLG.US,5,20250812,163500,21.63,21.63,21.62,21.62,324,0
RYLG.US,5,20250812,164000,21.62,21.62,21.62,21.62,813,0
RYLG.US,5,20250812,180000,21.705,21.705,21.705,21.705,100,0
RYLG.US,5,20250812,213000,21.86,21.86,21.86,21.86,138,0
RYLG.US,5,20250814,160000,22.005,22.005,22.005,22.005,100,0
RYLG.US,5,20250814,163000,21.9,21.9,21.9,21.9,449,0
RYLG.US,5,20250814,184500,21.92,21.92,21.92,21.92,100,0
RYLG.US,5,20250814,212000,21.98,22.02,21.98,22.02,684,0
RYLG.US,5,20250815,154500,21.845,21.845,21.845,21.845,116,0
RYLG.US,5,20250818,160500,21.77,21.77,21.77,21.77,100,0
RYLG.US,5,20250818,163500,21.7298,21.7298,21.7298,21.7298,200,0
RYLG.US,5,20250818,164000,21.735,21.735,21.735,21.735,100,0
RYLG.US,5,20250818,195000,21.756,21.756,21.756,21.756,100,0
RYLG.US,5,20250818,211500,21.7948,21.7948,21.7948,21.7948,500,0
RYLG.US,5,20250818,215500,21.8,21.8,21.78,21.78,337,0
RYLG.US,5,20250819,170500,21.7078,21.7078,21.7078,21.7078,114,0
RYLG.US,5,20250819,202000,21.66,21.66,21.66,21.66,205,0
RYLG.US,5,20250819,204000,21.66,21.66,21.66,21.66,100,0
RYLG.US,5,20250819,204500,21.66,21.66,21.66,21.66,100,0
RYLG.US,5,20250819,205000,21.66,21.66,21.66,21.66,100,0
RYLG.US,5,20250819,205500,21.66,21.66,21.66,21.66,477,0
RYLG.US,5,20250819,213500,21.625,21.7,21.625,21.7,400,0
RYLG.US,5,20250819,215500,21.65,21.65,21.65,21.65,400,0
RYLG.US,5,20250820,155000,21.55,21.55,21.55,21.55,931,0
RYLG.US,5,20250821,170500,21.5652,21.5652,21.5652,21.5652,360,0
RYLG.US,5,20250822,162500,22.129,22.129,22.129,22.129,618,0
RYLG.US,5,20250822,164500,22.14,22.14,22.14,22.14,100,0
RYLG.US,5,20250822,170000,22.24,22.2699,22.215,22.24,7164,0
RYLG.US,5,20250822,171500,22.23,22.23,22.23,22.23,350,0
RYLG.US,5,20250822,172000,22.25,22.25,22.25,22.25,930,0
RYLG.US,5,20250822,182500,22.2,22.2,22.2,22.2,100,0
RYLG.US,5,20250822,183500,22.2495,22.2495,22.21,22.21,782,0
RYLG.US,5,20250822,184000,22.22,22.23,22.22,22.23,250,0
RYLG.US,5,20250822,184500,22.23,22.23,22.23,22.23,100,0
RYLG.US,5,20250825,181500,22.1101,22.1101,22.1101,22.1101,350,0
RYLG.US,5,20250825,184500,22.19,22.19,22.19,22.19,225,0
RYLG.US,5,20250825,193000,22.19,22.19,22.19,22.19,225,0
RYLG.US,5,20250825,215000,22.056,22.056,22.056,22.056,125,0
RYLG.US,5,20250826,160500,22.21,22.21,22.21,22.21,100,0
RYLG.US,5,20250826,170000,22.14,22.14,22.14,22.14,200,0
RYLG.US,5,20250826,205500,22.15,22.1501,22.15,22.1501,400,0
RYLG.US,5,20250826,212000,22.1301,22.1301,22.1301,22.1301,200,0
RYLG.US,5,20250827,160500,22.28,22.28,22.28,22.28,104,0
RYLG.US,5,20250827,173500,22.3,22.3,22.2862,22.2862,1324,0
RYLG.US,5,20250827,201500,22.24,22.2915,22.24,22.2915,510,0
RYLG.US,5,20250827,204500,22.32,22.32,22.32,22.32,100,0
RYLG.US,5,20250827,214000,22.2922,22.2922,22.2922,22.2922,224,0
RYLG.US,5,20250827,215500,22.32,22.32,22.32,22.32,590,0
RYLG.US,5,20250828,181000,22.32,22.32,22.32,22.32,125,0
RYLG.US,5,20250828,182500,22.27,22.27,22.27,22.27,189,0
RYLG.US,5,20250828,183500,22.315,22.315,22.315,22.315,100,0
RYLG.US,5,20250828,191000,22.35,22.35,22.35,22.35,199,0
RYLG.US,5,20250828,203000,22.3254,22.35,22.315,22.35,3896,0
RYLG.US,5,20250828,205000,22.29,22.29,22.29,22.29,3463,0
RYLG.US,5,20250829,162000,22.21,22.21,22.21,22.21,200,0
RYLG.US,5,20250829,164500,22.25,22.25,22.25,22.25,450,0
RYLG.US,5,20250829,181000,22.25,22.25,22.2281,22.2281,252,0
RYLG.US,5,20250829,202500,22.25,22.25,22.2499,22.2499,400,0
RYLG.US,5,20250829,215500,22.25,22.25,22.25,22.25,100,0
RYLG.US,5,20250902,170000,22.16,22.16,22.16,22.16,125,0
RYLG.US,5,20250902,173500,22.12,22.12,22.0702,22.0702,400,0
RYLG.US,5,20250902,181000,22.0276,22.0276,22.0276,22.0276,300,0
RYLG.US,5,20250902,182000,22.13,22.13,22.1299,22.1299,200,0
RYLG.US,5,20250902,211500,22.1602,22.1602,22.1602,22.1602,321,0
RYLG.US,5,20250902,215500,22.23,22.23,22.23,22.23,110,0
RYLG.US,5,20250903,155500,22.27,22.27,22.2699,22.2699,400,0
RYLG.US,5,20250903,180500,22.19,22.19,22.19,22.19,212,0
RYLG.US,5,20250903,183500,22.176,22.176,22.176,22.176,150,0
RYLG.US,5,20250903,195500,22.18,22.18,22.18,22.18,100,0
RYLG.US,5,20250903,204000,22.1995,22.1995,22.1995,22.1995,225,0
RYLG.US,5,20250903,204500,22.21,22.21,22.21,22.21,200,0
RYLG.US,5,20250903,211500,22.1144,22.1144,22.1144,22.1144,221,0
RYLG.US,5,20250903,212000,22.099,22.099,22.099,22.099,112,0
RYLG.US,5,20250903,213500,22.07,22.07,22.07,22.07,211,0
RYLG.US,5,20250904,154500,22.1998,22.1998,22.1998,22.1998,220,0
RYLG.US,5,20250904,160500,22.195,22.195,22.195,22.195,183,0
RYLG.US,5,20250904,161000,22.16,22.16,22.16,22.16,331,0
RYLG.US,5,20250904,162500,22.245,22.245,22.245,22.245,100,0
RYLG.US,5,20250904,165000,22.1801,22.1801,22.1801,22.1801,112,0
RYLG.US,5,20250904,173500,22.2576,22.2576,22.2576,22.2576,225,0
RYLG.US,5,20250905,163000,22.2901,22.2901,22.2901,22.2901,300,0
RYLG.US,5,20250905,165000,22.31,22.31,22.31,22.31,338,0
RYLG.US,5,20250905,191000,22.415,22.415,22.415,22.415,224,0
RYLG.US,5,20250908,153000,22.47,22.47,22.47,22.47,225,0
RYLG.US,5,20250908,154000,22.455,22.455,22.455,22.455,100,0
RYLG.US,5,20250908,160500,22.4,22.4,22.4,22.4,125,0
RYLG.US,5,20250908,161500,22.43,22.43,22.43,22.43,100,0
RYLG.US,5,20250908,173000,22.5,22.5,22.5,22.5,156,0
RYLG.US,5,20250908,174500,22.47,22.47,22.47,22.47,235,0
RYLG.US,5,20250908,215500,22.5,22.5,22.5,22.5,127,0
RYLG.US,5,20250909,161500,22.46,22.46,22.46,22.46,100,0
RYLG.US,5,20250909,164500,22.3933,22.3933,22.3933,22.3933,500,0
RYLG.US,5,20250909,165500,22.3826,22.3826,22.3826,22.3826,150,0
RYLG.US,5,20250909,170000,22.3701,22.3701,22.3701,22.3701,150,0
RYLG.US,5,20250909,173000,22.3701,22.3701,22.3701,22.3701,262,0
RYLG.US,5,20250909,214000,22.41,22.41,22.41,22.41,100,0
RYLG.US,5,20250910,155500,22.4683,22.4683,22.4683,22.4683,539,0
RYLG.US,5,20250910,165000,22.4202,22.4202,22.4202,22.4202,380,0
RYLG.US,5,20250910,173500,22.405,22.405,22.405,22.405,230,0
RYLG.US,5,20250910,192500,22.395,22.395,22.395,22.395,136,0
RYLG.US,5,20250911,182000,22.5584,22.5584,22.5584,22.5584,263,0
RYLG.US,5,20250911,210500,22.589,22.589,22.589,22.589,100,0
RYLG.US,5,20250912,214000,22.5415,22.5415,22.5415,22.5415,250,0
RYLG.US,5,20250915,154500,22.57,22.57,22.5564,22.5564,1106,0
RYLG.US,5,20250915,161000,22.5589,22.5589,22.5589,22.5589,747,0
RYLG.US,5,20250915,161500,22.58,22.59,22.58,22.59,625,0
RYLG.US,5,20250915,162000,22.58,22.58,22.58,22.58,100,0
RYLG.US,5,20250915,170000,22.616,22.616,22.616,22.616,200,0
RYLG.US,5,20250915,170500,22.62,22.62,22.62,22.62,200,0
RYLG.US,5,20250915,172000,22.59,22.59,22.59,22.59,348,0
RYLG.US,5,20250915,180500,22.564,22.564,22.564,22.564,200,0
RYLG.US,5,20250915,181000,22.56,22.56,22.56,22.56,500,0
RYLG.US,5,20250915,200500,22.52,22.5201,22.52,22.5201,200,0
RYLG.US,5,20250915,201000,22.57,22.57,22.57,22.57,200,0
RYLG.US,5,20250915,204000,22.58,22.61,22.58,22.58,1086,0
RYLG.US,5,20250915,205500,22.59,22.59,22.59,22.59,135,0
RYLG.US,5,20250916,153500,22.5401,22.5401,22.5401,22.5401,100,0
RYLG.US,5,20250916,155000,22.498,22.498,22.498,22.498,100,0
RYLG.US,5,20250917,153500,22.57,22.68,22.57,22.68,400,0
RYLG.US,5,20250917,155000,22.5813,22.5813,22.5813,22.5813,187,0
RYLG.US,5,20250917,160000,22.6,22.6,22.6,22.6,177,0
RYLG.US,5,20250917,161500,22.6496,22.6496,22.6496,22.6496,100,0
RYLG.US,5,20250917,170500,22.6713,22.6713,22.6713,22.6713,2905,0
RYLG.US,5,20250917,172500,22.69,22.69,22.69,22.69,723,0
RYLG.US,5,20250917,215500,22.62,22.62,22.62,22.62,166,0
RYLG.US,5,20250918,160000,22.764,22.764,22.764,22.764,469,0
RYLG.US,5,20250918,160500,22.7956,22.7956,22.7956,22.7956,100,0
RYLG.US,5,20250918,162500,22.83,22.83,22.83,22.83,300,0
RYLG.US,5,20250918,172500,22.775,22.775,22.775,22.775,200,0
RYLG.US,5,20250918,173000,22.78,22.78,22.78,22.78,100,0
RYLG.US,5,20250918,184500,22.88,22.88,22.88,22.88,189,0
RYLG.US,5,20250918,211000,22.9,22.9,22.8842,22.8842,2100,0
RYLG.US,5,20250919,162000,22.82,22.82,22.82,22.82,656,0
RYLG.US,5,20250919,163000,22.815,22.815,22.815,22.815,100,0
RYLG.US,5,20250919,194000,22.7046,22.7046,22.7046,22.7046,200,0
RYLG.US,5,20250922,153000,22.58,22.58,22.58,22.58,100,0
RYLG.US,5,20250922,155000,22.56,22.56,22.56,22.56,100,0
RYLG.US,5,20250922,155500,22.56,22.56,22.56,22.56,100,0
RYLG.US,5,20250922,160500,22.61,22.61,22.61,22.61,100,0
RYLG.US,5,20250922,173500,22.587,22.587,22.587,22.587,100,0
RYLG.US,5,20250922,175000,22.6,22.6,22.6,22.6,400,0
RYLG.US,5,20250922,182500,22.57,22.5701,22.57,22.5701,200,0
RYLG.US,5,20250922,183000,22.57,22.57,22.57,22.57,100,0
RYLG.US,5,20250922,184000,22.615,22.615,22.615,22.615,112,0
RYLG.US,5,20250922,210000,22.63,22.63,22.63,22.63,500,0
RYLG.US,5,20250922,211000,22.6748,22.6748,22.6748,22.6748,440,0
RYLG.US,5,20250922,214500,22.7199,22.7199,22.7199,22.7199,100,0
RYLG.US,5,20250923,153500,22.7308,22.7308,22.7308,22.7308,100,0
RYLG.US,5,20250923,154500,22.82,22.82,22.82,22.82,214,0
RYLG.US,5,20250923,163000,22.7501,22.7501,22.7501,22.7501,227,0
RYLG.US,5,20250923,165000,22.79,22.805,22.79,22.8,2312,0
RYLG.US,5,20250923,175000,22.79,22.79,22.79,22.79,100,0
RYLG.US,5,20250923,211000,22.62,22.62,22.62,22.62,700,0
RYLG.US,5,20250923,213500,22.6304,22.6304,22.6304,22.6304,221,0
RYLG.US,5,20250924,153500,22.61,22.61,22.61,22.61,390,0
RYLG.US,5,20250924,160000,22.66,22.66,22.66,22.66,139,0
RYLG.US,5,20250924,163000,22.66,22.66,22.66,22.66,100,0
RYLG.US,5,20250924,173500,22.635,22.635,22.63,22.63,234,0
RYLG.US,5,20250924,174500,22.6,22.6,22.6,22.6,4774,0
RYLG.US,5,20250924,180000,22.5211,22.5211,22.5211,22.5211,700,0
RYLG.US,5,20250924,205000,22.535,22.535,22.535,22.535,177,0
RYLG.US,5,20250924,210000,22.56,22.56,22.5185,22.5185,341,0
RYLG.US,5,20250925,155500,22.2243,22.2243,22.17,22.17,389,0
RYLG.US,5,20250925,164500,22.3364,22.3364,22.3364,22.3364,400,0
RYLG.US,5,20250925,172000,22.32,22.32,22.32,22.32,151,0
RYLG.US,5,20250925,175500,22.3263,22.3263,22.3263,22.3263,425,0
RYLG.US,5,20250925,192000,22.31,22.31,22.31,22.31,100,0
RYLG.US,5,20250925,203500,22.35,22.35,22.35,22.35,100,0
RYLG.US,5,20250925,215000,22.34,22.34,22.34,22.34,100,0
RYLG.US,5,20250926,154500,22.3945,22.3945,22.3945,22.3945,500,0
RYLG.US,5,20250926,155000,22.48,22.48,22.48,22.48,100,0
RYLG.US,5,20250926,190500,22.46,22.46,22.46,22.46,100,0
RYLG.US,5,20250929,153000,22.56,22.56,22.56,22.56,301,0
RYLG.US,5,20250929,155500,22.5645,22.5645,22.5645,22.5645,102,0
RYLG.US,5,20250929,160000,22.58,22.58,22.58,22.58,100,0
RYLG.US,5,20250929,161500,22.5436,22.5436,22.5436,22.5436,377,0
RYLG.US,5,20250929,165500,22.51,22.515,22.46,22.46,1152,0
RYLG.US,5,20250929,172000,22.496,22.496,22.496,22.496,450,0
RYLG.US,5,20250929,180500,22.5,22.5,22.5,22.5,100,0
RYLG.US,5,20250929,194000,22.4655,22.4655,22.4655,22.4655,221,0
RYLG.US,5,20250930,153000,22.515,22.515,22.515,22.515,130,0
RYLG.US,5,20250930,155500,22.5045,22.5045,22.5045,22.5045,100,0
