<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHY.US,5,20250728,153000,27.3511,27.3699,27.3511,27.363,3471,0
SCHY.US,5,20250728,153500,27.3506,27.37,27.35,27.35,6412,0
SCHY.US,5,20250728,154000,27.34,27.345,27.325,27.325,2754,0
SCHY.US,5,20250728,154500,27.325,27.3293,27.2752,27.2752,9239,0
SCHY.US,5,20250728,155000,27.285,27.285,27.275,27.28,9281,0
SCHY.US,5,20250728,155500,27.27,27.2752,27.2645,27.27,8193,0
SCHY.US,5,20250728,160000,27.2667,27.3,27.2667,27.3,4735,0
SCHY.US,5,20250728,160500,27.305,27.315,27.3035,27.3107,5102,0
SCHY.US,5,20250728,161000,27.31,27.315,27.295,27.3082,5622,0
SCHY.US,5,20250728,161500,27.31,27.31,27.29,27.3,3693,0
SCHY.US,5,20250728,162000,27.305,27.315,27.285,27.285,1965,0
SCHY.US,5,20250728,162500,27.285,27.31,27.285,27.305,10328,0
SCHY.US,5,20250728,163000,27.32,27.32,27.32,27.32,806,0
SCHY.US,5,20250728,163500,27.305,27.315,27.305,27.31,983,0
SCHY.US,5,20250728,164000,27.33,27.3375,27.325,27.3347,3767,0
SCHY.US,5,20250728,164500,27.3452,27.3452,27.33,27.33,561,0
SCHY.US,5,20250728,165000,27.32,27.32,27.3182,27.3182,209,0
SCHY.US,5,20250728,165500,27.311,27.311,27.3045,27.305,12558,0
SCHY.US,5,20250728,170000,27.31,27.3101,27.295,27.3101,17048,0
SCHY.US,5,20250728,170500,27.315,27.3179,27.31,27.31,2405,0
SCHY.US,5,20250728,171000,27.3047,27.305,27.3047,27.305,1456,0
SCHY.US,5,20250728,171500,27.305,27.315,27.3,27.3,5221,0
SCHY.US,5,20250728,172000,27.3,27.3,27.29,27.29,200,0
SCHY.US,5,20250728,172500,27.29,27.29,27.2854,27.2854,832,0
SCHY.US,5,20250728,173000,27.285,27.3067,27.2833,27.3067,1723,0
SCHY.US,5,20250728,173500,27.305,27.31,27.3,27.3,8964,0
SCHY.US,5,20250728,174000,27.2979,27.2979,27.2815,27.285,7662,0
SCHY.US,5,20250728,174500,27.29,27.29,27.2817,27.285,2800,0
SCHY.US,5,20250728,175000,27.29,27.2972,27.2852,27.2899,2702,0
SCHY.US,5,20250728,175500,27.2952,27.2952,27.2952,27.2952,500,0
SCHY.US,5,20250728,180000,27.29,27.2967,27.285,27.2851,1294,0
SCHY.US,5,20250728,180500,27.2847,27.2847,27.28,27.28,3125,0
SCHY.US,5,20250728,181000,27.28,27.285,27.27,27.27,1423,0
SCHY.US,5,20250728,181500,27.2765,27.2765,27.2765,27.2765,170,0
SCHY.US,5,20250728,182000,27.275,27.2852,27.27,27.2804,43694,0
SCHY.US,5,20250728,182500,27.285,27.29,27.28,27.28,20939,0
SCHY.US,5,20250728,183000,27.28,27.28,27.2733,27.275,4012,0
SCHY.US,5,20250728,183500,27.2767,27.2767,27.2615,27.2615,1085,0
SCHY.US,5,20250728,184000,27.265,27.2782,27.26,27.2782,1579,0
SCHY.US,5,20250728,184500,27.2601,27.2618,27.2599,27.2599,5227,0
SCHY.US,5,20250728,185000,27.26,27.26,27.2508,27.255,3821,0
SCHY.US,5,20250728,185500,27.255,27.2567,27.255,27.2567,7826,0
SCHY.US,5,20250728,190000,27.26,27.2699,27.26,27.2699,1847,0
SCHY.US,5,20250728,190500,27.26,27.26,27.255,27.255,2178,0
SCHY.US,5,20250728,191000,27.25,27.25,27.25,27.25,1846,0
SCHY.US,5,20250728,191500,27.2447,27.2447,27.239,27.239,3183,0
SCHY.US,5,20250728,192000,27.23,27.24,27.23,27.2361,2311,0
SCHY.US,5,20250728,192500,27.235,27.235,27.235,27.235,724,0
SCHY.US,5,20250728,193000,27.2473,27.2473,27.245,27.245,1600,0
SCHY.US,5,20250728,193500,27.245,27.2452,27.24,27.24,6160,0
SCHY.US,5,20250728,194000,27.235,27.235,27.2348,27.235,3120,0
SCHY.US,5,20250728,194500,27.2347,27.2347,27.2347,27.2347,300,0
SCHY.US,5,20250728,195000,27.225,27.23,27.2116,27.2116,11882,0
SCHY.US,5,20250728,195500,27.22,27.22,27.22,27.22,8863,0
SCHY.US,5,20250728,200000,27.2135,27.22,27.21,27.2133,5694,0
SCHY.US,5,20250728,200500,27.21,27.21,27.2,27.205,1848,0
SCHY.US,5,20250728,201000,27.205,27.2052,27.2,27.2052,500,0
SCHY.US,5,20250728,201500,27.2052,27.2147,27.2052,27.2147,3215,0
SCHY.US,5,20250728,202000,27.21,27.215,27.21,27.215,835,0
SCHY.US,5,20250728,202500,27.2135,27.22,27.2135,27.22,3050,0
SCHY.US,5,20250728,203000,27.2167,27.2167,27.215,27.215,874,0
SCHY.US,5,20250728,203500,27.23,27.23,27.2218,27.2267,1153,0
SCHY.US,5,20250728,204000,27.2252,27.2252,27.2252,27.2252,1000,0
SCHY.US,5,20250728,204500,27.23,27.23,27.22,27.225,625,0
SCHY.US,5,20250728,205000,27.225,27.225,27.225,27.225,11345,0
SCHY.US,5,20250728,205500,27.225,27.225,27.225,27.225,1290,0
SCHY.US,5,20250728,210000,27.225,27.2252,27.225,27.2252,3470,0
SCHY.US,5,20250728,210500,27.2245,27.2245,27.2245,27.2245,3673,0
SCHY.US,5,20250728,211000,27.2245,27.2245,27.2245,27.2245,150,0
SCHY.US,5,20250728,211500,27.2265,27.2267,27.2213,27.2213,560,0
SCHY.US,5,20250728,212000,27.23,27.23,27.2255,27.2282,400,0
SCHY.US,5,20250728,212500,27.2252,27.2252,27.22,27.22,9275,0
SCHY.US,5,20250728,213000,27.225,27.2299,27.2145,27.2145,9429,0
SCHY.US,5,20250728,213500,27.2167,27.2167,27.2167,27.2167,550,0
SCHY.US,5,20250728,214000,27.2112,27.22,27.2112,27.22,1581,0
SCHY.US,5,20250728,214500,27.22,27.235,27.22,27.235,4752,0
SCHY.US,5,20250728,215000,27.235,27.245,27.23,27.245,1468,0
SCHY.US,5,20250728,215500,27.245,27.255,27.23,27.23,7311,0
SCHY.US,5,20250729,153000,27.2613,27.2613,27.25,27.25,1599,0
SCHY.US,5,20250729,153500,27.2547,27.26,27.25,27.2599,4105,0
SCHY.US,5,20250729,154000,27.27,27.2799,27.2693,27.27,2760,0
SCHY.US,5,20250729,154500,27.26,27.2747,27.26,27.2747,2263,0
SCHY.US,5,20250729,155000,27.275,27.285,27.275,27.285,3061,0
SCHY.US,5,20250729,155500,27.2799,27.2874,27.2702,27.2874,3494,0
SCHY.US,5,20250729,160000,27.2789,27.2789,27.2604,27.265,551,0
SCHY.US,5,20250729,160500,27.2502,27.2698,27.2502,27.255,3490,0
SCHY.US,5,20250729,161500,27.25,27.25,27.25,27.25,3760,0
SCHY.US,5,20250729,162000,27.255,27.26,27.255,27.26,16267,0
SCHY.US,5,20250729,162500,27.275,27.2799,27.27,27.2799,1852,0
SCHY.US,5,20250729,163000,27.2752,27.28,27.275,27.275,5324,0
SCHY.US,5,20250729,163500,27.2767,27.28,27.271,27.28,7189,0
SCHY.US,5,20250729,164000,27.28,27.29,27.265,27.265,18296,0
SCHY.US,5,20250729,164500,27.26,27.26,27.24,27.24,3015,0
SCHY.US,5,20250729,165000,27.24,27.24,27.22,27.22,12379,0
SCHY.US,5,20250729,165500,27.22,27.22,27.22,27.22,300,0
SCHY.US,5,20250729,170000,27.229,27.23,27.2231,27.225,1453,0
SCHY.US,5,20250729,170500,27.2265,27.235,27.225,27.225,12250,0
SCHY.US,5,20250729,171000,27.2203,27.23,27.2133,27.23,17974,0
SCHY.US,5,20250729,171500,27.23,27.23,27.23,27.23,2296,0
SCHY.US,5,20250729,172000,27.235,27.235,27.23,27.23,2125,0
SCHY.US,5,20250729,172500,27.23,27.23,27.225,27.225,1190,0
SCHY.US,5,20250729,173000,27.225,27.24,27.22,27.23,87720,0
SCHY.US,5,20250729,174000,27.24,27.255,27.24,27.255,11145,0
SCHY.US,5,20250729,174500,27.27,27.28,27.26,27.28,13678,0
SCHY.US,5,20250729,175000,27.28,27.28,27.27,27.27,3125,0
SCHY.US,5,20250729,175500,27.2652,27.269,27.2652,27.269,1641,0
SCHY.US,5,20250729,180000,27.265,27.2767,27.265,27.27,32216,0
SCHY.US,5,20250729,180500,27.275,27.275,27.275,27.275,234,0
SCHY.US,5,20250729,181000,27.28,27.28,27.255,27.26,16805,0
SCHY.US,5,20250729,181500,27.27,27.285,27.27,27.285,40436,0
SCHY.US,5,20250729,182000,27.28,27.29,27.27,27.27,50011,0
SCHY.US,5,20250729,182500,27.27,27.275,27.27,27.27,1250,0
SCHY.US,5,20250729,183000,27.27,27.27,27.265,27.265,200,0
SCHY.US,5,20250729,183500,27.26,27.26,27.26,27.26,100,0
SCHY.US,5,20250729,184000,27.2653,27.27,27.2653,27.27,650,0
SCHY.US,5,20250729,184500,27.27,27.28,27.27,27.27,3663,0
SCHY.US,5,20250729,185000,27.27,27.27,27.2645,27.265,2290,0
SCHY.US,5,20250729,185500,27.27,27.27,27.27,27.27,100,0
SCHY.US,5,20250729,190500,27.28,27.285,27.28,27.28,1608,0
SCHY.US,5,20250729,191000,27.28,27.28,27.2752,27.2752,2690,0
SCHY.US,5,20250729,191500,27.28,27.29,27.28,27.29,2921,0
SCHY.US,5,20250729,192000,27.29,27.29,27.29,27.29,100,0
SCHY.US,5,20250729,192500,27.29,27.29,27.285,27.29,600,0
SCHY.US,5,20250729,193000,27.29,27.2922,27.2867,27.2922,766,0
SCHY.US,5,20250729,193500,27.28,27.28,27.28,27.28,100,0
SCHY.US,5,20250729,194000,27.2711,27.28,27.2711,27.275,639,0
SCHY.US,5,20250729,195000,27.27,27.2722,27.27,27.2722,782,0
SCHY.US,5,20250729,195500,27.27,27.27,27.27,27.27,300,0
SCHY.US,5,20250729,200000,27.2767,27.2767,27.275,27.2767,721,0
