<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPDG.US,5,20250728,190000,39.13,39.13,39.13,39.13,300,0
SPDG.US,5,20250729,154500,39.14,39.14,39.14,39.14,128,0
SPDG.US,5,20250731,213000,38.4168,38.4168,38.4168,38.4168,234,0
SPDG.US,5,20250801,164000,37.8486,37.8486,37.8486,37.8486,264,0
SPDG.US,5,20250801,172000,37.9,37.9,37.9,37.9,100,0
SPDG.US,5,20250801,175000,37.989,37.989,37.989,37.989,700,0
SPDG.US,5,20250801,202000,37.91,37.91,37.91,37.91,988,0
SPDG.US,5,20250801,214500,37.94,37.941,37.75,37.941,6803,0
SPDG.US,5,20250804,180000,38.27,38.27,38.27,38.27,100,0
SPDG.US,5,20250804,182500,38.27,38.27,38.27,38.27,100,0
SPDG.US,5,20250804,185500,38.32,38.32,38.32,38.32,100,0
SPDG.US,5,20250804,192000,38.32,38.32,38.31,38.31,600,0
SPDG.US,5,20250804,193500,38.31,38.31,38.31,38.31,706,0
SPDG.US,5,20250804,202500,38.29,38.29,38.2897,38.2897,200,0
SPDG.US,5,20250804,215500,38.341,38.341,38.341,38.341,231,0
SPDG.US,5,20250805,190000,38.3,38.3,38.3,38.3,100,0
SPDG.US,5,20250805,191500,38.35,38.35,38.35,38.35,200,0
SPDG.US,5,20250805,193000,38.36,38.36,38.36,38.36,800,0
SPDG.US,5,20250805,194500,38.36,38.36,38.36,38.36,100,0
SPDG.US,5,20250805,200000,38.3,38.3,38.3,38.3,100,0
SPDG.US,5,20250805,205500,38.24,38.24,38.24,38.24,146,0
SPDG.US,5,20250805,215500,38.24,38.24,38.24,38.24,305,0
SPDG.US,5,20250806,204000,38.321,38.321,38.321,38.321,197,0
SPDG.US,5,20250807,160500,38.391,38.391,38.391,38.391,178,0
SPDG.US,5,20250807,165000,38.2524,38.2524,38.2524,38.2524,100,0
SPDG.US,5,20250807,214500,38.29,38.29,38.29,38.29,1000,0
SPDG.US,5,20250811,172500,38.3604,38.3604,38.3604,38.3604,308,0
SPDG.US,5,20250811,180500,38.47,38.47,38.47,38.47,100,0
SPDG.US,5,20250811,184000,38.4062,38.4062,38.4062,38.4062,500,0
SPDG.US,5,20250811,185000,38.4,38.4,38.4,38.4,100,0
