<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPLV.US,5,20250728,153000,73.53,73.53,73.35,73.35,25523,0
SPLV.US,5,20250728,153500,73.36,73.395,73.29,73.385,59486,0
SPLV.US,5,20250728,154000,73.365,73.37,73.28,73.34,29594,0
SPLV.US,5,20250728,154500,73.34,73.355,73.25,73.26,28584,0
SPLV.US,5,20250728,155000,73.27,73.3,73.245,73.29,8959,0
SPLV.US,5,20250728,155500,73.28,73.3,73.15,73.17,38044,0
SPLV.US,5,20250728,160000,73.16,73.285,73.145,73.27,44886,0
SPLV.US,5,20250728,160500,73.28,73.32,73.27,73.27,18183,0
SPLV.US,5,20250728,161000,73.27,73.38,73.27,73.35,16202,0
SPLV.US,5,20250728,161500,73.35,73.37,73.33,73.35,8769,0
SPLV.US,5,20250728,162000,73.35,73.385,73.26,73.28,23302,0
SPLV.US,5,20250728,162500,73.28,73.355,73.28,73.33,16425,0
SPLV.US,5,20250728,163000,73.33,73.34,73.29,73.3,5807,0
SPLV.US,5,20250728,163500,73.3,73.31,73.255,73.2601,19638,0
SPLV.US,5,20250728,164000,73.26,73.3601,73.25,73.3601,31328,0
SPLV.US,5,20250728,164500,73.36,73.3775,73.32,73.36,20018,0
SPLV.US,5,20250728,165000,73.3775,73.3775,73.315,73.34,22911,0
SPLV.US,5,20250728,165500,73.31,73.35,73.31,73.345,30083,0
SPLV.US,5,20250728,170000,73.33,73.38,73.3,73.345,19737,0
SPLV.US,5,20250728,170500,73.34,73.345,73.3,73.3,5103,0
SPLV.US,5,20250728,171000,73.29,73.325,73.29,73.295,7009,0
SPLV.US,5,20250728,171500,73.29,73.32,73.275,73.29,5128,0
SPLV.US,5,20250728,172000,73.29,73.325,73.29,73.325,7290,0
SPLV.US,5,20250728,172500,73.325,73.33,73.295,73.3,7470,0
SPLV.US,5,20250728,173000,73.3199,73.34,73.27,73.34,17670,0
SPLV.US,5,20250728,173500,73.33,73.345,73.31,73.31,10997,0
SPLV.US,5,20250728,174000,73.315,73.325,73.3019,73.3133,6990,0
SPLV.US,5,20250728,174500,73.31,73.31,73.29,73.305,2566,0
SPLV.US,5,20250728,175000,73.305,73.32,73.29,73.29,7195,0
SPLV.US,5,20250728,175500,73.31,73.32,73.3,73.3,1803,0
SPLV.US,5,20250728,180000,73.2986,73.31,73.265,73.27,7231,0
SPLV.US,5,20250728,180500,73.28,73.28,73.22,73.22,7889,0
SPLV.US,5,20250728,181000,73.22,73.25,73.21,73.2153,4953,0
SPLV.US,5,20250728,181500,73.215,73.255,73.21,73.255,6300,0
SPLV.US,5,20250728,182000,73.25,73.29,73.25,73.28,5800,0
SPLV.US,5,20250728,182500,73.28,73.28,73.26,73.265,6470,0
SPLV.US,5,20250728,183000,73.27,73.27,73.225,73.23,4883,0
SPLV.US,5,20250728,183500,73.24,73.24,73.195,73.2,24673,0
SPLV.US,5,20250728,184000,73.195,73.2,73.1887,73.2,7288,0
SPLV.US,5,20250728,184500,73.2,73.2,73.15,73.16,2693,0
SPLV.US,5,20250728,185000,73.155,73.16,73.14,73.15,4020,0
SPLV.US,5,20250728,185500,73.15,73.15,73.13,73.13,6496,0
SPLV.US,5,20250728,190000,73.14,73.215,73.14,73.215,15891,0
SPLV.US,5,20250728,190500,73.21,73.215,73.175,73.175,9620,0
SPLV.US,5,20250728,191000,73.17,73.17,73.115,73.115,8694,0
SPLV.US,5,20250728,191500,73.12,73.13,73.06,73.06,7000,0
SPLV.US,5,20250728,192000,73.05,73.0595,73.03,73.03,15072,0
SPLV.US,5,20250728,192500,73.0287,73.075,73.02,73.02,8769,0
SPLV.US,5,20250728,193000,73.02,73.03,73.01,73.02,9379,0
SPLV.US,5,20250728,193500,73.03,73.0365,73.01,73.015,5346,0
SPLV.US,5,20250728,194000,73.0199,73.04,73.01,73.04,7099,0
SPLV.US,5,20250728,194500,73.045,73.05,73.035,73.04,11312,0
SPLV.US,5,20250728,195000,73.045,73.05,72.99,72.99,5948,0
SPLV.US,5,20250728,195500,72.9978,72.9978,72.94,72.956,11842,0
SPLV.US,5,20250728,200000,72.965,73.01,72.94,72.94,12535,0
SPLV.US,5,20250728,200500,72.93,72.94,72.8958,72.905,6544,0
SPLV.US,5,20250728,201000,72.9199,72.93,72.91,72.92,8135,0
SPLV.US,5,20250728,201500,72.92,72.96,72.9167,72.92,8405,0
SPLV.US,5,20250728,202000,72.9,72.93,72.9,72.93,10301,0
SPLV.US,5,20250728,202500,72.93,72.97,72.92,72.97,5727,0
SPLV.US,5,20250728,203000,72.965,72.995,72.965,72.985,3325,0
SPLV.US,5,20250728,203500,72.99,73.02,72.99,73.01,5477,0
SPLV.US,5,20250728,204000,73.01,73.01627,72.975,72.975,4765,0
SPLV.US,5,20250728,204500,72.9701,72.985,72.9401,72.9401,15683,0
SPLV.US,5,20250728,205000,72.95,72.965,72.945,72.95,8396,0
SPLV.US,5,20250728,205500,72.95,72.955,72.93,72.95,5100,0
SPLV.US,5,20250728,210000,72.95,72.95,72.905,72.905,2140,0
SPLV.US,5,20250728,210500,72.905,72.91,72.8501,72.88,5412,0
