<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STXD.US,5,20250728,160500,35.7,35.71,35.7,35.71,200,0
STXD.US,5,20250728,161000,35.71,35.71,35.7,35.7,536,0
STXD.US,5,20250728,170000,35.71,35.71,35.71,35.71,100,0
STXD.US,5,20250728,171000,35.68,35.68,35.68,35.68,103,0
STXD.US,5,20250728,174500,35.69,35.69,35.69,35.69,100,0
STXD.US,5,20250728,180000,35.7178,35.7178,35.7178,35.7178,100,0
STXD.US,5,20250728,180500,35.72,35.72,35.72,35.72,100,0
STXD.US,5,20250728,181500,35.727,35.727,35.727,35.727,283,0
STXD.US,5,20250728,185000,35.66,35.66,35.66,35.66,103,0
STXD.US,5,20250728,191000,35.68,35.6802,35.68,35.6802,735,0
STXD.US,5,20250728,192500,35.65,35.65,35.65,35.65,100,0
STXD.US,5,20250728,201000,35.5901,35.5901,35.5901,35.5901,100,0
STXD.US,5,20250728,203500,35.61,35.61,35.61,35.61,100,0
STXD.US,5,20250728,211000,35.58,35.58,35.58,35.58,100,0
STXD.US,5,20250728,215500,35.67,35.67,35.67,35.67,192,0
STXD.US,5,20250729,173500,35.51,35.5101,35.51,35.5101,796,0
STXD.US,5,20250729,202500,35.52,35.52,35.52,35.52,314,0
STXD.US,5,20250729,203000,35.53,35.53,35.53,35.53,100,0
STXD.US,5,20250729,215500,35.52,35.52,35.52,35.52,833,0
STXD.US,5,20250730,153500,35.55,35.55,35.55,35.55,614,0
STXD.US,5,20250730,160000,35.54,35.5401,35.54,35.5401,350,0
STXD.US,5,20250730,200000,35.54,35.54,35.54,35.54,100,0
STXD.US,5,20250730,211500,35.34,35.34,35.34,35.34,749,0
STXD.US,5,20250731,161500,35.49,35.49,35.49,35.49,100,0
STXD.US,5,20250731,162500,35.49,35.49,35.49,35.49,200,0
STXD.US,5,20250731,165500,35.46,35.46,35.46,35.46,112,0
STXD.US,5,20250731,183500,35.46,35.4608,35.46,35.4608,716,0
STXD.US,5,20250731,184500,35.48,35.48,35.48,35.48,278,0
STXD.US,5,20250731,203000,35.29,35.29,35.27,35.27,2184,0
STXD.US,5,20250731,211000,35.26,35.26,35.2599,35.2599,400,0
STXD.US,5,20250731,213000,35.18,35.18,35.18,35.18,567,0
STXD.US,5,20250731,214500,35.17,35.17,35.14,35.14,200,0
STXD.US,5,20250731,215500,35.11,35.11,35.11,35.11,100,0
STXD.US,5,20250801,174000,34.7858,34.7858,34.7858,34.7858,100,0
STXD.US,5,20250804,154000,35.052,35.052,35.052,35.052,100,0
