<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STXE.US,5,20250728,163000,31.1,31.1,31.1,31.1,700,0
STXE.US,5,20250728,173000,31.13,31.13,31.13,31.13,100,0
STXE.US,5,20250728,175000,31.1,31.1,31.1,31.1,877,0
STXE.US,5,20250728,181500,31.13,31.13,31.13,31.13,100,0
STXE.US,5,20250728,183000,31.1342,31.1342,31.1342,31.1342,100,0
STXE.US,5,20250728,191000,31.0604,31.0604,31.0604,31.0604,483,0
STXE.US,5,20250728,194500,31.07,31.07,31.0507,31.0507,200,0
STXE.US,5,20250728,213500,31.1,31.1,31.1,31.1,100,0
STXE.US,5,20250728,215500,31.1,31.1,31.1,31.1,252,0
STXE.US,5,20250729,160000,31.12,31.12,31.09,31.09,1623,0
STXE.US,5,20250729,160500,31.09,31.09,31.09,31.09,300,0
STXE.US,5,20250729,184500,31.05,31.05,31.05,31.05,141,0
STXE.US,5,20250729,191000,31.13,31.13,31.13,31.13,100,0
STXE.US,5,20250729,191500,31.14,31.14,31.14,31.14,100,0
STXE.US,5,20250729,202500,31.105,31.105,31.105,31.105,163,0
STXE.US,5,20250729,204000,31.15,31.15,31.15,31.15,100,0
STXE.US,5,20250729,214500,31.11,31.11,31.11,31.11,100,0
STXE.US,5,20250730,155000,31.12,31.12,31.12,31.12,100,0
STXE.US,5,20250730,163500,31.15,31.15,31.15,31.15,300,0
STXE.US,5,20250730,165500,31.13,31.13,31.13,31.13,600,0
STXE.US,5,20250730,184500,31.125,31.125,31.125,31.125,100,0
STXE.US,5,20250730,200000,31.0929,31.0929,31.0929,31.0929,112,0
STXE.US,5,20250730,210500,31.05,31.05,31.05,31.05,100,0
STXE.US,5,20250730,211500,31.03,31.03,31.03,31.03,434,0
STXE.US,5,20250730,212000,31.02,31.02,31.02,31.02,100,0
STXE.US,5,20250730,214500,30.99,30.99,30.99,30.99,100,0
STXE.US,5,20250731,154000,30.98,30.98,30.92,30.92,900,0
STXE.US,5,20250731,154500,31.02,31.02,31.02,31.02,135,0
STXE.US,5,20250731,155000,30.93,30.9301,30.921,30.921,310,0
STXE.US,5,20250731,173500,31.03,31.03,31.03,31.03,634,0
STXE.US,5,20250731,174000,31.1167,31.1167,31.1167,31.1167,224,0
STXE.US,5,20250731,185000,31.0136,31.0136,31.0136,31.0136,306,0
STXE.US,5,20250731,194500,30.8997,30.965,30.8997,30.965,212,0
STXE.US,5,20250731,200000,30.955,30.955,30.955,30.955,100,0
STXE.US,5,20250731,202000,30.95,30.95,30.95,30.95,100,0
STXE.US,5,20250731,203000,30.94,30.94,30.94,30.94,100,0
STXE.US,5,20250731,204500,31.01,31.01,30.92,30.9572,1179,0
STXE.US,5,20250731,211000,30.965,30.965,30.965,30.965,108,0
STXE.US,5,20250731,211500,30.92,30.92,30.92,30.92,100,0
STXE.US,5,20250801,154500,30.82,30.82,30.82,30.82,300,0
STXE.US,5,20250801,155000,30.86,30.86,30.8,30.85,864,0
STXE.US,5,20250801,161500,30.77,30.77,30.77,30.77,859,0
STXE.US,5,20250801,165000,30.7629,30.7629,30.7629,30.7629,182,0
STXE.US,5,20250801,165500,30.785,30.785,30.785,30.785,213,0
STXE.US,5,20250801,175500,30.82,30.82,30.82,30.82,100,0
STXE.US,5,20250801,205500,30.71,30.71,30.71,30.71,150,0
STXE.US,5,20250801,212500,30.77,30.77,30.77,30.77,325,0
STXE.US,5,20250801,214500,30.73,30.73,30.73,30.73,100,0
STXE.US,5,20250801,215000,30.735,30.735,30.735,30.735,1036,0
STXE.US,5,20250804,153500,31.1208,31.1208,31.1208,31.1208,100,0
STXE.US,5,20250804,163000,31.03,31.03,31.02,31.02,782,0
STXE.US,5,20250804,164000,31.06,31.0749,31.0301,31.0301,1410,0
STXE.US,5,20250804,172500,31.0297,31.0297,31.0297,31.0297,200,0
STXE.US,5,20250804,174000,30.9577,30.9577,30.935,30.935,249,0
STXE.US,5,20250804,174500,30.95,30.95,30.95,30.95,100,0
STXE.US,5,20250804,175000,30.96,30.96,30.96,30.96,200,0
STXE.US,5,20250804,175500,30.9551,30.9551,30.9551,30.9551,191,0
STXE.US,5,20250804,180000,30.97,30.97,30.97,30.97,200,0
STXE.US,5,20250804,190000,31.02,31.02,31.02,31.02,100,0
STXE.US,5,20250804,205000,30.9752,30.98,30.9752,30.98,1015,0
STXE.US,5,20250804,210000,30.98,30.98,30.98,30.98,200,0
STXE.US,5,20250804,212500,30.99,30.99,30.96,30.96,481,0
STXE.US,5,20250804,214500,31.03,31.04,31.03,31.04,300,0
STXE.US,5,20250804,215500,30.96,30.96,30.96,30.96,124,0
STXE.US,5,20250805,160000,31.14,31.14,31.14,31.14,100,0
STXE.US,5,20250805,161000,31.25,31.25,31.25,31.25,876,0
STXE.US,5,20250805,161500,31.0616,31.0616,31.0616,31.0616,163,0
STXE.US,5,20250805,174500,31.03,31.035,31.03,31.035,555,0
STXE.US,5,20250805,175500,31.04,31.04,31.04,31.04,293,0
STXE.US,5,20250805,180000,31.04,31.04,31.04,31.04,100,0
