<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TILL.US,5,20250728,161500,18.18,18.18,18.18,18.18,100,0
TILL.US,5,20250728,163500,18.02,18.02,18.02,18.02,200,0
TILL.US,5,20250728,165500,18.19,18.19,18.19,18.19,100,0
TILL.US,5,20250729,153500,18.0898,18.0898,18.0898,18.0898,100,0
TILL.US,5,20250729,161500,18.14,18.14,18.14,18.14,100,0
TILL.US,5,20250729,162500,18.1,18.1,18.1,18.1,1000,0
TILL.US,5,20250729,163000,18.0009,18.0009,18.0009,18.0009,269,0
TILL.US,5,20250729,165000,18.16,18.16,18.16,18.16,100,0
TILL.US,5,20250729,215500,18.085,18.085,18,18,200,0
TILL.US,5,20250730,175000,18.11,18.11,18.11,18.11,300,0
TILL.US,5,20250730,194500,17.9019,17.9019,17.9019,17.9019,166,0
TILL.US,5,20250731,181500,17.895,17.895,17.895,17.895,100,0
TILL.US,5,20250801,160500,17.77,17.77,17.76,17.77,600,0
TILL.US,5,20250801,161500,17.92,17.92,17.92,17.92,100,0
TILL.US,5,20250805,154000,17.7,17.758,17.7,17.758,700,0
TILL.US,5,20250805,182000,17.6515,17.6515,17.6515,17.6515,500,0
TILL.US,5,20250805,212000,17.6501,17.6501,17.65,17.65,1000,0
TILL.US,5,20250806,201000,17.6,17.6,17.6,17.6,300,0
TILL.US,5,20250806,205500,17.56,17.72,17.56,17.56,1000,0
TILL.US,5,20250808,154500,17.85,17.85,17.85,17.85,193,0
TILL.US,5,20250811,153000,17.9,17.9,17.9,17.9,307,0
TILL.US,5,20250812,182000,17.93,17.93,17.93,17.93,200,0
TILL.US,5,20250812,194000,17.95,17.95,17.95,17.95,111,0
TILL.US,5,20250813,153000,17.92,17.92,17.92,17.92,112,0
TILL.US,5,20250814,215500,17.91,17.91,17.91,17.91,101,0
TILL.US,5,20250815,175000,17.95,17.95,17.94,17.95,1916,0
TILL.US,5,20250819,202000,17.819,17.819,17.819,17.819,2725,0
TILL.US,5,20250820,164500,18.0388,18.0388,18.0388,18.0388,100,0
