<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPRO.US,5,20250728,153000,99.5,99.65,99.415,99.5167,197417,0
UPRO.US,5,20250728,153500,99.5298,99.58,99.43,99.45,88784,0
UPRO.US,5,20250728,154000,99.45,99.45,99.29,99.4,76247,0
UPRO.US,5,20250728,154500,99.41,99.58,99.34,99.38,71437,0
UPRO.US,5,20250728,155000,99.3798,99.4963,99.35,99.39,42068,0
UPRO.US,5,20250728,155500,99.38,99.48,99.32,99.46,26685,0
UPRO.US,5,20250728,160000,99.46,99.5657,99.398,99.565,44835,0
UPRO.US,5,20250728,160500,99.57,99.7,99.57,99.65,61668,0
UPRO.US,5,20250728,161000,99.65,99.715,99.56,99.705,37628,0
UPRO.US,5,20250728,161500,99.7,99.74,99.6303,99.66,32429,0
UPRO.US,5,20250728,162000,99.67,99.7,99.41,99.49,88998,0
UPRO.US,5,20250728,162500,99.49,99.6401,99.4759,99.585,33249,0
UPRO.US,5,20250728,163000,99.6018,99.64,99.53,99.55,25794,0
UPRO.US,5,20250728,163500,99.54,99.5802,99.45,99.5802,16719,0
UPRO.US,5,20250728,164000,99.585,99.67,99.53,99.64,21010,0
UPRO.US,5,20250728,164500,99.635,99.64,99.5355,99.5648,9333,0
UPRO.US,5,20250728,165000,99.56,99.5752,99.39,99.41,24887,0
UPRO.US,5,20250728,165500,99.41,99.495,99.37,99.45,31496,0
UPRO.US,5,20250728,170000,99.46,99.48,99.36,99.42,12279,0
UPRO.US,5,20250728,170500,99.41,99.495,99.4018,99.45,8010,0
UPRO.US,5,20250728,171000,99.45,99.45,99.39,99.42,19544,0
UPRO.US,5,20250728,171500,99.43,99.475,99.06,99.14,65919,0
UPRO.US,5,20250728,172000,99.115,99.24,98.95,99.24,61771,0
UPRO.US,5,20250728,172500,99.24,99.2947,99.17,99.2947,41262,0
UPRO.US,5,20250728,173000,99.29,99.38,99.25,99.35,17717,0
UPRO.US,5,20250728,173500,99.36,99.4363,99.35,99.35,18112,0
UPRO.US,5,20250728,174000,99.36,99.4,99.33,99.3971,9819,0
UPRO.US,5,20250728,174500,99.4,99.42,99.34,99.4099,12332,0
UPRO.US,5,20250728,175000,99.41,99.51,99.405,99.47,15596,0
UPRO.US,5,20250728,175500,99.4914,99.515,99.44,99.46,7655,0
UPRO.US,5,20250728,180000,99.43,99.44,99.3382,99.42,13268,0
UPRO.US,5,20250728,180500,99.41,99.43,99.3,99.3,18164,0
UPRO.US,5,20250728,181000,99.32,99.39,99.28,99.39,17638,0
UPRO.US,5,20250728,181500,99.4,99.49,99.3704,99.44,11041,0
UPRO.US,5,20250728,182000,99.465,99.55,99.45,99.465,16935,0
UPRO.US,5,20250728,182500,99.46,99.4751,99.39,99.44,12443,0
UPRO.US,5,20250728,183000,99.44,99.45,99.3378,99.34,20249,0
UPRO.US,5,20250728,183500,99.37,99.3718,99.295,99.31,6622,0
UPRO.US,5,20250728,184000,99.33,99.38,99.31,99.31,12580,0
UPRO.US,5,20250728,184500,99.3236,99.3236,99.17,99.19,18369,0
UPRO.US,5,20250728,185000,99.22,99.24,99.15,99.18,27434,0
UPRO.US,5,20250728,185500,99.2,99.24,99.1848,99.21,10082,0
UPRO.US,5,20250728,190000,99.1918,99.2893,99.1607,99.2733,15571,0
UPRO.US,5,20250728,190500,99.27,99.3,99.2251,99.25,19436,0
UPRO.US,5,20250728,191000,99.23,99.28,99.22,99.26,7294,0
UPRO.US,5,20250728,191500,99.25,99.26,98.92,98.99,37754,0
UPRO.US,5,20250728,192000,98.955,99.095,98.94,98.94,29346,0
UPRO.US,5,20250728,192500,98.9401,99.038,98.88,98.94,25307,0
UPRO.US,5,20250728,193000,98.93,99.105,98.93,99.075,21060,0
UPRO.US,5,20250728,193500,99.07,99.12,99.04,99.07,21799,0
UPRO.US,5,20250728,194000,99.07,99.1248,99.07,99.12,13653,0
UPRO.US,5,20250728,194500,99.12,99.14,99.01,99.0152,14021,0
UPRO.US,5,20250728,195000,99.01,99.04,98.9201,98.925,53567,0
UPRO.US,5,20250728,195500,98.9318,98.98,98.83,98.835,18230,0
UPRO.US,5,20250728,200000,98.832,98.89,98.73,98.76,52425,0
UPRO.US,5,20250728,200500,98.752,98.805,98.59,98.705,49887,0
UPRO.US,5,20250728,201000,98.65,98.81,98.64,98.7765,51234,0
UPRO.US,5,20250728,201500,98.78,98.86,98.755,98.755,20748,0
UPRO.US,5,20250728,202000,98.76,98.76,98.67,98.69,31922,0
UPRO.US,5,20250728,202500,98.68,98.82,98.66,98.8001,26198,0
UPRO.US,5,20250728,203000,98.81,98.83,98.7273,98.76,10970,0
UPRO.US,5,20250728,203500,98.76,98.83,98.72,98.8,11995,0
UPRO.US,5,20250728,204000,98.8,98.845,98.7665,98.79,21109,0
UPRO.US,5,20250728,204500,98.7853,98.8552,98.74,98.8265,17742,0
UPRO.US,5,20250728,205000,98.84,98.9175,98.83,98.87,52265,0
UPRO.US,5,20250728,205500,98.84,98.905,98.81,98.825,9485,0
UPRO.US,5,20250728,210000,98.81,98.84,98.76,98.77,17811,0
UPRO.US,5,20250728,210500,98.77,98.79,98.66,98.74,22112,0
UPRO.US,5,20250728,211000,98.69,98.78,98.68,98.7752,11748,0
UPRO.US,5,20250728,211500,98.78,98.7903,98.69,98.75,16798,0
UPRO.US,5,20250728,212000,98.76,98.85,98.76,98.8,30471,0
UPRO.US,5,20250728,212500,98.79,98.82,98.7665,98.81,13057,0
UPRO.US,5,20250728,213000,98.81,98.845,98.71,98.73,34093,0
UPRO.US,5,20250728,213500,98.73,98.84,98.73,98.8,23030,0
UPRO.US,5,20250728,214000,98.8,98.91,98.7846,98.9,52842,0
UPRO.US,5,20250728,214500,98.91,99,98.8542,98.97,34812,0
UPRO.US,5,20250728,215000,98.97,99.11,98.89,99.07,102103,0
UPRO.US,5,20250728,215500,99.06,99.26,99.06,99.22,130107,0
UPRO.US,5,20250729,153000,99.87,100,99.72,99.81,135838,0
UPRO.US,5,20250729,153500,99.81,99.955,99.78,99.931,50692,0
UPRO.US,5,20250729,154000,99.96,99.96,99.66,99.72,83909,0
UPRO.US,5,20250729,154500,99.73,99.765,99.39,99.55,71686,0
UPRO.US,5,20250729,155000,99.56,99.635,99.34,99.63,54723,0
UPRO.US,5,20250729,155500,99.62,99.74,99.5,99.675,69377,0
UPRO.US,5,20250729,160000,99.66,99.71,99.52,99.55,37128,0
UPRO.US,5,20250729,160500,99.59,99.6447,99.51,99.59,44748,0
UPRO.US,5,20250729,161000,99.56,99.68,99.5,99.63,21219,0
UPRO.US,5,20250729,161500,99.67,99.6951,99.57,99.64,29535,0
UPRO.US,5,20250729,162000,99.65,99.69,99.52,99.59,30999,0
UPRO.US,5,20250729,162500,99.59,99.6,99.4,99.57,46765,0
UPRO.US,5,20250729,163000,99.58,99.6,99.44,99.4596,39133,0
UPRO.US,5,20250729,163500,99.49,99.52,99.39,99.46,25155,0
UPRO.US,5,20250729,164000,99.45,99.52,99.32,99.32,29575,0
UPRO.US,5,20250729,164500,99.32,99.3701,99.26,99.3,32316,0
UPRO.US,5,20250729,165000,99.31,99.32,99.01,99.1,58580,0
UPRO.US,5,20250729,165500,99.09,99.145,99.02,99.095,44803,0
UPRO.US,5,20250729,170000,99.09,99.23,98.99,99.02,42032,0
UPRO.US,5,20250729,170500,99.05,99.05,98.91,98.975,30204,0
UPRO.US,5,20250729,171000,98.9732,99.085,98.925,98.925,24247,0
UPRO.US,5,20250729,171500,98.92,98.94879,98.83,98.8303,35641,0
