<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNSE.US,5,20250729,175000,36.72,36.72,36.72,36.72,100,0
VNSE.US,5,20250731,173000,37.04,37.04,37.04,37.04,100,0
VNSE.US,5,20250801,204000,36.48,36.48,36.48,36.48,600,0
VNSE.US,5,20250804,181000,36.95,36.96,36.94,36.94,7600,0
VNSE.US,5,20250804,184500,36.94,36.94,36.94,36.94,100,0
VNSE.US,5,20250804,212000,36.94,36.94,36.94,36.94,100,0
VNSE.US,5,20250805,210500,36.64,36.64,36.64,36.64,16580,0
VNSE.US,5,20250806,194500,36.68,36.68,36.68,36.68,300,0
VNSE.US,5,20250806,195000,36.67,36.67,36.67,36.67,658,0
VNSE.US,5,20250806,195500,36.68,36.68,36.68,36.68,306,0
VNSE.US,5,20250806,200000,36.7,36.7,36.7,36.7,312,0
VNSE.US,5,20250806,200500,36.71,36.71,36.71,36.71,318,0
VNSE.US,5,20250806,201000,36.71,36.71,36.71,36.71,654,0
VNSE.US,5,20250806,201500,36.71,36.71,36.71,36.71,329,0
VNSE.US,5,20250806,202000,36.71,36.71,36.71,36.71,334,0
VNSE.US,5,20250806,202500,36.71,36.71,36.71,36.71,670,0
VNSE.US,5,20250806,203000,36.72,36.72,36.72,36.72,362,0
VNSE.US,5,20250806,203500,36.73,36.73,36.73,36.73,314,0
VNSE.US,5,20250806,204000,36.73,36.73,36.73,36.73,333,0
VNSE.US,5,20250806,204500,36.73,36.73,36.73,36.73,662,0
VNSE.US,5,20250806,205000,36.73,36.73,36.73,36.73,323,0
VNSE.US,5,20250806,205500,36.73,36.73,36.72,36.72,626,0
VNSE.US,5,20250806,210000,36.73,36.73,36.73,36.73,327,0
VNSE.US,5,20250806,210500,36.73,36.73,36.73,36.73,653,0
VNSE.US,5,20250806,211000,36.73,36.73,36.73,36.73,673,0
VNSE.US,5,20250806,211500,36.73,36.73,36.73,36.73,347,0
VNSE.US,5,20250806,212000,36.73,36.73,36.73,36.73,628,0
VNSE.US,5,20250806,212500,36.73,36.73,36.73,36.73,625,0
VNSE.US,5,20250806,213000,36.73,36.73,36.73,36.73,644,0
VNSE.US,5,20250806,213500,36.73,36.73,36.73,36.73,653,0
VNSE.US,5,20250806,214000,36.73,36.73,36.73,36.73,685,0
VNSE.US,5,20250806,214500,36.73,36.73,36.73,36.73,819,0
VNSE.US,5,20250806,215000,36.73,36.73,36.73,36.73,1076,0
VNSE.US,5,20250806,215500,36.73,36.77,36.73,36.77,2665,0
VNSE.US,5,20250812,192000,37.25,37.25,37.25,37.25,1085,0
VNSE.US,5,20250828,184000,37.71,37.71,37.71,37.71,1237,0
VNSE.US,5,20251007,202500,38.56,38.56,38.56,38.56,670,0
VNSE.US,5,20251014,170000,38.38,38.38,38.3792,38.3792,200,0
VNSE.US,5,20251023,160000,38.76,38.76,38.7599,38.7599,704,0
VNSE.US,5,20251117,175000,38.3,38.3,38.3,38.3,260,0
VNSE.US,5,20251118,165500,37.37,37.37,37.37,37.37,260,0
VNSE.US,5,20251204,180000,38.61,38.6101,38.61,38.6101,1000,0
VNSE.US,5,20251204,184500,38.62,38.62,38.62,38.62,1500,0
VNSE.US,5,20251205,173000,38.81,38.81,38.81,38.81,410,0
VNSE.US,5,20251205,175000,38.81,38.81,38.81,38.81,410,0
VNSE.US,5,20251211,194500,39,39,38.9881,38.9881,2372,0
VNSE.US,5,20251222,200000,38.38,38.38,38.38,38.38,265,0
