<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBB.US,5,20250728,160500,40.96,40.96,40.96,40.96,100,0
XBB.US,5,20250728,163500,40.9582,40.9582,40.9582,40.9582,100,0
XBB.US,5,20250728,170000,40.96,40.96,40.96,40.96,100,0
XBB.US,5,20250728,192000,40.97,40.98,40.97,40.98,300,0
XBB.US,5,20250728,214500,40.94,40.97,40.94,40.97,1371,0
XBB.US,5,20250728,215500,41.06,41.39,40.95,40.99,2594,0
XBB.US,5,20250729,155500,40.9241,40.9241,40.9241,40.9241,100,0
XBB.US,5,20250729,170500,40.97,40.97,40.94,40.9583,2740,0
XBB.US,5,20250729,172500,40.97,40.97,40.97,40.97,100,0
XBB.US,5,20250729,182500,40.95,40.95,40.95,40.95,102,0
XBB.US,5,20250729,183500,40.9608,40.9608,40.9608,40.9608,227,0
XBB.US,5,20250729,185000,40.99,41.05,40.99,41,906,0
XBB.US,5,20250729,192500,41.01,41.01,41.01,41.01,100,0
XBB.US,5,20250729,193500,41.01,41.01,41.01,41.01,146,0
XBB.US,5,20250729,194000,40.99,40.99,40.99,40.99,100,0
XBB.US,5,20250729,194500,40.985,40.985,40.985,40.985,205,0
XBB.US,5,20250729,210000,41.0099,41.0099,40.9803,40.9803,283,0
XBB.US,5,20250729,213500,40.9601,41,40.9601,40.9999,316,0
XBB.US,5,20250730,174500,40.9238,40.9238,40.9238,40.9238,100,0
XBB.US,5,20250730,190000,40.93,40.959,40.93,40.959,910,0
XBB.US,5,20250730,195500,40.989,40.989,40.989,40.989,100,0
XBB.US,5,20250730,200000,41,41,41,41,100,0
XBB.US,5,20250730,204500,40.97,40.97,40.97,40.97,100,0
XBB.US,5,20250730,212000,40.91,40.91,40.91,40.91,100,0
XBB.US,5,20250730,212500,40.91,40.99,40.91,40.9127,611,0
XBB.US,5,20250730,214000,40.9297,40.9297,40.9297,40.9297,370,0
XBB.US,5,20250730,215000,40.92,40.92,40.92,40.92,104,0
XBB.US,5,20250731,160500,40.96,40.96,40.96,40.96,100,0
XBB.US,5,20250731,170000,40.97,41.119,40.97,41.119,1631,0
XBB.US,5,20250731,172000,40.9424,40.9424,40.94,40.9401,345,0
XBB.US,5,20250731,173500,41.01,41.01,41.01,41.01,100,0
XBB.US,5,20250731,191500,40.9792,40.9792,40.9792,40.9792,147,0
XBB.US,5,20250731,192500,40.98,40.98,40.97,40.97,200,0
XBB.US,5,20250731,195000,40.98,40.98,40.96,40.96,301,0
XBB.US,5,20250731,210500,40.96,40.96,40.96,40.96,4567,0
XBB.US,5,20250731,211500,40.955,40.955,40.955,40.955,134,0
XBB.US,5,20250731,214000,40.97,40.97,40.94,40.954,1508,0
XBB.US,5,20250731,215000,40.95,40.95,40.95,40.95,100,0
XBB.US,5,20250801,160500,40.71,40.71,40.71,40.71,100,0
XBB.US,5,20250801,163000,40.77,40.8499,40.75,40.8499,1346,0
XBB.US,5,20250801,164000,40.76,40.76,40.76,40.76,100,0
