<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XSHD.US,5,20250728,153000,13.5,13.5,13.45,13.45,2000,0
XSHD.US,5,20250728,153500,13.45,13.45,13.45,13.45,1000,0
XSHD.US,5,20250728,154000,13.4435,13.4435,13.4435,13.4435,3048,0
XSHD.US,5,20250728,154500,13.4404,13.4493,13.44,13.44,1736,0
XSHD.US,5,20250728,155500,13.41,13.41,13.4,13.4036,2200,0
XSHD.US,5,20250728,160000,13.4,13.4,13.4,13.4,3774,0
XSHD.US,5,20250728,160500,13.4394,13.4394,13.4394,13.4394,100,0
XSHD.US,5,20250728,161000,13.4201,13.43,13.4201,13.43,649,0
XSHD.US,5,20250728,161500,13.42,13.42,13.42,13.42,358,0
XSHD.US,5,20250728,162000,13.4296,13.4296,13.41,13.42,438,0
XSHD.US,5,20250728,162500,13.42,13.42,13.42,13.42,304,0
XSHD.US,5,20250728,163000,13.4304,13.4304,13.4101,13.4101,251,0
XSHD.US,5,20250728,163500,13.4119,13.421,13.4119,13.421,411,0
XSHD.US,5,20250728,164000,13.43,13.43,13.43,13.43,200,0
XSHD.US,5,20250728,165500,13.44,13.44,13.44,13.44,100,0
XSHD.US,5,20250728,170500,13.4319,13.4319,13.43,13.43,289,0
XSHD.US,5,20250728,171000,13.4305,13.435,13.4305,13.435,476,0
XSHD.US,5,20250728,172500,13.43,13.43,13.43,13.43,100,0
XSHD.US,5,20250728,173500,13.43,13.43,13.43,13.43,341,0
XSHD.US,5,20250728,174500,13.43,13.43,13.43,13.43,296,0
XSHD.US,5,20250728,175000,13.43,13.43,13.43,13.43,555,0
XSHD.US,5,20250728,180000,13.44,13.44,13.43,13.43,810,0
XSHD.US,5,20250728,181000,13.4499,13.4499,13.4499,13.4499,100,0
XSHD.US,5,20250728,181500,13.45,13.45,13.4402,13.4402,400,0
XSHD.US,5,20250728,183000,13.45,13.45,13.44,13.44,1300,0
XSHD.US,5,20250728,183500,13.44,13.44,13.425,13.425,1323,0
XSHD.US,5,20250728,190000,13.4147,13.4147,13.4147,13.4147,250,0
XSHD.US,5,20250728,190500,13.4102,13.4102,13.4102,13.4102,500,0
XSHD.US,5,20250728,191500,13.4001,13.4001,13.39,13.39,1696,0
XSHD.US,5,20250728,193000,13.38,13.38,13.3718,13.3748,1100,0
XSHD.US,5,20250728,193500,13.38,13.38,13.38,13.38,100,0
XSHD.US,5,20250728,194000,13.3757,13.3757,13.3757,13.3757,625,0
XSHD.US,5,20250728,195500,13.38,13.38,13.37,13.37,244,0
XSHD.US,5,20250728,202000,13.36,13.3653,13.36,13.3653,206,0
XSHD.US,5,20250728,203500,13.37,13.37,13.37,13.37,100,0
XSHD.US,5,20250728,204500,13.3696,13.3696,13.36,13.36,700,0
XSHD.US,5,20250728,210000,13.3655,13.3655,13.36,13.36,600,0
XSHD.US,5,20250728,210500,13.36,13.36,13.36,13.36,269,0
XSHD.US,5,20250728,212500,13.36,13.36,13.35,13.35,1057,0
XSHD.US,5,20250728,213000,13.3565,13.3565,13.3565,13.3565,100,0
XSHD.US,5,20250728,214000,13.35,13.35,13.34,13.35,1311,0
XSHD.US,5,20250728,214500,13.355,13.355,13.355,13.355,100,0
XSHD.US,5,20250728,215000,13.35,13.35,13.35,13.35,100,0
XSHD.US,5,20250728,215500,13.35,13.35,13.35,13.35,340,0
XSHD.US,5,20250729,153000,13.38,13.38,13.3395,13.3395,1231,0
XSHD.US,5,20250729,153500,13.33,13.33,13.33,13.33,100,0
XSHD.US,5,20250729,154500,13.34,13.34,13.34,13.34,100,0
XSHD.US,5,20250729,155500,13.34,13.34,13.3344,13.3344,329,0
XSHD.US,5,20250729,160000,13.3201,13.3201,13.32,13.32,10400,0
XSHD.US,5,20250729,161500,13.35,13.35,13.33,13.33,3338,0
XSHD.US,5,20250729,162000,13.3467,13.3467,13.33,13.33,568,0
XSHD.US,5,20250729,162500,13.3465,13.3465,13.3465,13.3465,367,0
XSHD.US,5,20250729,163000,13.3421,13.3421,13.34,13.34,783,0
XSHD.US,5,20250729,163500,13.3317,13.34,13.3317,13.34,2138,0
XSHD.US,5,20250729,164500,13.343,13.343,13.343,13.343,300,0
XSHD.US,5,20250729,165000,13.3301,13.3301,13.3301,13.3301,500,0
XSHD.US,5,20250729,170000,13.3399,13.3399,13.3399,13.3399,400,0
XSHD.US,5,20250729,170500,13.34,13.34,13.34,13.34,200,0
XSHD.US,5,20250729,171500,13.35,13.35,13.35,13.35,1300,0
XSHD.US,5,20250729,172000,13.36,13.36,13.36,13.36,157,0
XSHD.US,5,20250729,172500,13.3501,13.3501,13.3501,13.3501,2500,0
XSHD.US,5,20250729,174000,13.3448,13.35,13.3409,13.35,4419,0
XSHD.US,5,20250729,180000,13.35,13.35,13.35,13.35,237,0
XSHD.US,5,20250729,181500,13.335,13.335,13.335,13.335,1188,0
XSHD.US,5,20250729,183000,13.3347,13.3347,13.3347,13.3347,183,0
XSHD.US,5,20250729,184000,13.34,13.34,13.34,13.34,300,0
XSHD.US,5,20250729,184500,13.345,13.345,13.34,13.34,1000,0
XSHD.US,5,20250729,191000,13.35,13.35,13.35,13.35,2000,0
XSHD.US,5,20250729,192500,13.345,13.345,13.3307,13.3307,1555,0
XSHD.US,5,20250729,193500,13.33,13.33,13.32,13.32,2194,0
XSHD.US,5,20250729,194500,13.31,13.31,13.3099,13.3099,300,0
XSHD.US,5,20250729,195000,13.3,13.3,13.3,13.3,1000,0
XSHD.US,5,20250729,195500,13.3135,13.33,13.3135,13.32,6429,0
XSHD.US,5,20250729,201500,13.32,13.32,13.32,13.32,100,0
XSHD.US,5,20250729,202000,13.325,13.325,13.325,13.325,1000,0
XSHD.US,5,20250729,202500,13.325,13.325,13.325,13.325,100,0
XSHD.US,5,20250729,204000,13.33,13.33,13.3263,13.3263,2106,0
