<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XVV.US,5,20250728,154000,49.385,49.385,49.385,49.385,100,0
XVV.US,5,20250728,154500,49.285,49.55,49.285,49.49,574,0
XVV.US,5,20250728,160000,49.37,49.48,49.16,49.24,800,0
XVV.US,5,20250728,161500,49.26,49.26,49.25,49.25,500,0
XVV.US,5,20250728,162000,49.28,49.28,49.28,49.28,400,0
XVV.US,5,20250728,162500,49.2499,49.2499,49.2499,49.2499,101,0
XVV.US,5,20250728,163000,49.335,49.335,49.335,49.335,100,0
XVV.US,5,20250728,164500,49.26,49.26,49.26,49.26,500,0
XVV.US,5,20250728,165500,49.22,49.22,49.18,49.18,504,0
XVV.US,5,20250728,170000,49.26,49.26,49.26,49.26,200,0
XVV.US,5,20250728,171000,49.22,49.22,49.22,49.22,500,0
XVV.US,5,20250728,172000,49.16,49.16,49.16,49.16,100,0
XVV.US,5,20250728,174000,49.2,49.21,49.2,49.21,500,0
XVV.US,5,20250728,175000,49.175,49.175,49.175,49.175,273,0
XVV.US,5,20250728,180000,49.255,49.27,49.23,49.23,500,0
XVV.US,5,20250728,181500,49.1844,49.1844,49.175,49.175,3310,0
XVV.US,5,20250728,182000,49.23,49.23,49.23,49.23,500,0
XVV.US,5,20250728,183500,49.18,49.18,49.18,49.18,201,0
XVV.US,5,20250728,184000,49.21,49.21,49.21,49.21,500,0
XVV.US,5,20250728,190000,49.225,49.225,49.225,49.225,200,0
XVV.US,5,20250728,191500,49.19,49.19,49.19,49.19,500,0
XVV.US,5,20250728,194000,49.17,49.17,49.17,49.17,500,0
XVV.US,5,20250728,200000,49.175,49.175,49.175,49.175,400,0
XVV.US,5,20250728,202000,49.11,49.11,49.11,49.11,500,0
XVV.US,5,20250728,204000,49.1,49.1,49.1,49.1,500,0
XVV.US,5,20250728,205500,49.0593,49.0593,49.0593,49.0593,184,0
XVV.US,5,20250728,210000,49.16,49.16,49.16,49.16,300,0
XVV.US,5,20250728,211000,49.11,49.11,49.109,49.109,700,0
XVV.US,5,20250728,212500,49.11,49.11,49.11,49.11,187,0
XVV.US,5,20250728,213500,49.12,49.12,49.0401,49.0401,1020,0
XVV.US,5,20250728,214500,49.12,49.18,49.12,49.18,286,0
XVV.US,5,20250728,215000,49.19,49.19,49.15,49.15,600,0
XVV.US,5,20250728,215500,49.14,49.18,49.14,49.18,954,0
XVV.US,5,20250729,153000,49.33,49.33,49.33,49.33,270,0
XVV.US,5,20250729,154000,49.31,49.31,49.31,49.31,326,0
XVV.US,5,20250729,162000,49.2145,49.2145,49.2145,49.2145,142,0
XVV.US,5,20250729,163500,49.215,49.215,49.215,49.215,128,0
XVV.US,5,20250729,165500,49.13,49.13,49.13,49.13,100,0
XVV.US,5,20250729,171500,49.11,49.11,49.11,49.11,400,0
XVV.US,5,20250729,173500,49.04,49.04,49.04,49.04,500,0
XVV.US,5,20250729,174000,49.03,49.03,49.02,49.02,800,0
XVV.US,5,20250729,183000,49.05,49.05,49.05,49.05,300,0
XVV.US,5,20250729,183500,49.04,49.04,49.04,49.04,100,0
