<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZROZ.US,5,20250728,153000,63.56,63.62,63.53,63.6,988,0
ZROZ.US,5,20250728,153500,63.55,63.66,63.52,63.52,2914,0
ZROZ.US,5,20250728,154000,63.51,63.52,63.46,63.49,6414,0
ZROZ.US,5,20250728,154500,63.495,63.495,63.495,63.495,100,0
ZROZ.US,5,20250728,155000,63.52,63.52,63.46,63.46,3062,0
ZROZ.US,5,20250728,155500,63.4763,63.4763,63.4033,63.4033,1157,0
ZROZ.US,5,20250728,160000,63.5499,63.55,63.4372,63.55,1585,0
ZROZ.US,5,20250728,160500,63.68,63.68,63.67,63.67,300,0
ZROZ.US,5,20250728,161000,63.71,63.9052,63.71,63.9052,575,0
ZROZ.US,5,20250728,161500,63.9599,63.9599,63.78,63.78,2696,0
ZROZ.US,5,20250728,162500,63.7103,63.7103,63.7036,63.71,335,0
ZROZ.US,5,20250728,163000,63.81,63.81,63.7375,63.7375,893,0
ZROZ.US,5,20250728,163500,63.7381,63.7381,63.7381,63.7381,100,0
ZROZ.US,5,20250728,164000,63.72,63.87,63.72,63.87,965,0
ZROZ.US,5,20250728,164500,63.79,63.825,63.7601,63.825,493,0
ZROZ.US,5,20250728,165500,63.7,63.73,63.69,63.73,1100,0
ZROZ.US,5,20250728,170000,63.67,63.67,63.65,63.65,1000,0
ZROZ.US,5,20250728,171000,63.63,63.63,63.63,63.63,120,0
ZROZ.US,5,20250728,171500,63.67,63.67,63.64,63.64,308,0
ZROZ.US,5,20250728,172000,63.6561,63.6561,63.6,63.6,720,0
ZROZ.US,5,20250728,172500,63.57,63.57,63.57,63.57,100,0
ZROZ.US,5,20250728,173000,63.64,63.6999,63.63,63.6999,300,0
ZROZ.US,5,20250728,173500,63.57,63.63,63.57,63.63,400,0
ZROZ.US,5,20250728,174000,63.6686,63.7299,63.6686,63.7299,514,0
ZROZ.US,5,20250728,174500,63.6697,63.72,63.6697,63.71,975,0
ZROZ.US,5,20250728,175000,63.7,63.72,63.61,63.61,2406,0
ZROZ.US,5,20250728,175500,63.639902,63.639902,63.6,63.6,490,0
ZROZ.US,5,20250728,180000,63.64,63.66,63.61,63.66,1419,0
ZROZ.US,5,20250728,180500,63.63,63.6781,63.61,63.62,538,0
ZROZ.US,5,20250728,181000,63.625,63.63,63.61,63.61,1400,0
ZROZ.US,5,20250728,181500,63.57,63.58,63.57,63.5768,1502,0
ZROZ.US,5,20250728,182000,63.63,63.6643,63.63,63.6643,307,0
ZROZ.US,5,20250728,183000,63.6,63.6,63.555,63.575,2314,0
ZROZ.US,5,20250728,183500,63.59,63.59,63.55,63.56,550,0
ZROZ.US,5,20250728,184000,63.58,63.59,63.57,63.57,500,0
ZROZ.US,5,20250728,184500,63.58,63.63,63.58,63.63,600,0
ZROZ.US,5,20250728,185000,63.65,63.65,63.5785,63.5785,300,0
ZROZ.US,5,20250728,185500,63.65,63.65,63.65,63.65,1000,0
ZROZ.US,5,20250728,190000,63.685,63.685,63.63,63.65,480,0
ZROZ.US,5,20250728,190500,63.605,63.605,63.605,63.605,211,0
ZROZ.US,5,20250728,191000,63.56,63.56,63.56,63.56,200,0
ZROZ.US,5,20250728,191500,63.58,63.6,63.58,63.6,600,0
ZROZ.US,5,20250728,192500,63.571,63.571,63.571,63.571,217,0
ZROZ.US,5,20250728,194500,63.62,63.6699,63.571,63.571,13964,0
ZROZ.US,5,20250728,195000,63.59,63.61,63.5779,63.58,2117,0
ZROZ.US,5,20250728,195500,63.584,63.584,63.55,63.55,560,0
ZROZ.US,5,20250728,200500,63.55,63.55,63.55,63.55,2614,0
ZROZ.US,5,20250728,201500,63.56,63.56,63.56,63.56,200,0
ZROZ.US,5,20250728,202000,63.5157,63.5157,63.5157,63.5157,190,0
ZROZ.US,5,20250728,202500,63.56,63.56,63.525,63.525,400,0
ZROZ.US,5,20250728,203000,63.59,63.639,63.57,63.639,4980,0
ZROZ.US,5,20250728,203500,63.59,63.59,63.5339,63.5339,440,0
ZROZ.US,5,20250728,204000,63.52,63.52,63.5,63.5,1153,0
ZROZ.US,5,20250728,204500,63.54,63.54,63.47,63.49,4451,0
ZROZ.US,5,20250728,205000,63.5494,63.5494,63.475,63.475,981,0
ZROZ.US,5,20250728,205500,63.43,63.43,63.4149,63.4149,214,0
ZROZ.US,5,20250728,210000,63.44,63.47,63.44,63.47,200,0
ZROZ.US,5,20250728,210500,63.4801,63.4801,63.48,63.48,1523,0
ZROZ.US,5,20250728,211000,63.485,63.485,63.485,63.485,345,0
ZROZ.US,5,20250728,211500,63.52,63.52,63.52,63.52,300,0
ZROZ.US,5,20250728,213000,63.5272,63.5272,63.5272,63.5272,700,0
ZROZ.US,5,20250728,213500,63.525,63.525,63.525,63.525,332,0
ZROZ.US,5,20250728,214000,63.535,63.535,63.4801,63.4801,954,0
ZROZ.US,5,20250728,214500,63.49,63.5,63.47,63.47,1079,0
ZROZ.US,5,20250728,215000,63.46,63.52,63.46,63.52,1284,0
ZROZ.US,5,20250728,215500,63.5199,63.55,63.4501,63.48,5115,0
ZROZ.US,5,20250729,153000,63.91,63.94,63.91,63.94,1227,0
ZROZ.US,5,20250729,153500,63.9663,64.1,63.9,64.0659,3253,0
ZROZ.US,5,20250729,154000,64.2,64.22,64.17,64.2044,3428,0
ZROZ.US,5,20250729,154500,64.19,64.3,64.19,64.3,2760,0
ZROZ.US,5,20250729,155000,64.37,64.39,64.3501,64.38,11470,0
ZROZ.US,5,20250729,155500,64.37,64.39,64.32,64.32,700,0
ZROZ.US,5,20250729,160000,64.38,64.4,64.24,64.3028,1200,0
ZROZ.US,5,20250729,160500,64.36,64.41,64.29,64.29,1892,0
ZROZ.US,5,20250729,161000,64.36,64.38,64.32,64.38,5689,0
ZROZ.US,5,20250729,161500,64.42,64.6,64.41,64.54,14902,0
ZROZ.US,5,20250729,162000,64.61,64.75,64.55,64.75,15526,0
ZROZ.US,5,20250729,162500,64.7916,64.7916,64.67,64.67,1651,0
ZROZ.US,5,20250729,163000,64.65,64.72,64.65,64.72,908,0
ZROZ.US,5,20250729,163500,64.8,64.81,64.71,64.77,1696,0
ZROZ.US,5,20250729,164000,64.77,64.79,64.7,64.72,2700,0
ZROZ.US,5,20250729,164500,64.78,64.78,64.78,64.78,200,0
ZROZ.US,5,20250729,165000,64.68,64.76,64.68,64.7164,1938,0
ZROZ.US,5,20250729,165500,64.6901,64.74,64.6901,64.74,3540,0
ZROZ.US,5,20250729,170000,64.68,64.78,64.68,64.78,8925,0
ZROZ.US,5,20250729,170500,64.7827,64.85,64.7827,64.8083,1273,0
ZROZ.US,5,20250729,171500,64.875,64.875,64.82,64.83,3488,0
ZROZ.US,5,20250729,172000,64.83,64.945,64.83,64.945,1725,0
ZROZ.US,5,20250729,172500,64.95,64.9967,64.93,64.93,10023,0
ZROZ.US,5,20250729,173000,65,65,64.91,64.93,2894,0
ZROZ.US,5,20250729,173500,64.86,64.86,64.82,64.8225,1120,0
ZROZ.US,5,20250729,174000,64.8495,64.8495,64.8495,64.8495,550,0
ZROZ.US,5,20250729,174500,64.8016,64.8016,64.77,64.77,1600,0
ZROZ.US,5,20250729,175000,64.6826,64.685,64.57,64.57,4743,0
ZROZ.US,5,20250729,175500,64.5415,64.6,64.5415,64.5441,1450,0
