<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAM-U.US,5,20250821,183500,10.7,10.7,10.49,10.5,800,0
AAM-U.US,5,20250821,184000,10.56,10.56,10.56,10.56,900,0
AAM-U.US,5,20250821,184500,10.56,10.56,10.56,10.56,1500,0
AAM-U.US,5,20250821,185000,10.56,10.57,10.56,10.57,2800,0
AAM-U.US,5,20250821,185500,10.57,10.67,10.57,10.61,4900,0
AAM-U.US,5,20250821,190000,10.61,10.64,10.61,10.62,2850,0
AAM-U.US,5,20250829,183500,10.52,10.55,10.52,10.55,1000,0
AAM-U.US,5,20250829,185000,10.55,10.55,10.55,10.55,392,0
AAM-U.US,5,20250829,195000,10.55,10.55,10.55,10.55,400,0
AAM-U.US,5,20250929,215000,10.57,10.57,10.57,10.57,100,0
AAM-U.US,5,20251015,202000,10.59,10.5951,10.59,10.5951,346,0
AAM-U.US,5,20251203,163500,10.65,10.65,10.63,10.63,500,0
