<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAP.US,5,20250728,153000,58.57,58.8055,58.17,58.4,6865,0
AAP.US,5,20250728,153500,58.49,58.745,58.23,58.38,11297,0
AAP.US,5,20250728,154000,58.08,58.35,57.75,58.05,25881,0
AAP.US,5,20250728,154500,58.13,58.205,57.91,57.91,11776,0
AAP.US,5,20250728,155000,57.86,57.955,57.76,57.87,15088,0
AAP.US,5,20250728,155500,57.8416,57.8416,57.27,57.3281,17017,0
AAP.US,5,20250728,160000,57.2815,57.62,57.2815,57.62,26953,0
AAP.US,5,20250728,160500,57.68,57.7,57.4,57.4,7290,0
AAP.US,5,20250728,161000,57.485,57.54,57.41,57.52,6001,0
AAP.US,5,20250728,161500,57.46,57.48,57.33,57.4696,3547,0
AAP.US,5,20250728,162000,57.48,57.68,57.26,57.265,11420,0
AAP.US,5,20250728,162500,57.275,57.42,57.275,57.385,3270,0
AAP.US,5,20250728,163000,57.44,57.47,57.29,57.45,4703,0
AAP.US,5,20250728,163500,57.45,57.5,57.41,57.425,3399,0
AAP.US,5,20250728,164000,57.46,57.53,57.4029,57.52,3341,0
AAP.US,5,20250728,164500,57.51,57.51,57.39,57.41,5358,0
AAP.US,5,20250728,165000,57.41,57.41,57.26,57.26,8725,0
AAP.US,5,20250728,165500,57.25,57.46,57.21,57.42,8296,0
AAP.US,5,20250728,170000,57.38,57.42,57.24,57.24,5492,0
AAP.US,5,20250728,170500,57.3,57.3,57.1122,57.13,9433,0
AAP.US,5,20250728,171000,57.12,57.27,57.08,57.235,12199,0
AAP.US,5,20250728,171500,57.22,57.24,56.98,57.03,7482,0
AAP.US,5,20250728,172000,57.04,57.08,57.01,57.02,7324,0
AAP.US,5,20250728,172500,57.01,57.13,56.93,57.105,6276,0
AAP.US,5,20250728,173000,57.121,57.2,57.12,57.1689,2177,0
AAP.US,5,20250728,173500,57.1732,57.1732,57.055,57.055,5873,0
AAP.US,5,20250728,174000,57.06,57.1,57.03,57.09,6649,0
AAP.US,5,20250728,174500,57.09,57.17,57.07,57.17,6723,0
AAP.US,5,20250728,175000,57.18,57.2,57.14,57.1575,2536,0
AAP.US,5,20250728,175500,57.16,57.17,57.085,57.11,8487,0
AAP.US,5,20250728,180000,57.115,57.25,57.115,57.24,7289,0
AAP.US,5,20250728,180500,57.27,57.46,57.26,57.36,12726,0
AAP.US,5,20250728,181000,57.37,57.37,57.23,57.23,7617,0
AAP.US,5,20250728,181500,57.16,57.185,57.11,57.11,3348,0
AAP.US,5,20250728,182000,57.1,57.13,57.01,57.11,7400,0
AAP.US,5,20250728,182500,57.08,57.09,57.02,57.045,1780,0
AAP.US,5,20250728,183000,57.07,57.12,56.98,56.995,5856,0
AAP.US,5,20250728,183500,56.995,57.185,56.995,57.14,10413,0
AAP.US,5,20250728,184000,57.11,57.14,57.08,57.08,3025,0
AAP.US,5,20250728,184500,57.04,57.16,57,57.16,7362,0
AAP.US,5,20250728,185000,57.1861,57.1861,57.12,57.1798,3463,0
AAP.US,5,20250728,185500,57.16,57.16,57.08,57.14,5390,0
AAP.US,5,20250728,190000,57.135,57.26,57.135,57.205,6770,0
AAP.US,5,20250728,190500,57.18,57.24,57.18,57.22,4065,0
AAP.US,5,20250728,191000,57.215,57.215,57.0901,57.19,3601,0
AAP.US,5,20250728,191500,57.17,57.18,57.12,57.14,4609,0
AAP.US,5,20250728,192000,57.12,57.23,57.06,57.06,7399,0
AAP.US,5,20250728,192500,57.04,57.1,56.87,56.885,24667,0
AAP.US,5,20250728,193000,56.91,57.06,56.91,56.91,14985,0
AAP.US,5,20250728,193500,56.9,56.92,56.85,56.92,3122,0
AAP.US,5,20250728,194000,56.89,56.95,56.83,56.86,5172,0
AAP.US,5,20250728,194500,56.83,56.84,56.77,56.775,5905,0
AAP.US,5,20250728,195000,56.775,56.81,56.75,56.795,8396,0
AAP.US,5,20250728,195500,56.82,56.87,56.66,56.675,20611,0
AAP.US,5,20250728,200000,56.7,56.725,56.6,56.6,10839,0
AAP.US,5,20250728,200500,56.58,56.61,56.51,56.55,8980,0
AAP.US,5,20250728,201000,56.545,56.58,56.5,56.515,8512,0
AAP.US,5,20250728,201500,56.52,56.64,56.48,56.63,10442,0
AAP.US,5,20250728,202000,56.63,56.69,56.52,56.55,8316,0
AAP.US,5,20250728,202500,56.52,56.58,56.47,56.55,18125,0
AAP.US,5,20250728,203000,56.56,56.74,56.55,56.685,13598,0
AAP.US,5,20250728,203500,56.675,56.88,56.675,56.88,7167,0
AAP.US,5,20250728,204000,56.88,56.89,56.82,56.83,7004,0
AAP.US,5,20250728,204500,56.82,57,56.8,56.9,11943,0
