<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHT_F.US,5,20250728,170000,14.01,14.01,13.96,13.96,1882,0
AHT_F.US,5,20250728,205000,14.5,14.5,14.5,14.5,100,0
AHT_F.US,5,20250728,205500,14.2919,14.2919,14.2919,14.2919,100,0
AHT_F.US,5,20250729,155500,14.35,14.35,14.35,14.35,100,0
AHT_F.US,5,20250729,210000,14.3932,14.74,14.3932,14.74,200,0
AHT_F.US,5,20250729,213000,14.1384,14.4359,14.1384,14.4359,200,0
AHT_F.US,5,20250730,164000,14.3556,14.3556,14.3556,14.3556,100,0
AHT_F.US,5,20250730,170000,13.9601,13.9601,13.9601,13.9601,100,0
AHT_F.US,5,20250730,170500,14.0701,14.0701,14.0701,14.0701,100,0
AHT_F.US,5,20250730,172000,14.2161,14.2161,14.2161,14.2161,100,0
AHT_F.US,5,20250730,201000,14.2545,14.2545,14.2545,14.2545,158,0
AHT_F.US,5,20250730,201500,14.27,14.27,14.27,14.27,100,0
AHT_F.US,5,20250731,153500,14.2,14.2,14.2,14.2,701,0
AHT_F.US,5,20250731,154000,14.2,14.2,14.2,14.2,500,0
AHT_F.US,5,20250731,154500,14.2,14.2,14.2,14.2,100,0
AHT_F.US,5,20250731,162500,14.3,14.3,14.2,14.2,799,0
AHT_F.US,5,20250731,165000,13.9765,13.9765,13.9765,13.9765,200,0
AHT_F.US,5,20250731,165500,14.1437,14.1437,14.1437,14.1437,100,0
AHT_F.US,5,20250731,170000,14.1,14.1,14.1,14.1,100,0
AHT_F.US,5,20250731,172000,14.0592,14.0592,14.0592,14.0592,200,0
AHT_F.US,5,20250731,172500,13.9,14.31,13.9,14.31,200,0
AHT_F.US,5,20250731,190000,14.31,14.31,14.07,14.07,1285,0
AHT_F.US,5,20250731,190500,14.32,14.32,14.32,14.32,1199,0
AHT_F.US,5,20250731,191500,14.1557,14.1557,14.1557,14.1557,1199,0
AHT_F.US,5,20250731,192500,13.8233,13.8233,13.8233,13.8233,1199,0
AHT_F.US,5,20250731,193000,14.32,14.32,14.32,14.32,100,0
AHT_F.US,5,20250731,194500,14.4,14.4,14.4,14.4,100,0
AHT_F.US,5,20250731,213000,14.5572,14.5572,14.5572,14.5572,1000,0
AHT_F.US,5,20250801,194000,14.1477,14.7008,14.1477,14.7008,300,0
AHT_F.US,5,20250801,194500,14.73,14.73,14.0096,14.4608,400,0
AHT_F.US,5,20250801,200000,14.96,14.96,14.96,14.96,100,0
AHT_F.US,5,20250801,204500,14.9,14.9,14.9,14.9,100,0
AHT_F.US,5,20250801,205500,14,14.9,14,14.9,300,0
AHT_F.US,5,20250804,164000,14.85,14.85,14.85,14.85,100,0
AHT_F.US,5,20250804,183500,14.425,14.425,14.425,14.425,111,0
AHT_F.US,5,20250804,203000,14.642,14.85,14.45,14.6472,2200,0
AHT_F.US,5,20250804,203500,14.4928,14.4928,14.4928,14.4928,300,0
AHT_F.US,5,20250804,204000,14.73,14.73,14.61,14.6101,400,0
AHT_F.US,5,20250804,211000,14.74,14.74,14.53,14.6241,1435,0
AHT_F.US,5,20250805,162500,14.7694,14.7694,14.7694,14.7694,200,0
AHT_F.US,5,20250806,181500,14.385,14.385,14.385,14.385,135,0
AHT_F.US,5,20250807,185500,14.4,14.4,14.4,14.4,100,0
AHT_F.US,5,20250807,195500,14.35,14.35,14.35,14.35,128,0
AHT_F.US,5,20250808,171000,15.15,15.15,15.15,15.15,336,0
AHT_F.US,5,20250811,201500,14.4,14.4,14.4,14.4,100,0
AHT_F.US,5,20250811,203000,14.5705,14.6879,14.555,14.6879,800,0
AHT_F.US,5,20250811,204500,14.4,14.4,14.4,14.4,100,0
AHT_F.US,5,20250811,214500,14.6208,14.6208,14.6208,14.6208,100,0
AHT_F.US,5,20250812,155500,14.4,14.4,14.4,14.4,100,0
AHT_F.US,5,20250812,214000,14.6212,14.6212,14.6212,14.6212,500,0
AHT_F.US,5,20250812,214500,15.75,15.75,15.75,15.75,100,0
AHT_F.US,5,20250813,214000,14.85,14.85,14.85,14.85,100,0
AHT_F.US,5,20250813,215000,14.85,14.85,14.85,14.85,100,0
AHT_F.US,5,20250813,215500,14.94,14.95,14.94,14.94,500,0
AHT_F.US,5,20250815,192000,14.75,14.78,14.73,14.78,500,0
AHT_F.US,5,20250815,194000,14.7607,14.795,14.7607,14.795,200,0
AHT_F.US,5,20250815,194500,14.7607,14.795,14.5,14.745,1300,0
AHT_F.US,5,20250818,165000,14.8,14.9,14.8,14.9,200,0
AHT_F.US,5,20250819,164000,14.61,14.61,14.49,14.49,200,0
AHT_F.US,5,20250819,202500,14.76,14.76,14.76,14.76,100,0
AHT_F.US,5,20250820,205500,14.9,14.9,14.9,14.9,100,0
AHT_F.US,5,20250821,182500,14.6926,14.77,14.69,14.7448,1242,0
AHT_F.US,5,20250821,184000,14.73,14.73,14.71,14.73,300,0
AHT_F.US,5,20250821,201500,14.756,14.77,14.67,14.728,700,0
AHT_F.US,5,20250821,202000,14.7565,14.88,14.7565,14.88,800,0
AHT_F.US,5,20250822,153000,14.9,14.9,14.9,14.9,300,0
AHT_F.US,5,20250822,154000,14.89,14.89,14.89,14.89,100,0
AHT_F.US,5,20250822,175500,15.2552,15.2552,15.2552,15.2552,275,0
AHT_F.US,5,20250825,165500,16.18,16.18,16.18,16.18,3000,0
AHT_F.US,5,20250825,174000,15.41,15.41,14.54,14.54,200,0
