<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQLT.US,5,20250728,162500,25.885,25.885,25.885,25.885,100,0
AQLT.US,5,20250728,171000,25.8585,25.8585,25.8585,25.8585,212,0
AQLT.US,5,20250728,174000,25.86,25.86,25.86,25.86,520,0
AQLT.US,5,20250728,174500,25.82,25.88,25.79,25.88,60787,0
AQLT.US,5,20250728,184500,25.88,25.88,25.88,25.88,580,0
AQLT.US,5,20250728,185500,25.85,25.85,25.85,25.85,100,0
AQLT.US,5,20250729,173500,25.7391,25.7391,25.7391,25.7391,611,0
AQLT.US,5,20250729,174500,25.74,25.74,25.74,25.74,100,0
AQLT.US,5,20250730,162000,25.71,25.71,25.71,25.71,100,0
AQLT.US,5,20250730,173500,25.69,25.69,25.69,25.69,1743,0
AQLT.US,5,20250730,174000,25.63,25.63,25.62,25.62,6897,0
AQLT.US,5,20250730,212500,25.505,25.505,25.505,25.505,295,0
AQLT.US,5,20250731,170000,25.698,25.698,25.67,25.67,300,0
AQLT.US,5,20250731,171000,25.64,25.68,25.64,25.65,4196,0
AQLT.US,5,20250731,174000,25.695,25.7299,25.66,25.7026,3198,0
AQLT.US,5,20250731,175000,25.695,25.695,25.695,25.695,100,0
AQLT.US,5,20250731,184500,25.72,25.72,25.72,25.72,100,0
AQLT.US,5,20250731,190000,25.685,25.685,25.685,25.685,100,0
AQLT.US,5,20250731,191500,25.665,25.665,25.665,25.665,100,0
AQLT.US,5,20250731,210000,25.565,25.61,25.565,25.61,268,0
AQLT.US,5,20250801,161500,25.25,25.25,25.25,25.25,100,0
AQLT.US,5,20250801,163500,25.25,25.25,25.25,25.25,100,0
AQLT.US,5,20250801,164000,25.235,25.235,25.235,25.235,500,0
AQLT.US,5,20250801,171000,25.22,25.22,25.22,25.22,100,0
AQLT.US,5,20250801,171500,25.24,25.249,25.23,25.23,520,0
AQLT.US,5,20250801,172000,25.24,25.24,25.24,25.24,100,0
AQLT.US,5,20250801,172500,25.2006,25.2006,25.2006,25.2006,168,0
AQLT.US,5,20250801,174500,25.27,25.27,25.27,25.27,100,0
AQLT.US,5,20250801,181000,25.28,25.28,25.28,25.28,100,0
AQLT.US,5,20250801,181500,25.31,25.31,25.31,25.31,100,0
AQLT.US,5,20250801,182500,25.28,25.28,25.28,25.28,100,0
AQLT.US,5,20250801,184500,25.24,25.24,25.24,25.24,100,0
AQLT.US,5,20250801,190000,25.142,25.18,25.142,25.142,425,0
AQLT.US,5,20250801,191000,25.17,25.17,25.17,25.17,100,0
AQLT.US,5,20250801,191500,25.16,25.19,25.16,25.19,2398,0
AQLT.US,5,20250801,192000,25.17,25.17,25.17,25.17,2500,0
AQLT.US,5,20250801,192500,25.15,25.15,25.15,25.15,100,0
AQLT.US,5,20250801,193000,25.17,25.17,25.17,25.17,100,0
AQLT.US,5,20250801,194000,25.17,25.17,25.17,25.17,1800,0
AQLT.US,5,20250801,194500,25.15,25.15,25.15,25.15,100,0
AQLT.US,5,20250801,195000,25.154,25.154,25.154,25.154,946,0
AQLT.US,5,20250801,200500,25.13,25.13,25.13,25.13,100,0
AQLT.US,5,20250801,201000,25.15,25.15,25.15,25.15,500,0
AQLT.US,5,20250801,201500,25.15,25.15,25.15,25.15,200,0
