<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAP.US,5,20250728,153000,239.13,239.13,233.95,234.56,687,0
BAP.US,5,20250728,153500,233.93,233.93,233.93,233.93,200,0
BAP.US,5,20250728,154000,233.795,233.795,233.79,233.79,400,0
BAP.US,5,20250728,154500,233.84,233.84,233.84,233.84,100,0
BAP.US,5,20250728,155000,232.45,234.145,232.45,234.145,551,0
BAP.US,5,20250728,155500,233,233.55,232.5,232.755,4063,0
BAP.US,5,20250728,160000,232.97,232.97,232.45,232.5,2692,0
BAP.US,5,20250728,162000,233.44,233.44,233.44,233.44,100,0
BAP.US,5,20250728,163500,232.2,233.7,232.2,233.7,5064,0
BAP.US,5,20250728,164000,234.035,234.035,233.55,233.765,1408,0
BAP.US,5,20250728,164500,233.55,234.5,233.55,234.465,5150,0
BAP.US,5,20250728,165000,234.59,235.195,234,234,1500,0
BAP.US,5,20250728,170500,233.575,233.575,233.56,233.56,200,0
BAP.US,5,20250728,171000,233.72,234,233.72,234,400,0
BAP.US,5,20250728,172000,233.96,233.96,233.785,233.86,392,0
BAP.US,5,20250728,172500,233.86,234.055,233.65,234.055,800,0
BAP.US,5,20250728,173500,234.055,234.055,234.055,234.055,200,0
BAP.US,5,20250728,174000,233.66,234.06,233.62,233.645,900,0
BAP.US,5,20250728,175000,233.8,233.87,233.8,233.86,336,0
BAP.US,5,20250728,175500,233.93,234.035,233.93,234.035,700,0
BAP.US,5,20250728,180000,234.12,234.18,233.5401,234.18,400,0
BAP.US,5,20250728,180500,234.03,234.03,234.03,234.03,100,0
BAP.US,5,20250728,181000,233.84,233.84,233.84,233.84,100,0
BAP.US,5,20250728,181500,233.92,233.92,233.73,233.89,500,0
BAP.US,5,20250728,182000,233.93,233.93,233.87,233.87,353,0
BAP.US,5,20250728,182500,233.85,233.85,233.85,233.85,100,0
BAP.US,5,20250728,183000,233.845,233.845,233.605,233.62,800,0
BAP.US,5,20250728,184000,233.83,233.83,233.83,233.83,100,0
BAP.US,5,20250728,184500,233.775,233.775,233.59,233.76,600,0
BAP.US,5,20250728,185000,233.75,233.81,233.555,233.81,3400,0
BAP.US,5,20250728,185500,233.81,233.81,233.8,233.8,200,0
BAP.US,5,20250728,191000,233.79,233.83,233.79,233.83,200,0
BAP.US,5,20250728,191500,233.74,233.74,233.42,233.42,700,0
BAP.US,5,20250728,192000,233.46,233.53,233.085,233.51,2658,0
BAP.US,5,20250728,192500,233.545,233.545,233.53,233.53,200,0
BAP.US,5,20250728,193000,233.88,233.9,233.88,233.9,400,0
BAP.US,5,20250728,193500,233.99,234.36,233.85,234.25,1900,0
BAP.US,5,20250728,194500,233.485,233.74,233.485,233.74,497,0
BAP.US,5,20250728,195000,233.74,233.74,233.74,233.74,300,0
BAP.US,5,20250728,195500,233.77,234.07,233.75,234.07,500,0
BAP.US,5,20250728,200500,233.7,234.09,233.7,234.09,714,0
BAP.US,5,20250728,201000,234.26,234.38,234.17,234.33,706,0
BAP.US,5,20250728,201500,234.33,234.37,234.33,234.37,200,0
BAP.US,5,20250728,203000,234.09,234.24,234.09,234.205,770,0
BAP.US,5,20250728,203500,233.87,234.08,233.53,234.055,900,0
BAP.US,5,20250728,204000,234.22,234.41,234.205,234.25,500,0
BAP.US,5,20250728,204500,234.47,234.47,234.2,234.2,298,0
BAP.US,5,20250728,205000,234.435,234.46,234.065,234.3,2713,0
BAP.US,5,20250728,205500,234.21,234.21,233.85,234.01,600,0
BAP.US,5,20250728,210000,234.01,234.01,233.96,233.96,200,0
BAP.US,5,20250728,210500,234.06,234.27,234.06,234.225,1555,0
BAP.US,5,20250728,211000,234.215,234.215,234.03,234.03,300,0
BAP.US,5,20250728,211500,234.03,234.12,234.01,234.12,400,0
BAP.US,5,20250728,212000,234.22,234.24,234.03,234.03,800,0
BAP.US,5,20250728,212500,233.87,233.87,233.865,233.865,400,0
BAP.US,5,20250728,213000,233.78,233.86,233.615,233.75,1010,0
BAP.US,5,20250728,213500,233.83,234.12,233.61,233.9675,1639,0
BAP.US,5,20250728,214000,234.12,234.15,234.06,234.06,300,0
BAP.US,5,20250728,214500,234.24,234.24,233.85,234.02,3505,0
BAP.US,5,20250728,215000,233.89,234.22,233.68,233.79,6800,0
BAP.US,5,20250728,215500,233.92,235.06,233.8575,235,73197,0
BAP.US,5,20250729,153000,239.72,239.72,234.84,234.91,1256,0
BAP.US,5,20250729,153500,235.595,235.595,235.345,235.345,200,0
BAP.US,5,20250729,154000,235.015,235.015,234.59,234.7,3488,0
BAP.US,5,20250729,154500,234.68,235.01,234.57,235.0005,800,0
BAP.US,5,20250729,155000,235.715,235.72,235.29,235.29,2684,0
BAP.US,5,20250729,155500,235.29,236.385,235.23,236.385,7832,0
BAP.US,5,20250729,160000,235.83,235.83,235.695,235.695,400,0
BAP.US,5,20250729,160500,235.51,236.57,235.51,236.57,1700,0
BAP.US,5,20250729,161500,236.39,237.295,236.39,237.295,1000,0
BAP.US,5,20250729,162000,236.49,237.0325,236.26,236.26,1455,0
BAP.US,5,20250729,162500,236.44,236.71,236.41,236.41,1850,0
BAP.US,5,20250729,163000,235.985,235.985,235.985,235.985,200,0
