<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCC.US,5,20250728,153000,87.36,87.82,87.26,87.26,1028,0
BCC.US,5,20250728,153500,87.2,88.5354,86.96,87.17,1860,0
BCC.US,5,20250728,154000,87.285,87.38,87.285,87.38,500,0
BCC.US,5,20250728,154500,87.3176,87.3176,87.3176,87.3176,150,0
BCC.US,5,20250728,155500,86.94,87,86.5107,86.93,3669,0
BCC.US,5,20250728,160000,87.22,87.29,87.22,87.29,200,0
BCC.US,5,20250728,161000,87.245,87.3,87.23,87.2475,582,0
BCC.US,5,20250728,161500,87.1815,87.1815,87.1815,87.1815,178,0
BCC.US,5,20250728,162000,87.27,87.27,87.27,87.27,100,0
BCC.US,5,20250728,162500,87.11,87.42,87.11,87.42,1458,0
BCC.US,5,20250728,163000,87.465,87.465,87.465,87.465,200,0
BCC.US,5,20250728,163500,87.425,87.425,87.425,87.425,100,0
BCC.US,5,20250728,164000,87.425,87.54,87.31,87.44,7097,0
BCC.US,5,20250728,164500,87.51,87.54,87.39,87.42,2300,0
BCC.US,5,20250728,165000,87.46,87.46,87.46,87.46,200,0
BCC.US,5,20250728,165500,87.37,87.5,87.275,87.49,4700,0
BCC.US,5,20250728,170500,87.66,87.66,87.66,87.66,100,0
BCC.US,5,20250728,171000,87.67,87.67,87.67,87.67,100,0
BCC.US,5,20250728,171500,87.5281,87.8,87.5281,87.79,320,0
BCC.US,5,20250728,172000,87.83,88.03,87.83,87.94,600,0
BCC.US,5,20250728,172500,87.81,87.855,87.7301,87.7301,1100,0
BCC.US,5,20250728,173000,87.8475,87.95,87.8475,87.95,577,0
BCC.US,5,20250728,173500,87.8785,88.05,87.8785,88.05,350,0
BCC.US,5,20250728,174000,87.995,87.995,87.995,87.995,100,0
BCC.US,5,20250728,174500,87.995,88.16,87.995,88.16,655,0
BCC.US,5,20250728,175000,88.0284,88.16,88.0284,88.16,1065,0
BCC.US,5,20250728,175500,88.21,88.21,88.21,88.21,100,0
BCC.US,5,20250728,180000,88.13,88.21,88.095,88.21,674,0
BCC.US,5,20250728,180500,88.415,88.415,88.415,88.415,100,0
BCC.US,5,20250728,181000,88.41,88.41,88.41,88.41,442,0
BCC.US,5,20250728,181500,88.4,88.4,88.36,88.39,600,0
BCC.US,5,20250728,182000,88.3828,88.3828,88.25,88.25,673,0
BCC.US,5,20250728,182500,88.28,88.37,88.28,88.3,2259,0
BCC.US,5,20250728,183000,88.37,88.44,88.37,88.39,1045,0
BCC.US,5,20250728,183500,88.29,88.29,88.19,88.24,800,0
BCC.US,5,20250728,184000,88.2,88.2,88.1433,88.18,800,0
BCC.US,5,20250728,184500,88.06,88.06,87.93,87.93,200,0
BCC.US,5,20250728,185000,87.94,88.03,87.94,88.03,300,0
BCC.US,5,20250728,185500,87.97,87.97,87.97,87.97,100,0
BCC.US,5,20250728,190000,88.02,88.25,88.02,88.02,3236,0
BCC.US,5,20250728,190500,88,88,87.89,87.93,314,0
BCC.US,5,20250728,191000,87.85,87.93,87.85,87.91,1117,0
BCC.US,5,20250728,191500,87.81,87.81,87.81,87.81,700,0
BCC.US,5,20250728,192000,87.78,87.78,87.315,87.36,11201,0
BCC.US,5,20250728,192500,87.39,87.41,87.3559,87.41,1031,0
BCC.US,5,20250728,193000,87.4553,87.54,87.4553,87.51,1098,0
BCC.US,5,20250728,193500,87.56,87.56,87.56,87.56,100,0
BCC.US,5,20250728,194000,87.48,87.51,87.415,87.51,420,0
BCC.US,5,20250728,194500,87.46,87.53,87.45,87.53,500,0
BCC.US,5,20250728,195000,87.55,87.55,87.55,87.55,100,0
BCC.US,5,20250728,195500,87.51,87.52,87.39,87.39,800,0
BCC.US,5,20250728,200000,87.34,87.3949,87.12,87.12,1110,0
BCC.US,5,20250728,200500,87.08,87.21,86.95,87.15,1554,0
BCC.US,5,20250728,201000,87.2,87.2,87.1,87.185,3254,0
BCC.US,5,20250728,201500,87.2,87.29,87.15,87.21,3967,0
BCC.US,5,20250728,202000,87.225,87.225,87.17,87.17,200,0
BCC.US,5,20250728,202500,87.23,87.32,87.23,87.32,220,0
BCC.US,5,20250728,203000,87.2393,87.42,87.2393,87.39,1643,0
BCC.US,5,20250728,203500,87.415,87.415,87.415,87.415,175,0
BCC.US,5,20250728,204000,87.35,87.385,87.34,87.34,347,0
BCC.US,5,20250728,204500,87.33,87.3327,87.33,87.3327,470,0
BCC.US,5,20250728,205000,87.325,87.38,87.25,87.3,1900,0
BCC.US,5,20250728,205500,87.26,87.26,87.22,87.22,211,0
BCC.US,5,20250728,210000,87.2,87.2,87.16,87.2,400,0
BCC.US,5,20250728,210500,87.18,87.18,86.94,86.96,2311,0
BCC.US,5,20250728,211000,86.95,86.97,86.91,86.91,1265,0
BCC.US,5,20250728,211500,86.92,86.99,86.88,86.99,2528,0
BCC.US,5,20250728,212000,86.95,87.02,86.94,87,956,0
BCC.US,5,20250728,213000,87.08,87.09,87.03,87.03,1075,0
BCC.US,5,20250728,213500,87.02,87.05,86.97,87.03,3145,0
BCC.US,5,20250728,214000,87.01,87.04,86.95,86.9781,1100,0
BCC.US,5,20250728,214500,86.94,86.94,86.86,86.87,1738,0
BCC.US,5,20250728,215000,86.83,86.85,86.69,86.82,4833,0
BCC.US,5,20250728,215500,86.84,86.92,86.72,86.74,118857,0
BCC.US,5,20250729,153000,87.175,87.655,87.175,87.625,602,0
BCC.US,5,20250729,153500,86.96,86.96,86.86,86.86,200,0
BCC.US,5,20250729,154000,87.07,87.365,87.07,87.365,200,0
BCC.US,5,20250729,154500,87.37,87.37,87.02,87.02,300,0
BCC.US,5,20250729,155000,86.96,87,86.96,87,412,0
BCC.US,5,20250729,155500,86.985,86.985,86.985,86.985,300,0
BCC.US,5,20250729,160500,87.03,87.15,87.02,87.15,1817,0
BCC.US,5,20250729,161000,87.3725,87.3725,87.3725,87.3725,100,0
BCC.US,5,20250729,161500,87.405,87.405,87.405,87.405,100,0
BCC.US,5,20250729,162000,87.39,87.39,86.99,87.04,1200,0
BCC.US,5,20250729,162500,87.06,87.06,87.06,87.06,100,0
BCC.US,5,20250729,163000,87.27,87.29,87.27,87.29,200,0
BCC.US,5,20250729,163500,87.22,87.25,87.11,87.215,1460,0
BCC.US,5,20250729,164000,87.11,87.11,87.06,87.06,356,0
BCC.US,5,20250729,164500,86.729,86.729,86.729,86.729,136,0
BCC.US,5,20250729,165500,86.76,86.805,86.64,86.75,1203,0
BCC.US,5,20250729,170000,86.725,86.725,86.52,86.52,400,0
BCC.US,5,20250729,170500,86.46,86.46,86.37,86.37,1244,0
BCC.US,5,20250729,171000,86.58,86.58,86.32,86.32,600,0
BCC.US,5,20250729,171500,86.385,86.385,86.385,86.385,329,0
BCC.US,5,20250729,172000,86.335,86.34,86.335,86.34,580,0
BCC.US,5,20250729,172500,86.345,86.46,86.29,86.29,1200,0
BCC.US,5,20250729,173000,86.245,86.3308,86.18,86.18,610,0
BCC.US,5,20250729,173500,86.33,86.33,86.19,86.19,409,0
