<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLDR.US,5,20250728,153000,135.865,136.5,135.53,135.72,32969,0
BLDR.US,5,20250728,153500,135.715,136.47,135.715,136.41,20957,0
BLDR.US,5,20250728,154000,136.29,136.29,135.8543,136.025,19903,0
BLDR.US,5,20250728,154500,136.18,136.33,135.42,135.5,33942,0
BLDR.US,5,20250728,155000,135.57,135.63,135,135.38,17928,0
BLDR.US,5,20250728,155500,135.38,135.41,134.21,135.21,17057,0
BLDR.US,5,20250728,160000,135.205,135.83,135.0727,135.83,8230,0
BLDR.US,5,20250728,160500,135.76,136.19,135.76,136.11,9439,0
BLDR.US,5,20250728,161000,136.18,136.38,136.15,136.38,7029,0
BLDR.US,5,20250728,161500,136.35,136.73,135.97,136.475,12271,0
BLDR.US,5,20250728,162000,136.48,136.565,136.15,136.15,15382,0
BLDR.US,5,20250728,162500,136.2141,136.58,136.08,136.52,5583,0
BLDR.US,5,20250728,163000,136.58,136.75,136.53,136.72,8636,0
BLDR.US,5,20250728,163500,136.675,136.81,136.62,136.695,11904,0
BLDR.US,5,20250728,164000,136.74,137.13,136.68,137.1,29665,0
BLDR.US,5,20250728,164500,137.1,137.1,136.68,136.78,7366,0
BLDR.US,5,20250728,165000,136.79,136.94,136.495,136.495,20365,0
BLDR.US,5,20250728,165500,136.49,136.96,136.39,136.91,7099,0
BLDR.US,5,20250728,170000,136.825,137.23,136.61,137.095,18277,0
BLDR.US,5,20250728,170500,137.25,137.52,137.165,137.23,32316,0
BLDR.US,5,20250728,171000,137.185,137.52,137.14,137.485,11800,0
BLDR.US,5,20250728,171500,137.485,137.73,137.4,137.515,18425,0
BLDR.US,5,20250728,172000,137.525,137.81,137.41,137.645,9416,0
BLDR.US,5,20250728,172500,137.6,137.62,137.18,137.49,15136,0
BLDR.US,5,20250728,173000,137.41,137.49,137.34,137.48,10665,0
BLDR.US,5,20250728,173500,137.53,137.82,137.4,137.4,7740,0
BLDR.US,5,20250728,174000,137.45,137.61,137.45,137.54,3575,0
BLDR.US,5,20250728,174500,137.616,137.72,137.53,137.675,5862,0
BLDR.US,5,20250728,175000,137.675,138.2,137.67,138.005,9598,0
BLDR.US,5,20250728,175500,138,138.06,137.74,137.74,6078,0
BLDR.US,5,20250728,180000,137.86,137.87,137.565,137.87,4235,0
BLDR.US,5,20250728,180500,137.81,138.22,137.81,138.2109,1942,0
BLDR.US,5,20250728,181000,138.23,138.23,138.05,138.13,5292,0
BLDR.US,5,20250728,181500,138.155,138.445,138.155,138.34,8641,0
BLDR.US,5,20250728,182000,138.305,138.35,137.93,137.93,5373,0
BLDR.US,5,20250728,182500,137.9,137.96,137.7746,137.7925,3997,0
BLDR.US,5,20250728,183000,137.82,138.1185,137.82,138,2659,0
BLDR.US,5,20250728,183500,137.985,138.015,137.6201,137.6201,7760,0
BLDR.US,5,20250728,184000,137.77,137.8099,137.62,137.655,5431,0
BLDR.US,5,20250728,184500,137.665,137.67,137.3406,137.67,7686,0
BLDR.US,5,20250728,185000,137.64,137.72,137.58,137.69,4274,0
BLDR.US,5,20250728,185500,137.675,137.675,137.5,137.54,3506,0
BLDR.US,5,20250728,190000,137.53,137.79,137.53,137.61,11169,0
BLDR.US,5,20250728,190500,137.585,137.585,137.41,137.56,9489,0
BLDR.US,5,20250728,191000,137.495,137.66,137.44,137.53,8687,0
BLDR.US,5,20250728,191500,137.51,137.51,137.08,137.08,26725,0
BLDR.US,5,20250728,192000,137.08,137.1148,136.625,136.625,45013,0
BLDR.US,5,20250728,192500,136.62,136.75,136.5502,136.71,11007,0
BLDR.US,5,20250728,193000,136.71,136.85,136.71,136.825,1745,0
BLDR.US,5,20250728,193500,136.89,136.95,136.8393,136.91,9708,0
BLDR.US,5,20250728,194000,136.92,136.92,136.81,136.845,9067,0
BLDR.US,5,20250728,194500,136.8,136.96,136.72,136.96,7593,0
BLDR.US,5,20250728,195000,136.85,136.98,136.85,136.95,4963,0
BLDR.US,5,20250728,195500,136.955,136.955,136.645,136.645,11291,0
BLDR.US,5,20250728,200000,136.64,136.64,136.24,136.33,8256,0
BLDR.US,5,20250728,200500,136.285,136.33,136.01,136.33,6060,0
BLDR.US,5,20250728,201000,136.335,136.34,136.16,136.225,4556,0
BLDR.US,5,20250728,201500,136.23,136.37,136.17,136.25,10521,0
BLDR.US,5,20250728,202000,136.255,136.29,136.18,136.245,4555,0
BLDR.US,5,20250728,202500,136.24,136.4,136.235,136.38,9954,0
BLDR.US,5,20250728,203000,136.38,136.4,136.26,136.4,3974,0
BLDR.US,5,20250728,203500,136.36,136.5996,136.3012,136.52,4135,0
BLDR.US,5,20250728,204000,136.53,136.53,136.42,136.42,7649,0
BLDR.US,5,20250728,204500,136.455,136.455,136.26,136.31,18204,0
BLDR.US,5,20250728,205000,136.31,136.41,136.18,136.225,22714,0
BLDR.US,5,20250728,205500,136.17,136.25,136.11,136.175,19114,0
BLDR.US,5,20250728,210000,136.17,136.3,136,136.3,12443,0
BLDR.US,5,20250728,210500,136.245,136.29,136.14,136.225,28621,0
BLDR.US,5,20250728,211000,136.225,136.225,135.72,135.78,53621,0
BLDR.US,5,20250728,211500,135.73,136.09,135.58,136.005,15785,0
BLDR.US,5,20250728,212000,135.995,136.07,135.63,135.645,12280,0
BLDR.US,5,20250728,212500,135.65,135.84,135.635,135.735,31967,0
BLDR.US,5,20250728,213000,135.77,135.97,135.69,135.74,12701,0
BLDR.US,5,20250728,213500,135.74,135.86,135.68,135.74,9788,0
BLDR.US,5,20250728,214000,135.8,135.8,135.631,135.73,10160,0
BLDR.US,5,20250728,214500,135.75,135.865,135.7,135.745,16939,0
BLDR.US,5,20250728,215000,135.735,135.96,135.65,135.93,22890,0
BLDR.US,5,20250728,215500,135.94,136.2391,135.61,135.63,248378,0
BLDR.US,5,20250729,153000,135.2,136.75,135,136.62,7145,0
BLDR.US,5,20250729,153500,136.3498,136.69,136.11,136.46,8155,0
BLDR.US,5,20250729,154000,136.18,136.91,136.08,136.45,17261,0
BLDR.US,5,20250729,154500,136.315,136.315,135.59,135.66,19849,0
BLDR.US,5,20250729,155000,135.57,135.84,135.475,135.67,23303,0
BLDR.US,5,20250729,155500,135.63,135.755,135.36,135.62,16313,0
BLDR.US,5,20250729,160000,135.5,135.93,135.41,135.71,11755,0
BLDR.US,5,20250729,160500,135.95,135.95,135.43,135.475,16398,0
BLDR.US,5,20250729,161000,135.32,135.99,135.25,135.81,12539,0
BLDR.US,5,20250729,161500,135.81,135.93,135.565,135.72,10825,0
BLDR.US,5,20250729,162000,135.72,135.72,135.45,135.54,11594,0
BLDR.US,5,20250729,162500,135.67,136.05,135.645,135.9,14656,0
BLDR.US,5,20250729,163000,135.87,135.985,135.15,135.15,11507,0
BLDR.US,5,20250729,163500,135.28,135.32,134.82,135.3,5361,0
BLDR.US,5,20250729,164000,135.3,135.36,134.61,134.61,3990,0
BLDR.US,5,20250729,164500,134.57,134.69,134.3,134.34,8104,0
BLDR.US,5,20250729,165000,134.42,134.69,134.23,134.295,8761,0
BLDR.US,5,20250729,165500,134.315,134.47,134.09,134.17,19533,0
BLDR.US,5,20250729,170000,134.145,134.35,133.765,133.765,6359,0
BLDR.US,5,20250729,170500,133.68,133.82,133.53,133.82,7580,0
BLDR.US,5,20250729,171000,133.79,133.93,133.74,133.765,2920,0
BLDR.US,5,20250729,171500,133.83,133.89,133.75,133.78,6569,0
BLDR.US,5,20250729,172000,133.68,133.84,133.5719,133.84,9020,0
BLDR.US,5,20250729,172500,133.65,133.76,133.26,133.36,11698,0
BLDR.US,5,20250729,173000,133.14,133.46,133.14,133.46,2461,0
BLDR.US,5,20250729,173500,133.415,133.68,133.415,133.47,2758,0
BLDR.US,5,20250729,174000,133.45,133.6148,133.12,133.6148,7641,0
BLDR.US,5,20250729,174500,133.55,133.7,133.535,133.67,2282,0
BLDR.US,5,20250729,175000,133.67,134.23,133.67,134.02,8491,0
BLDR.US,5,20250729,175500,134.33,134.42,133.91,133.96,3389,0
BLDR.US,5,20250729,180000,133.92,134,133.59,133.655,3601,0
BLDR.US,5,20250729,180500,133.71,133.74,133.4,133.57,3398,0
BLDR.US,5,20250729,181000,133.575,133.7,133.26,133.545,17948,0
BLDR.US,5,20250729,181500,133.53,133.61,133.115,133.115,12765,0
BLDR.US,5,20250729,182000,133.01,133.1,132.89,132.99,4318,0
BLDR.US,5,20250729,182500,132.88,133.17,132.88,133.11,2626,0
BLDR.US,5,20250729,183000,133.15,133.23,132.72,132.72,7086,0
BLDR.US,5,20250729,183500,132.575,132.575,132.45,132.45,937,0
BLDR.US,5,20250729,184000,132.415,132.645,132.32,132.6391,4974,0
BLDR.US,5,20250729,184500,132.655,132.77,132.48,132.48,2729,0
BLDR.US,5,20250729,185000,132.51,132.85,132.45,132.755,4547,0
BLDR.US,5,20250729,185500,132.84,132.845,132.7301,132.845,2170,0
BLDR.US,5,20250729,190000,132.845,133.11,132.845,133.11,7162,0
BLDR.US,5,20250729,190500,133.08,133.36,133.08,133.11,2223,0
BLDR.US,5,20250729,191000,133.0618,133.21,133.0618,133.15,1050,0
BLDR.US,5,20250729,191500,133.25,133.3396,133.1,133.125,1475,0
