<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BME.US,5,20250728,153500,36.5171,36.56,36.5171,36.56,477,0
BME.US,5,20250728,154000,36.43,36.43,36.43,36.43,130,0
BME.US,5,20250728,154500,36.369,36.369,36.369,36.369,435,0
BME.US,5,20250728,155000,36.35,36.35,36.35,36.35,100,0
BME.US,5,20250728,155500,36.36,36.36,36.36,36.36,150,0
BME.US,5,20250728,160500,36.3533,36.3533,36.3533,36.3533,2200,0
BME.US,5,20250728,162000,36.41,36.425,36.38,36.425,3200,0
BME.US,5,20250728,163000,36.37,36.37,36.35,36.35,1974,0
BME.US,5,20250728,163500,36.35,36.35,36.35,36.35,475,0
BME.US,5,20250728,164000,36.4312,36.4312,36.4312,36.4312,140,0
BME.US,5,20250728,164500,36.435,36.435,36.435,36.435,100,0
BME.US,5,20250728,165000,36.435,36.4571,36.435,36.4571,1204,0
BME.US,5,20250728,165500,36.4376,36.4475,36.435,36.4475,759,0
BME.US,5,20250728,171000,36.435,36.435,36.435,36.435,1235,0
BME.US,5,20250728,171500,36.435,36.4987,36.435,36.4987,275,0
BME.US,5,20250728,173000,36.43,36.43,36.43,36.43,105,0
BME.US,5,20250728,174000,36.43,36.49,36.43,36.48,1008,0
BME.US,5,20250728,174500,36.3901,36.3901,36.3901,36.3901,161,0
BME.US,5,20250728,175000,36.44,36.49,36.391,36.44,2200,0
BME.US,5,20250728,180500,36.4765,36.4765,36.4765,36.4765,625,0
BME.US,5,20250728,181000,36.4853,36.4853,36.4853,36.4853,982,0
BME.US,5,20250728,182000,36.48,36.49,36.48,36.49,400,0
BME.US,5,20250728,183000,36.468534,36.4891,36.46,36.46,968,0
BME.US,5,20250728,184000,36.48,36.48,36.48,36.48,200,0
BME.US,5,20250728,184500,36.4453,36.4453,36.445,36.445,2562,0
BME.US,5,20250728,185500,36.4641,36.4641,36.4641,36.4641,160,0
BME.US,5,20250728,190000,36.41,36.41,36.373,36.39,2179,0
BME.US,5,20250728,190500,36.44,36.44,36.44,36.44,505,0
BME.US,5,20250728,191000,36.4515,36.4515,36.435,36.435,2055,0
BME.US,5,20250728,192500,36.49,36.49,36.4208,36.4208,575,0
BME.US,5,20250728,194500,36.4881,36.4881,36.4881,36.4881,288,0
BME.US,5,20250728,195000,36.43,36.4899,36.37,36.4899,900,0
BME.US,5,20250728,195500,36.4504,36.4504,36.4504,36.4504,124,0
BME.US,5,20250728,201500,36.47,36.4895,36.43,36.44,1316,0
BME.US,5,20250728,202000,36.37,36.42,36.37,36.3969,447,0
BME.US,5,20250728,203500,36.38,36.38,36.38,36.38,200,0
BME.US,5,20250728,205000,36.35,36.35,36.35,36.35,376,0
BME.US,5,20250728,205500,36.38,36.38,36.3565,36.3565,615,0
BME.US,5,20250728,210000,36.35,36.35,36.35,36.35,443,0
BME.US,5,20250728,210500,36.3554,36.384933,36.35,36.35,760,0
BME.US,5,20250728,211500,36.38,36.38,36.35,36.38,349,0
BME.US,5,20250728,212000,36.3836,36.3836,36.35,36.35,1100,0
BME.US,5,20250728,212500,36.32,36.32,36.26,36.26,200,0
BME.US,5,20250728,213000,36.32,36.32,36.24,36.24,4118,0
BME.US,5,20250728,213500,36.36,36.36,36.27,36.27,253,0
BME.US,5,20250728,214500,36.26,36.26,36.256,36.256,504,0
BME.US,5,20250728,215000,36.25,36.25,36.25,36.25,200,0
BME.US,5,20250728,215500,36.24,36.3,36.24,36.29,1355,0
BME.US,5,20250729,153000,35.8633,35.8633,35.8633,35.8633,1509,0
BME.US,5,20250729,153500,35.865,35.95,35.865,35.95,500,0
BME.US,5,20250729,154000,35.94,36,35.94,36,1435,0
BME.US,5,20250729,154500,35.99,36,35.99,35.99,500,0
BME.US,5,20250729,155500,36.0445,36.11,36.0445,36.11,1826,0
BME.US,5,20250729,160000,36.11,36.11,36.045759,36.045759,1384,0
BME.US,5,20250729,161000,36.13,36.13,36.13,36.13,400,0
BME.US,5,20250729,162000,36.1612,36.1792,36.1612,36.1792,400,0
BME.US,5,20250729,162500,36.1588,36.16,36.1588,36.16,604,0
BME.US,5,20250729,163500,36.16,36.16,36.16,36.16,200,0
BME.US,5,20250729,164500,36.16,36.16,36.16,36.16,200,0
BME.US,5,20250729,165000,36.19,36.19,36.19,36.19,432,0
BME.US,5,20250729,165500,36.23,36.23,36.23,36.23,1460,0
BME.US,5,20250729,170000,36.2,36.2,36.2,36.2,300,0
BME.US,5,20250729,170500,36.2136,36.236,36.2,36.236,1415,0
BME.US,5,20250729,171500,36.2287,36.2287,36.2287,36.2287,200,0
BME.US,5,20250729,172000,36.2,36.2399,36.2,36.2,500,0
BME.US,5,20250729,172500,36.2,36.232,36.2,36.2,320,0
BME.US,5,20250729,174500,36.22,36.22,36.19,36.19,425,0
BME.US,5,20250729,175000,36.17,36.17,36.1301,36.145,700,0
BME.US,5,20250729,180000,36.13,36.13,36.13,36.13,100,0
BME.US,5,20250729,181000,36.156,36.156,36.1344,36.1351,1580,0
BME.US,5,20250729,181500,36.1452,36.1452,36.13,36.13,700,0
BME.US,5,20250729,183000,36.12,36.12,36.12,36.12,100,0
BME.US,5,20250729,183500,36.145,36.145,36.145,36.145,400,0
BME.US,5,20250729,184000,36.15,36.1576,36.15,36.1576,790,0
BME.US,5,20250729,185000,36.12,36.12,36.12,36.12,100,0
BME.US,5,20250729,190000,36.12,36.12,36.12,36.12,100,0
BME.US,5,20250729,191000,36.145,36.145,36.145,36.145,100,0
BME.US,5,20250729,191500,36.1899,36.1899,36.1597,36.1597,300,0
BME.US,5,20250729,192500,36.1495,36.1495,36.1495,36.1495,255,0
BME.US,5,20250729,194000,36.1,36.1,36.1,36.1,338,0
BME.US,5,20250729,194500,36.1045,36.1045,36.1045,36.1045,1000,0
BME.US,5,20250729,200000,36.1,36.1,36.1,36.1,402,0
BME.US,5,20250729,201000,36.1,36.1,36.1,36.1,151,0
BME.US,5,20250729,201500,36.1,36.1,36.1,36.1,100,0
BME.US,5,20250729,202000,36.11,36.11,36.11,36.11,262,0
BME.US,5,20250729,202500,36.11,36.1392,36.11,36.11,1725,0
BME.US,5,20250729,203000,36.11,36.11,36.11,36.11,100,0
BME.US,5,20250729,203500,36.092,36.092,36.092,36.092,550,0
BME.US,5,20250729,204500,36.11,36.16,36.11,36.16,2725,0
BME.US,5,20250729,205000,36.12,36.17,36.0893,36.17,2432,0
BME.US,5,20250729,210000,36.1403,36.1403,36.1403,36.1403,100,0
BME.US,5,20250729,211000,36.16,36.17,36.08,36.125,2077,0
BME.US,5,20250729,211500,36.125,36.125,36.125,36.125,100,0
BME.US,5,20250729,212000,36.1,36.1,36.1,36.1,200,0
BME.US,5,20250729,212500,36.08,36.08,36.08,36.08,138,0
BME.US,5,20250729,213000,36.11,36.11,36.07,36.07,359,0
BME.US,5,20250729,213500,36.07,36.11,36.07,36.11,250,0
BME.US,5,20250729,214000,36.07,36.0818,36.06,36.06,1242,0
BME.US,5,20250729,214500,36.1203,36.1203,36.06,36.095,332,0
BME.US,5,20250729,215000,36.1,36.1,36.05,36.05,660,0
BME.US,5,20250729,215500,36.04,36.13,36.03,36.04,1053,0
