<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDS.US,5,20250728,153000,49.7907,49.7907,49.7907,49.7907,102,0
BNDS.US,5,20250728,155000,49.82,49.82,49.82,49.82,100,0
BNDS.US,5,20250728,161500,49.8564,49.8564,49.8564,49.8564,100,0
BNDS.US,5,20250728,170500,49.86,49.86,49.86,49.86,100,0
BNDS.US,5,20250728,182000,49.869,49.87,49.869,49.87,200,0
BNDS.US,5,20250728,200000,49.868,49.868,49.868,49.868,300,0
BNDS.US,5,20250728,205000,49.85,49.85,49.85,49.85,200,0
BNDS.US,5,20250729,164500,49.91,49.91,49.82,49.82,200,0
BNDS.US,5,20250729,174000,49.83,49.83,49.83,49.83,100,0
BNDS.US,5,20250729,205000,49.85,49.85,49.85,49.85,100,0
BNDS.US,5,20250729,215500,49.89,49.89,49.89,49.89,141,0
BNDS.US,5,20250730,155500,49.573,49.573,49.573,49.573,100,0
BNDS.US,5,20250730,161000,49.55,49.55,49.55,49.55,100,0
BNDS.US,5,20250730,161500,49.57,49.57,49.57,49.57,2026,0
BNDS.US,5,20250730,214000,49.53,49.54,49.5136,49.5136,1000,0
BNDS.US,5,20250731,160000,49.5815,49.5815,49.5815,49.5815,100,0
BNDS.US,5,20250731,161000,49.55,49.55,49.55,49.55,100,0
BNDS.US,5,20250731,170500,49.61,49.61,49.61,49.61,100,0
BNDS.US,5,20250731,172000,49.57,49.57,49.57,49.57,100,0
BNDS.US,5,20250731,182000,49.57,49.575,49.57,49.575,600,0
BNDS.US,5,20250731,184000,49.57,49.575,49.57,49.57,1000,0
BNDS.US,5,20250731,185000,49.549,49.549,49.51,49.51,200,0
BNDS.US,5,20250731,195500,49.609,49.609,49.609,49.609,300,0
BNDS.US,5,20250731,200000,49.5309,49.5309,49.5309,49.5309,100,0
BNDS.US,5,20250731,214000,49.55,49.55,49.55,49.55,100,0
BNDS.US,5,20250731,214500,49.61,49.61,49.61,49.61,100,0
BNDS.US,5,20250731,215000,49.61,49.62,49.61,49.61,5213,0
BNDS.US,5,20250801,190000,49.53,49.53,49.53,49.53,100,0
BNDS.US,5,20250801,192000,49.5396,49.5396,49.5396,49.5396,150,0
BNDS.US,5,20250801,194500,49.55,49.55,49.55,49.55,938,0
BNDS.US,5,20250801,203000,49.53,49.53,49.53,49.53,100,0
BNDS.US,5,20250801,213500,49.545,49.545,49.545,49.545,101,0
BNDS.US,5,20250801,215500,49.55,49.55,49.55,49.55,689,0
BNDS.US,5,20250804,160000,49.57,49.57,49.57,49.57,100,0
BNDS.US,5,20250804,164000,49.57,49.57,49.57,49.57,100,0
BNDS.US,5,20250804,170000,49.585,49.585,49.585,49.585,125,0
BNDS.US,5,20250805,153500,49.7,49.7,49.7,49.7,100,0
BNDS.US,5,20250805,162500,49.729,49.73,49.729,49.7299,300,0
