<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNL.US,5,20250728,153000,15.88,15.98,15.87,15.91,7589,0
BNL.US,5,20250728,153500,15.91,15.91,15.875,15.91,5911,0
BNL.US,5,20250728,154000,15.915,15.915,15.89,15.89,3845,0
BNL.US,5,20250728,154500,15.9,15.915,15.88,15.88,4308,0
BNL.US,5,20250728,155000,15.89,15.925,15.89,15.92,7478,0
BNL.US,5,20250728,155500,15.925,15.935,15.895,15.895,7571,0
BNL.US,5,20250728,160000,15.89,15.895,15.88,15.885,6229,0
BNL.US,5,20250728,160500,15.89,15.9199,15.885,15.895,8299,0
BNL.US,5,20250728,161000,15.9,15.93,15.9,15.925,4644,0
BNL.US,5,20250728,161500,15.92,15.925,15.915,15.925,2738,0
BNL.US,5,20250728,162000,15.92,15.92,15.86,15.86,3767,0
BNL.US,5,20250728,162500,15.86,15.88,15.86,15.88,5604,0
BNL.US,5,20250728,163000,15.895,15.905,15.885,15.89,3183,0
BNL.US,5,20250728,163500,15.89,15.89,15.865,15.885,3226,0
BNL.US,5,20250728,164000,15.885,15.885,15.875,15.885,2858,0
BNL.US,5,20250728,164500,15.89,15.895,15.89,15.895,1890,0
BNL.US,5,20250728,165000,15.895,15.905,15.89,15.89,4865,0
BNL.US,5,20250728,165500,15.895,15.915,15.895,15.905,5582,0
BNL.US,5,20250728,170000,15.905,15.95,15.905,15.945,10444,0
BNL.US,5,20250728,170500,15.945,15.95,15.935,15.935,6921,0
BNL.US,5,20250728,171000,15.935,15.95,15.935,15.945,5641,0
BNL.US,5,20250728,171500,15.94,15.955,15.92,15.945,11605,0
BNL.US,5,20250728,172000,15.945,15.96,15.935,15.935,3977,0
BNL.US,5,20250728,172500,15.935,15.94,15.92,15.93,6158,0
BNL.US,5,20250728,173000,15.925,15.945,15.925,15.945,3740,0
BNL.US,5,20250728,173500,15.945,15.95,15.94,15.94,7007,0
BNL.US,5,20250728,174000,15.935,15.95,15.935,15.95,5412,0
BNL.US,5,20250728,174500,15.95,15.96,15.9448,15.96,5371,0
BNL.US,5,20250728,175000,15.96,15.96,15.935,15.95,5475,0
BNL.US,5,20250728,175500,15.95,15.965,15.95,15.965,5354,0
BNL.US,5,20250728,180000,15.965,15.97,15.955,15.955,5571,0
BNL.US,5,20250728,180500,15.955,15.96,15.955,15.955,1535,0
