<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEPU.US,5,20250728,154000,12.14,12.2464,12.14,12.2464,225,0
CEPU.US,5,20250728,154500,12.275,12.305,12.24,12.305,2257,0
CEPU.US,5,20250728,155000,12.3,12.3,12.29,12.3,460,0
CEPU.US,5,20250728,155500,12.25,12.3,12.205,12.3,4300,0
CEPU.US,5,20250728,160000,12.218,12.25,12.15,12.15,8590,0
CEPU.US,5,20250728,160500,12.15,12.15,12.15,12.15,600,0
CEPU.US,5,20250728,161000,12.14,12.14,12.14,12.14,100,0
CEPU.US,5,20250728,161500,12.14,12.14,12.12,12.12,3802,0
CEPU.US,5,20250728,162000,12.1105,12.2,12.1105,12.165,3440,0
CEPU.US,5,20250728,162500,12.1526,12.21,12.1401,12.21,2000,0
CEPU.US,5,20250728,163000,12.185,12.2,12.1605,12.19,4524,0
CEPU.US,5,20250728,163500,12.2,12.2,12.16,12.185,7126,0
CEPU.US,5,20250728,164000,12.18,12.24,12.18,12.215,5598,0
CEPU.US,5,20250728,164500,12.215,12.215,12.19,12.21,751,0
CEPU.US,5,20250728,165000,12.198,12.22,12.195,12.195,900,0
CEPU.US,5,20250728,165500,12.2195,12.2364,12.205,12.205,3342,0
CEPU.US,5,20250728,170000,12.2,12.23,12.2,12.23,1275,0
CEPU.US,5,20250728,170500,12.23,12.23,12.23,12.23,100,0
CEPU.US,5,20250728,171000,12.235,12.25,12.2006,12.25,1800,0
CEPU.US,5,20250728,171500,12.26,12.26,12.26,12.26,500,0
CEPU.US,5,20250728,172000,12.254,12.27,12.254,12.27,300,0
CEPU.US,5,20250728,172500,12.27,12.27,12.27,12.27,226,0
CEPU.US,5,20250728,173000,12.27,12.274,12.27,12.274,200,0
CEPU.US,5,20250728,173500,12.29,12.291,12.27,12.2764,500,0
CEPU.US,5,20250728,174000,12.27,12.27,12.23,12.255,2076,0
CEPU.US,5,20250728,174500,12.2799,12.2799,12.24,12.26,1078,0
CEPU.US,5,20250728,175000,12.2799,12.2799,12.2799,12.2799,120,0
CEPU.US,5,20250728,175500,12.22,12.22,12.22,12.22,100,0
CEPU.US,5,20250728,181000,12.2392,12.2392,12.2392,12.2392,300,0
CEPU.US,5,20250728,181500,12.23,12.23,12.22,12.22,267,0
CEPU.US,5,20250728,182000,12.238,12.24,12.238,12.24,1171,0
CEPU.US,5,20250728,182500,12.24,12.24,12.24,12.24,100,0
CEPU.US,5,20250728,183000,12.26,12.26,12.26,12.26,100,0
CEPU.US,5,20250728,183500,12.24,12.26,12.24,12.26,200,0
CEPU.US,5,20250728,184000,12.25,12.27,12.232,12.232,997,0
CEPU.US,5,20250728,184500,12.21,12.24,12.18,12.24,2863,0
CEPU.US,5,20250728,185000,12.24,12.24,12.21,12.22,1606,0
CEPU.US,5,20250728,191500,12.2,12.2,12.18,12.2,1900,0
CEPU.US,5,20250728,192000,12.19,12.268,12.18,12.2628,6039,0
CEPU.US,5,20250728,192500,12.24,12.24,12.21,12.21,210,0
CEPU.US,5,20250728,193000,12.21,12.21,12.19,12.19,940,0
CEPU.US,5,20250728,193500,12.22,12.22,12.22,12.22,982,0
CEPU.US,5,20250728,194000,12.19,12.19,12.19,12.19,934,0
CEPU.US,5,20250728,194500,12.22,12.22,12.22,12.22,200,0
CEPU.US,5,20250728,195000,12.22,12.22,12.2,12.2,1000,0
CEPU.US,5,20250728,200000,12.195,12.2252,12.195,12.2252,710,0
CEPU.US,5,20250728,201000,12.22,12.22,12.22,12.22,522,0
CEPU.US,5,20250728,201500,12.22,12.22,12.22,12.22,100,0
CEPU.US,5,20250728,202500,12.2276,12.2276,12.2276,12.2276,450,0
CEPU.US,5,20250728,203500,12.285,12.285,12.26,12.28,469,0
CEPU.US,5,20250728,204000,12.29,12.29,12.275,12.275,2540,0
CEPU.US,5,20250728,204500,12.29,12.295,12.29,12.295,409,0
CEPU.US,5,20250728,205000,12.27,12.27,12.255,12.255,884,0
CEPU.US,5,20250728,205500,12.25,12.25,12.25,12.25,100,0
CEPU.US,5,20250728,210500,12.255,12.26,12.25,12.25,518,0
CEPU.US,5,20250728,211500,12.265,12.265,12.264,12.264,265,0
CEPU.US,5,20250728,212000,12.28,12.29,12.27,12.28,1417,0
CEPU.US,5,20250728,212500,12.2879,12.29,12.2879,12.29,576,0
CEPU.US,5,20250728,213000,12.27,12.298,12.26,12.26,1080,0
CEPU.US,5,20250728,213500,12.25,12.25,12.232,12.25,908,0
CEPU.US,5,20250728,214000,12.245,12.245,12.24,12.24,700,0
CEPU.US,5,20250728,214500,12.25,12.25,12.21,12.23,8124,0
CEPU.US,5,20250728,215000,12.23,12.23,12.21,12.215,600,0
CEPU.US,5,20250728,215500,12.22,12.2387,12.19,12.19,16759,0
CEPU.US,5,20250729,153000,12.17,12.2,12.17,12.2,300,0
CEPU.US,5,20250729,155000,12.265,12.265,12.265,12.265,100,0
CEPU.US,5,20250729,155500,12.2925,12.375,12.24,12.375,19848,0
CEPU.US,5,20250729,160000,12.29,12.29,12.29,12.29,1600,0
CEPU.US,5,20250729,160500,12.265,12.29,12.25,12.29,765,0
CEPU.US,5,20250729,161000,12.34,12.35,12.3,12.35,11077,0
CEPU.US,5,20250729,161500,12.39,12.45,12.39,12.415,7438,0
CEPU.US,5,20250729,162000,12.43,12.45,12.43,12.45,10240,0
CEPU.US,5,20250729,162500,12.52,12.555,12.49,12.55,3617,0
CEPU.US,5,20250729,163000,12.5453,12.5453,12.5453,12.5453,250,0
CEPU.US,5,20250729,163500,12.51,12.51,12.5,12.5,787,0
CEPU.US,5,20250729,164000,12.55,12.55,12.52,12.52,558,0
CEPU.US,5,20250729,164500,12.49,12.49,12.472,12.472,240,0
CEPU.US,5,20250729,165000,12.47,12.47,12.46,12.46,975,0
CEPU.US,5,20250729,165500,12.485,12.485,12.485,12.485,100,0
CEPU.US,5,20250729,170000,12.425,12.47,12.425,12.47,1063,0
CEPU.US,5,20250729,170500,12.484,12.565,12.48,12.48,2178,0
CEPU.US,5,20250729,171500,12.43,12.43,12.43,12.43,343,0
CEPU.US,5,20250729,172000,12.5186,12.5186,12.5186,12.5186,270,0
CEPU.US,5,20250729,172500,12.4766,12.4766,12.4766,12.4766,868,0
CEPU.US,5,20250729,173000,12.405,12.46,12.405,12.45,908,0
CEPU.US,5,20250729,173500,12.4999,12.4999,12.4999,12.4999,527,0
CEPU.US,5,20250729,174000,12.47,12.48,12.47,12.48,300,0
CEPU.US,5,20250729,174500,12.49,12.49,12.49,12.49,370,0
CEPU.US,5,20250729,175000,12.479,12.479,12.47,12.47,400,0
CEPU.US,5,20250729,175500,12.47,12.47,12.445,12.445,448,0
CEPU.US,5,20250729,180000,12.5301,12.5301,12.53,12.53,600,0
CEPU.US,5,20250729,180500,12.53,12.7,12.5282,12.65,10038,0
CEPU.US,5,20250729,181000,12.64,12.6999,12.6067,12.69,11917,0
CEPU.US,5,20250729,181500,12.69,12.7,12.67,12.67,1117,0
CEPU.US,5,20250729,182000,12.67,12.78,12.67,12.77,12871,0
CEPU.US,5,20250729,182500,12.75,12.7646,12.65,12.67,10825,0
CEPU.US,5,20250729,183000,12.65,12.65,12.59,12.59,2218,0
CEPU.US,5,20250729,183500,12.58,12.595,12.58,12.595,2100,0
CEPU.US,5,20250729,184000,12.65,12.65,12.62,12.645,2261,0
CEPU.US,5,20250729,184500,12.67,12.67,12.65,12.65,410,0
CEPU.US,5,20250729,185000,12.644,12.65,12.62,12.63,2050,0
CEPU.US,5,20250729,185500,12.65,12.65,12.65,12.65,200,0
CEPU.US,5,20250729,190000,12.645,12.67,12.625,12.64,12916,0
CEPU.US,5,20250729,190500,12.65,12.65,12.646,12.65,1191,0
CEPU.US,5,20250729,191000,12.65,12.66,12.62,12.65,4779,0
CEPU.US,5,20250729,191500,12.67,12.67,12.65,12.6625,2490,0
CEPU.US,5,20250729,192000,12.622,12.65,12.58,12.6,3499,0
CEPU.US,5,20250729,192500,12.61,12.675,12.61,12.675,1998,0
CEPU.US,5,20250729,193500,12.64,12.64,12.64,12.64,200,0
CEPU.US,5,20250729,194000,12.64,12.69,12.64,12.655,1216,0
CEPU.US,5,20250729,194500,12.69,12.69,12.67,12.67,211,0
CEPU.US,5,20250729,195000,12.67,12.67,12.66,12.66,304,0
CEPU.US,5,20250729,195500,12.6301,12.665,12.6301,12.665,1522,0
CEPU.US,5,20250729,200000,12.65,12.665,12.65,12.665,200,0
CEPU.US,5,20250729,200500,12.688,12.692,12.6,12.6,3605,0
CEPU.US,5,20250729,201000,12.63,12.65,12.63,12.64,400,0
CEPU.US,5,20250729,201500,12.6372,12.68,12.6372,12.68,350,0
CEPU.US,5,20250729,202500,12.7,12.71,12.66,12.68,7470,0
CEPU.US,5,20250729,203000,12.7,12.75,12.68,12.715,1300,0
CEPU.US,5,20250729,203500,12.745,12.7799,12.69,12.71,1082,0
CEPU.US,5,20250729,204000,12.71,12.71,12.67,12.67,1100,0
CEPU.US,5,20250729,204500,12.66,12.69,12.65,12.68,3925,0
CEPU.US,5,20250729,205000,12.675,12.675,12.66,12.66,576,0
CEPU.US,5,20250729,205500,12.64,12.66,12.635,12.66,2152,0
CEPU.US,5,20250729,210000,12.65,12.7,12.645,12.66,15864,0
CEPU.US,5,20250729,210500,12.64,12.675,12.607,12.635,7535,0
CEPU.US,5,20250729,211000,12.6602,12.73,12.635,12.705,7421,0
CEPU.US,5,20250729,211500,12.692,12.74,12.692,12.72,1350,0
CEPU.US,5,20250729,212000,12.73,12.75,12.66,12.75,18618,0
CEPU.US,5,20250729,212500,12.735,12.83,12.64,12.71,25114,0
CEPU.US,5,20250729,213000,12.725,12.73,12.65,12.72,9742,0
CEPU.US,5,20250729,213500,12.705,12.705,12.67,12.67,1399,0
CEPU.US,5,20250729,214000,12.65,12.68,12.64,12.68,1041,0
CEPU.US,5,20250729,214500,12.68,12.7299,12.68,12.69,16828,0
CEPU.US,5,20250729,215000,12.715,12.77,12.715,12.76,2800,0
CEPU.US,5,20250729,215500,12.76,12.8,12.76,12.76,21956,0
CEPU.US,5,20250730,153000,12.9,13,12.8213,12.86,22975,0
CEPU.US,5,20250730,153500,12.885,12.885,12.8,12.8,6184,0
CEPU.US,5,20250730,154000,12.76,12.77,12.6101,12.75,20495,0
CEPU.US,5,20250730,154500,12.685,12.82,12.66,12.765,4686,0
CEPU.US,5,20250730,155000,12.7899,12.7899,12.67,12.69,3083,0
CEPU.US,5,20250730,155500,12.68,12.72,12.65,12.685,900,0
CEPU.US,5,20250730,160000,12.685,12.685,12.6,12.635,3337,0
CEPU.US,5,20250730,160500,12.62,12.69,12.61,12.69,3409,0
CEPU.US,5,20250730,161000,12.6301,12.69,12.63,12.63,2707,0
CEPU.US,5,20250730,161500,12.61,12.64,12.61,12.64,2125,0
CEPU.US,5,20250730,162000,12.6101,12.65,12.6,12.6,3183,0
CEPU.US,5,20250730,162500,12.595,12.6,12.55,12.59,4785,0
CEPU.US,5,20250730,163000,12.59,12.59,12.5507,12.565,2515,0
