<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGGG.US,5,20250728,153000,27.71,27.71,27.7,27.7,775,0
CGGG.US,5,20250728,154500,27.65,27.65,27.65,27.65,404,0
CGGG.US,5,20250728,155500,27.67,27.67,27.67,27.67,239,0
CGGG.US,5,20250728,161500,27.695,27.695,27.69,27.69,325,0
CGGG.US,5,20250728,163500,27.65,27.65,27.65,27.65,180,0
CGGG.US,5,20250728,165000,27.6516,27.6516,27.6516,27.6516,1000,0
CGGG.US,5,20250728,165500,27.65,27.65,27.65,27.65,100,0
CGGG.US,5,20250728,170000,27.62,27.62,27.62,27.62,239,0
CGGG.US,5,20250728,174500,27.6365,27.6365,27.6365,27.6365,253,0
CGGG.US,5,20250728,194500,27.6342,27.6342,27.62,27.62,200,0
CGGG.US,5,20250728,201000,27.62,27.62,27.62,27.62,1916,0
CGGG.US,5,20250728,202000,27.61,27.61,27.61,27.61,100,0
CGGG.US,5,20250728,202500,27.61,27.61,27.61,27.61,100,0
CGGG.US,5,20250728,210500,27.62,27.62,27.62,27.62,3700,0
CGGG.US,5,20250728,211000,27.62,27.62,27.61,27.61,500,0
CGGG.US,5,20250728,214500,27.64,27.65,27.64,27.65,2100,0
CGGG.US,5,20250728,215000,27.64,27.64,27.6393,27.6393,552,0
CGGG.US,5,20250729,153500,27.74,27.74,27.74,27.74,125,0
CGGG.US,5,20250729,155500,27.6398,27.665,27.6398,27.665,600,0
CGGG.US,5,20250729,161500,27.64,27.64,27.64,27.64,100,0
CGGG.US,5,20250729,165000,27.6,27.6,27.6,27.6,100,0
CGGG.US,5,20250729,165500,27.58,27.58,27.58,27.58,7340,0
CGGG.US,5,20250729,172500,27.43,27.43,27.43,27.43,100,0
CGGG.US,5,20250729,173000,27.44,27.44,27.44,27.44,300,0
CGGG.US,5,20250729,191500,27.5506,27.5506,27.5506,27.5506,100,0
CGGG.US,5,20250729,195500,27.51,27.5267,27.51,27.5267,354,0
CGGG.US,5,20250729,200500,27.52,27.52,27.52,27.52,100,0
CGGG.US,5,20250729,203500,27.52,27.52,27.52,27.52,100,0
CGGG.US,5,20250729,204000,27.53,27.53,27.51,27.5199,1155,0
CGGG.US,5,20250729,204500,27.51,27.51,27.51,27.51,300,0
CGGG.US,5,20250729,211000,27.5,27.5,27.5,27.5,100,0
