<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIG.US,5,20250728,153000,1.845,1.85,1.8343,1.8352,54353,0
CIG.US,5,20250728,153500,1.84,1.84,1.8307,1.835,40961,0
CIG.US,5,20250728,154000,1.8347,1.8347,1.82,1.825,28126,0
CIG.US,5,20250728,154500,1.825,1.8294,1.82,1.82,15856,0
CIG.US,5,20250728,155000,1.825,1.83,1.82,1.825,6585,0
CIG.US,5,20250728,155500,1.825,1.83,1.82,1.825,32617,0
CIG.US,5,20250728,160000,1.82,1.8293,1.82,1.8201,28194,0
CIG.US,5,20250728,160500,1.82,1.825,1.82,1.82,28200,0
CIG.US,5,20250728,161000,1.82,1.825,1.82,1.825,10502,0
CIG.US,5,20250728,161500,1.825,1.8289,1.825,1.825,1100,0
CIG.US,5,20250728,162000,1.825,1.825,1.825,1.825,701,0
CIG.US,5,20250728,162500,1.825,1.83,1.82,1.8293,31006,0
CIG.US,5,20250728,163000,1.83,1.83,1.8219,1.825,8010,0
CIG.US,5,20250728,163500,1.825,1.83,1.825,1.825,3710,0
CIG.US,5,20250728,164000,1.825,1.825,1.825,1.825,400,0
CIG.US,5,20250728,164500,1.825,1.825,1.825,1.825,379,0
CIG.US,5,20250728,165000,1.825,1.825,1.82,1.825,6093,0
CIG.US,5,20250728,165500,1.82,1.8281,1.82,1.825,800,0
CIG.US,5,20250728,170000,1.8288,1.8288,1.825,1.825,950,0
CIG.US,5,20250728,170500,1.83,1.83,1.82,1.825,4000,0
CIG.US,5,20250728,171000,1.8285,1.8285,1.82,1.82,594,0
CIG.US,5,20250728,171500,1.825,1.8286,1.82,1.825,1422,0
CIG.US,5,20250728,172000,1.825,1.8285,1.825,1.825,6800,0
CIG.US,5,20250728,172500,1.82,1.82,1.82,1.82,300,0
CIG.US,5,20250728,173000,1.8203,1.8286,1.8203,1.8286,2660,0
CIG.US,5,20250728,173500,1.825,1.825,1.8247,1.825,1070,0
CIG.US,5,20250728,174000,1.825,1.825,1.825,1.825,2144,0
CIG.US,5,20250728,174500,1.825,1.8293,1.825,1.825,535,0
CIG.US,5,20250728,175000,1.825,1.8282,1.82,1.825,918,0
CIG.US,5,20250728,175500,1.82,1.8283,1.82,1.825,3574,0
CIG.US,5,20250728,180000,1.82,1.825,1.82,1.825,1304,0
CIG.US,5,20250728,180500,1.8206,1.8252,1.8206,1.825,2104,0
CIG.US,5,20250728,181000,1.8247,1.8253,1.8247,1.825,3855,0
CIG.US,5,20250728,181500,1.8293,1.8293,1.81,1.815,283052,0
CIG.US,5,20250728,182000,1.815,1.8159,1.815,1.815,16500,0
CIG.US,5,20250728,182500,1.815,1.82,1.815,1.815,12401,0
CIG.US,5,20250728,183000,1.82,1.82,1.815,1.815,10900,0
CIG.US,5,20250728,183500,1.815,1.82,1.815,1.8198,33500,0
CIG.US,5,20250728,184000,1.815,1.82,1.81,1.815,5400,0
CIG.US,5,20250728,184500,1.82,1.82,1.81,1.8199,29878,0
CIG.US,5,20250728,185000,1.82,1.82,1.815,1.815,31317,0
CIG.US,5,20250728,185500,1.815,1.82,1.81,1.82,5385,0
CIG.US,5,20250728,190000,1.815,1.815,1.815,1.815,10485,0
CIG.US,5,20250728,190500,1.815,1.82,1.81,1.815,4702,0
CIG.US,5,20250728,191000,1.815,1.8187,1.815,1.815,1865,0
CIG.US,5,20250728,191500,1.8181,1.8181,1.815,1.815,466,0
CIG.US,5,20250728,192000,1.815,1.82,1.815,1.815,7114,0
CIG.US,5,20250728,192500,1.815,1.815,1.81,1.815,8414,0
CIG.US,5,20250728,193000,1.815,1.8199,1.815,1.8199,1603,0
CIG.US,5,20250728,193500,1.815,1.8159,1.815,1.815,1418,0
CIG.US,5,20250728,194000,1.815,1.82,1.81,1.8101,18229,0
CIG.US,5,20250728,194500,1.815,1.82,1.8,1.8,158216,0
CIG.US,5,20250728,195000,1.805,1.81,1.8,1.8,3829,0
CIG.US,5,20250728,195500,1.8,1.8099,1.8,1.8,6800,0
