<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNO_A.US,5,20250728,171500,18.8744,18.8744,18.8744,18.8744,110,0
CNO_A.US,5,20250728,180000,18.69,18.69,18.69,18.69,100,0
CNO_A.US,5,20250728,193000,18.66,18.66,18.66,18.66,100,0
CNO_A.US,5,20250728,215500,18.85,18.96,18.85,18.96,200,0
CNO_A.US,5,20250729,164000,19.17,19.17,19.17,19.17,200,0
CNO_A.US,5,20250729,181000,19.1598,19.16,19.1598,19.16,500,0
CNO_A.US,5,20250729,182500,19.16,19.16,19.16,19.16,100,0
CNO_A.US,5,20250729,205000,19.1192,19.1192,19.1192,19.1192,148,0
CNO_A.US,5,20250729,215500,19.2,19.2,19.2,19.2,358,0
CNO_A.US,5,20250730,163000,19.14,19.15,19.14,19.15,400,0
CNO_A.US,5,20250730,174000,19.5149,19.5149,19.5149,19.5149,114,0
CNO_A.US,5,20250730,205000,19.17,19.17,19.15,19.15,700,0
CNO_A.US,5,20250730,215500,18.9754,19.27,18.86,18.9361,1000,0
CNO_A.US,5,20250731,170000,19,19,19,19,145,0
CNO_A.US,5,20250731,180000,19.07,19.07,19.07,19.07,150,0
CNO_A.US,5,20250731,192000,19.25,19.25,19.25,19.25,100,0
CNO_A.US,5,20250731,193000,19.25,19.25,19.25,19.25,200,0
CNO_A.US,5,20250731,195000,19.3,19.3,19.3,19.3,100,0
CNO_A.US,5,20250731,200000,19.29,19.35,19.29,19.35,506,0
CNO_A.US,5,20250731,200500,19.16,19.33,19.16,19.16,300,0
CNO_A.US,5,20250731,202500,19.4,19.4,19.4,19.4,100,0
CNO_A.US,5,20250731,204500,19.4,19.4,19.4,19.4,222,0
CNO_A.US,5,20250731,205500,19.45,19.45,19.45,19.45,300,0
CNO_A.US,5,20250731,210500,19.45,19.45,19.45,19.45,1700,0
CNO_A.US,5,20250731,211500,19.45,19.45,19.45,19.45,382,0
CNO_A.US,5,20250731,213000,19.45,19.45,19.45,19.45,100,0
CNO_A.US,5,20250731,213500,19.45,19.59,19.45,19.59,668,0
