<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNP.US,5,20250728,153000,37.75,38.11,37.3,37.89,185383,0
CNP.US,5,20250728,153500,37.89,37.92,37.74,37.81,92191,0
CNP.US,5,20250728,154000,37.81,37.92,37.7,37.89,45272,0
CNP.US,5,20250728,154500,37.89,37.95,37.79,37.89,84090,0
CNP.US,5,20250728,155000,37.89,37.91,37.705,37.76,76444,0
CNP.US,5,20250728,155500,37.77,37.805,37.58,37.585,110289,0
CNP.US,5,20250728,160000,37.59,37.68,37.545,37.665,66372,0
CNP.US,5,20250728,160500,37.665,37.72,37.57,37.575,75507,0
CNP.US,5,20250728,161000,37.58,37.74,37.57,37.705,93754,0
CNP.US,5,20250728,161500,37.705,37.79,37.705,37.77,66802,0
CNP.US,5,20250728,162000,37.76,37.79,37.65,37.685,56299,0
CNP.US,5,20250728,162500,37.685,37.775,37.685,37.715,52297,0
CNP.US,5,20250728,163000,37.71,37.735,37.67,37.71,102949,0
CNP.US,5,20250728,163500,37.71,37.72,37.62,37.62,57470,0
CNP.US,5,20250728,164000,37.62,37.75,37.62,37.75,90133,0
CNP.US,5,20250728,164500,37.76,37.81,37.745,37.785,91057,0
CNP.US,5,20250728,165000,37.79,37.86,37.785,37.805,60688,0
CNP.US,5,20250728,165500,37.8,37.85,37.785,37.785,70314,0
CNP.US,5,20250728,170000,37.785,37.785,37.72,37.72,66723,0
CNP.US,5,20250728,170500,37.725,37.76,37.685,37.695,73764,0
CNP.US,5,20250728,171000,37.695,37.72,37.665,37.665,46122,0
CNP.US,5,20250728,171500,37.665,37.69,37.63,37.69,84706,0
CNP.US,5,20250728,172000,37.685,37.71,37.61,37.61,46762,0
CNP.US,5,20250728,172500,37.615,37.66,37.59,37.6,110404,0
CNP.US,5,20250728,173000,37.605,37.65,37.55,37.63,41174,0
CNP.US,5,20250728,173500,37.625,37.625,37.565,37.575,50873,0
CNP.US,5,20250728,174000,37.57,37.59,37.545,37.55,33363,0
CNP.US,5,20250728,174500,37.555,37.5799,37.545,37.545,66977,0
CNP.US,5,20250728,175000,37.545,37.57,37.475,37.495,59291,0
CNP.US,5,20250728,175500,37.485,37.52,37.46,37.46,43664,0
CNP.US,5,20250728,180000,37.46,37.495,37.45,37.45,22526,0
CNP.US,5,20250728,180500,37.445,37.48,37.42,37.425,31680,0
CNP.US,5,20250728,181000,37.425,37.49,37.4,37.435,50002,0
CNP.US,5,20250728,181500,37.43,37.455,37.41,37.455,31434,0
CNP.US,5,20250728,182000,37.455,37.485,37.44,37.465,28672,0
CNP.US,5,20250728,182500,37.465,37.475,37.435,37.45,44109,0
CNP.US,5,20250728,183000,37.445,37.46,37.4,37.415,44973,0
CNP.US,5,20250728,183500,37.415,37.43,37.375,37.415,30405,0
CNP.US,5,20250728,184000,37.41,37.46,37.41,37.455,29469,0
CNP.US,5,20250728,184500,37.455,37.455,37.41,37.415,19664,0
CNP.US,5,20250728,185000,37.415,37.435,37.37,37.38,40436,0
CNP.US,5,20250728,185500,37.375,37.375,37.34,37.355,26393,0
CNP.US,5,20250728,190000,37.355,37.4,37.355,37.385,27070,0
CNP.US,5,20250728,190500,37.385,37.41,37.37,37.37,36142,0
CNP.US,5,20250728,191000,37.37,37.375,37.345,37.345,41001,0
CNP.US,5,20250728,191500,37.345,37.37,37.29,37.295,38120,0
CNP.US,5,20250728,192000,37.29,37.31,37.27,37.275,30830,0
CNP.US,5,20250728,192500,37.275,37.3275,37.235,37.305,44067,0
CNP.US,5,20250728,193000,37.305,37.355,37.285,37.345,40809,0
CNP.US,5,20250728,193500,37.345,37.39,37.345,37.375,29492,0
CNP.US,5,20250728,194000,37.375,37.48,37.375,37.475,35262,0
CNP.US,5,20250728,194500,37.48,37.52,37.4708,37.49,36550,0
CNP.US,5,20250728,195000,37.49,37.51,37.465,37.49,50652,0
CNP.US,5,20250728,195500,37.485,37.485,37.425,37.455,59065,0
CNP.US,5,20250728,200000,37.455,37.49,37.43,37.44,32466,0
CNP.US,5,20250728,200500,37.435,37.46,37.43,37.455,49089,0
CNP.US,5,20250728,201000,37.455,37.48,37.45,37.475,35293,0
CNP.US,5,20250728,201500,37.48,37.51,37.475,37.48,54402,0
CNP.US,5,20250728,202000,37.47,37.505,37.45,37.495,61940,0
CNP.US,5,20250728,202500,37.4953,37.52,37.475,37.52,43737,0
CNP.US,5,20250728,203000,37.515,37.59,37.51,37.585,83576,0
CNP.US,5,20250728,203500,37.585,37.63,37.585,37.63,87423,0
