<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNQ.US,5,20250728,153000,31.65,31.83,31.58,31.75,123670,0
CNQ.US,5,20250728,153500,31.74,31.87,31.74,31.8301,40263,0
CNQ.US,5,20250728,154000,31.84,31.8799,31.78,31.81,31958,0
CNQ.US,5,20250728,154500,31.815,31.87,31.805,31.83,30980,0
CNQ.US,5,20250728,155000,31.83,31.9,31.82,31.875,23725,0
CNQ.US,5,20250728,155500,31.875,31.93,31.82,31.91,25348,0
CNQ.US,5,20250728,160000,31.91,32.015,31.9,32,45166,0
CNQ.US,5,20250728,160500,32.01,32.045,31.98,31.98,44165,0
CNQ.US,5,20250728,161000,31.97,31.985,31.92,31.935,39903,0
CNQ.US,5,20250728,161500,31.935,31.935,31.9,31.92,20311,0
CNQ.US,5,20250728,162000,31.925,31.925,31.835,31.845,19655,0
CNQ.US,5,20250728,162500,31.84,31.905,31.83,31.885,20946,0
CNQ.US,5,20250728,163000,31.885,31.905,31.85,31.89,19259,0
CNQ.US,5,20250728,163500,31.885,31.89,31.865,31.87,5595,0
CNQ.US,5,20250728,164000,31.865,31.905,31.85,31.895,14914,0
CNQ.US,5,20250728,164500,31.895,31.925,31.86,31.925,42027,0
CNQ.US,5,20250728,165000,31.93,32.005,31.93,31.995,20045,0
CNQ.US,5,20250728,165500,32,32.005,31.96,31.995,28400,0
CNQ.US,5,20250728,170000,31.99,31.99,31.91,31.9719,48358,0
CNQ.US,5,20250728,170500,31.98,31.99,31.92,31.92,14804,0
CNQ.US,5,20250728,171000,31.925,31.9681,31.92,31.965,22268,0
CNQ.US,5,20250728,171500,31.97,32,31.9514,32,26173,0
CNQ.US,5,20250728,172000,32.015,32.035,31.995,32,24295,0
CNQ.US,5,20250728,172500,32,32.03,32,32.0201,20201,0
CNQ.US,5,20250728,173000,32.025,32.025,31.97,32.01,26046,0
CNQ.US,5,20250728,173500,32,32.015,31.99,31.99,14059,0
CNQ.US,5,20250728,174000,31.995,32.01,31.96,31.98,16093,0
CNQ.US,5,20250728,174500,31.985,32.04,31.985,32.0109,21383,0
CNQ.US,5,20250728,175000,32.0135,32.025,31.99,31.995,12691,0
CNQ.US,5,20250728,175500,31.9948,32.02,31.99,32.02,6296,0
CNQ.US,5,20250728,180000,32.02,32.025,31.99,31.99,20321,0
CNQ.US,5,20250728,180500,31.985,32,31.975,31.985,22940,0
CNQ.US,5,20250728,181000,31.98,31.98,31.9519,31.97,23590,0
CNQ.US,5,20250728,181500,31.975,32.0219,31.975,32.0012,13955,0
CNQ.US,5,20250728,182000,32.01,32.025,32.01,32.01,8494,0
CNQ.US,5,20250728,182500,32.005,32.015,31.99,32.015,22911,0
CNQ.US,5,20250728,183000,32.015,32.025,32,32.01,20886,0
CNQ.US,5,20250728,183500,32.01,32.02,32,32.01,10786,0
CNQ.US,5,20250728,184000,32.01,32.015,31.965,31.965,17594,0
CNQ.US,5,20250728,184500,31.95,31.95,31.92,31.9253,5918,0
CNQ.US,5,20250728,185000,31.93,31.9589,31.93,31.955,6173,0
CNQ.US,5,20250728,185500,31.955,31.96,31.9347,31.96,19222,0
CNQ.US,5,20250728,190000,31.9603,31.975,31.955,31.975,11827,0
CNQ.US,5,20250728,190500,31.975,31.985,31.935,31.935,14908,0
CNQ.US,5,20250728,191000,31.94,31.945,31.93,31.945,12120,0
CNQ.US,5,20250728,191500,31.945,31.945,31.885,31.885,24111,0
CNQ.US,5,20250728,192000,31.885,31.895,31.855,31.875,18265,0
CNQ.US,5,20250728,192500,31.875,31.875,31.845,31.855,21757,0
CNQ.US,5,20250728,193000,31.85,31.87,31.83,31.865,35891,0
CNQ.US,5,20250728,193500,31.865,31.88,31.855,31.875,50730,0
CNQ.US,5,20250728,194000,31.88,31.8887,31.8714,31.885,12262,0
CNQ.US,5,20250728,194500,31.88,31.91,31.88,31.9,14898,0
CNQ.US,5,20250728,195000,31.895,31.91,31.89,31.9091,10773,0
CNQ.US,5,20250728,195500,31.91,31.935,31.905,31.905,36096,0
CNQ.US,5,20250728,200000,31.9,31.905,31.8848,31.895,8945,0
CNQ.US,5,20250728,200500,31.895,31.895,31.87,31.87,20994,0
CNQ.US,5,20250728,201000,31.875,31.885,31.86,31.87,12526,0
CNQ.US,5,20250728,201500,31.865,31.935,31.865,31.935,19838,0
CNQ.US,5,20250728,202000,31.94,31.95,31.925,31.925,8575,0
CNQ.US,5,20250728,202500,31.925,31.95,31.92,31.945,22530,0
CNQ.US,5,20250728,203000,31.945,31.975,31.94,31.975,13309,0
CNQ.US,5,20250728,203500,31.975,31.98,31.955,31.97,16948,0
CNQ.US,5,20250728,204000,31.965,31.97,31.925,31.935,26600,0
CNQ.US,5,20250728,204500,31.935,31.935,31.92,31.925,6048,0
CNQ.US,5,20250728,205000,31.925,31.9291,31.905,31.905,15470,0
CNQ.US,5,20250728,205500,31.905,31.915,31.885,31.8851,23174,0
CNQ.US,5,20250728,210000,31.8818,31.9,31.87,31.8745,16235,0
CNQ.US,5,20250728,210500,31.88,31.8877,31.855,31.875,18990,0
CNQ.US,5,20250728,211000,31.87,31.905,31.865,31.9,20786,0
CNQ.US,5,20250728,211500,31.9,31.9,31.8818,31.885,15034,0
CNQ.US,5,20250728,212000,31.89,31.9,31.865,31.865,22002,0
CNQ.US,5,20250728,212500,31.865,31.875,31.85,31.855,23567,0
CNQ.US,5,20250728,213000,31.855,31.88,31.855,31.865,31360,0
CNQ.US,5,20250728,213500,31.865,31.895,31.865,31.885,34130,0
CNQ.US,5,20250728,214000,31.88,31.895,31.88,31.895,11683,0
CNQ.US,5,20250728,214500,31.8965,31.91,31.89,31.9048,42204,0
CNQ.US,5,20250728,215000,31.9,31.93,31.89,31.91,114332,0
CNQ.US,5,20250728,215500,31.91,31.94,31.895,31.94,431590,0
CNQ.US,5,20250729,153000,31.805,32.03,31.795,31.99,106992,0
CNQ.US,5,20250729,153500,32,32.01,31.89,31.92,45438,0
CNQ.US,5,20250729,154000,31.93,31.95,31.89,31.92,24644,0
CNQ.US,5,20250729,154500,31.915,31.98,31.8647,31.89,37834,0
CNQ.US,5,20250729,155000,31.91,31.94,31.88,31.94,26295,0
CNQ.US,5,20250729,155500,31.94,31.985,31.915,31.965586,36073,0
CNQ.US,5,20250729,160000,31.98,31.995,31.94,31.96,30881,0
CNQ.US,5,20250729,160500,31.95,31.97,31.95,31.96,26960,0
CNQ.US,5,20250729,161000,31.95,31.975,31.93,31.965,28331,0
CNQ.US,5,20250729,161500,31.97,31.98,31.95,31.96,25110,0
CNQ.US,5,20250729,162000,31.97,32.0155,31.97,31.995,26124,0
CNQ.US,5,20250729,162500,31.995,32.045,31.9902,32.045,35541,0
CNQ.US,5,20250729,163000,32.045,32.045,31.99,31.99,85458,0
CNQ.US,5,20250729,163500,31.99,32.005,31.96,31.995,60784,0
CNQ.US,5,20250729,164000,31.995,32,31.925,31.925,41352,0
CNQ.US,5,20250729,164500,31.93,31.95,31.911,31.94,20076,0
CNQ.US,5,20250729,165000,31.955,31.955,31.865,31.88,16516,0
CNQ.US,5,20250729,165500,31.87,31.875,31.86,31.865,14486,0
CNQ.US,5,20250729,170000,31.86,31.895,31.85,31.895,34363,0
CNQ.US,5,20250729,170500,31.9,31.915,31.865,31.9,23077,0
CNQ.US,5,20250729,171000,31.91,31.965,31.9035,31.95,92265,0
CNQ.US,5,20250729,171500,31.96,31.965,31.915,31.92,28113,0
CNQ.US,5,20250729,172000,31.92,31.92,31.85,31.855,22426,0
CNQ.US,5,20250729,172500,31.85,31.865,31.825,31.845,37251,0
CNQ.US,5,20250729,173000,31.842,31.935,31.84,31.895,22320,0
CNQ.US,5,20250729,173500,31.895,31.95,31.88,31.925,37061,0
CNQ.US,5,20250729,174000,31.93,31.95,31.91,31.95,26880,0
CNQ.US,5,20250729,174500,31.95,31.96,31.91,31.925,20022,0
CNQ.US,5,20250729,175000,31.925,31.95,31.92,31.925,27936,0
CNQ.US,5,20250729,175500,31.93,31.94,31.915,31.93,18900,0
CNQ.US,5,20250729,180000,31.93,31.955,31.93,31.955,15326,0
CNQ.US,5,20250729,180500,31.955,31.955,31.92,31.93,33901,0
CNQ.US,5,20250729,181000,31.9282,31.975,31.9282,31.97,21038,0
CNQ.US,5,20250729,181500,31.97,31.97,31.935,31.94,27587,0
CNQ.US,5,20250729,182000,31.95,31.96,31.94,31.945,11080,0
CNQ.US,5,20250729,182500,31.95,31.955,31.93,31.935,8559,0
CNQ.US,5,20250729,183000,31.93,31.945,31.925,31.935,17362,0
CNQ.US,5,20250729,183500,31.9367,31.945,31.92,31.92,13982,0
CNQ.US,5,20250729,184000,31.92,31.95,31.92,31.94,16285,0
CNQ.US,5,20250729,184500,31.935,31.95,31.92,31.92,29983,0
CNQ.US,5,20250729,185000,31.925,31.9267,31.9,31.91,14096,0
CNQ.US,5,20250729,185500,31.91,31.945,31.91,31.92,19428,0
CNQ.US,5,20250729,190000,31.93,31.985,31.93,31.97,18355,0
