<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COIW.US,5,20250728,153000,57.75,57.88,56.52,56.6792,10339,0
COIW.US,5,20250728,153500,56.75,56.95,56.6,56.8245,8819,0
COIW.US,5,20250728,154000,56.69,56.7939,56.475,56.58,4388,0
COIW.US,5,20250728,154500,56.5535,56.5535,56.07,56.33,3452,0
COIW.US,5,20250728,155000,56.3387,56.55,56.3275,56.3275,2220,0
COIW.US,5,20250728,155500,56.18,56.25,55.9851,56.0024,4925,0
COIW.US,5,20250728,160000,55.981,56.129,55.77,55.93,9120,0
COIW.US,5,20250728,160500,55.9013,56.25,55.9013,56.147,1966,0
COIW.US,5,20250728,161000,56.105,56.4,56.105,56.4,1358,0
COIW.US,5,20250728,161500,56.43,56.43,55.92,55.92,2522,0
COIW.US,5,20250728,162000,55.8,55.8,55.49,55.605,1757,0
COIW.US,5,20250728,162500,55.4975,55.4975,55.3,55.3,1120,0
COIW.US,5,20250728,163000,55.19,55.31,54.8308,55,13840,0
COIW.US,5,20250728,163500,54.92,55.22,54.74,55.2,2283,0
COIW.US,5,20250728,164000,55.14,55.15,55.01,55.1,1112,0
COIW.US,5,20250728,164500,55,55,54.85,54.85,500,0
COIW.US,5,20250728,165000,54.75,54.8,54.65,54.8,509,0
COIW.US,5,20250728,165500,54.653575,54.78,54.5108,54.5108,4189,0
COIW.US,5,20250728,170000,54.5,54.62,54.5,54.62,808,0
COIW.US,5,20250728,170500,54.81,54.81,54.71,54.71,260,0
COIW.US,5,20250728,171000,54.895,54.895,54.57,54.73,1804,0
COIW.US,5,20250728,171500,54.52,54.52,54.46,54.464,870,0
COIW.US,5,20250728,172000,54.4998,54.84,54.4998,54.84,404,0
COIW.US,5,20250728,172500,54.81,54.81,54.5657,54.5657,1150,0
COIW.US,5,20250728,173000,54.92,54.92,54.75,54.79,2852,0
COIW.US,5,20250728,173500,54.6923,54.71,54.6,54.6,1306,0
COIW.US,5,20250728,174000,54.57,54.61,54.57,54.61,626,0
COIW.US,5,20250728,174500,54.52,54.54,54.51,54.51,1310,0
COIW.US,5,20250728,175000,54.9678,54.9678,54.86,54.86,800,0
COIW.US,5,20250728,175500,55.05,55.05,54.93,55.04,901,0
COIW.US,5,20250728,180000,55.05,55.135,54.96,55.135,995,0
COIW.US,5,20250728,180500,55.1143,55.1143,55.09,55.09,300,0
COIW.US,5,20250728,181000,55.0135,55.02,54.87,54.87,400,0
COIW.US,5,20250728,181500,54.9443,55.0855,54.91,55.08,1478,0
COIW.US,5,20250728,182000,55.29,55.29,55.29,55.29,100,0
COIW.US,5,20250728,182500,55.18,55.3,55.15,55.25,7391,0
COIW.US,5,20250728,183000,55.1552,55.3,55.0867,55.0867,1833,0
COIW.US,5,20250728,183500,55.28,55.28,55.28,55.28,200,0
COIW.US,5,20250728,184000,55.2888,55.2888,55.2888,55.2888,100,0
COIW.US,5,20250728,185500,55.13,55.13,54.9339,54.9339,563,0
COIW.US,5,20250728,190000,54.97,54.97,54.66,54.66,550,0
COIW.US,5,20250728,190500,54.8344,54.8344,54.74,54.74,200,0
COIW.US,5,20250728,191000,54.77,54.86,54.66,54.6701,1767,0
COIW.US,5,20250728,191500,54.8,54.84,54.72,54.72,4180,0
COIW.US,5,20250728,192000,54.72,54.72,54.38,54.475,1104,0
COIW.US,5,20250728,192500,54.74,54.75,54.685,54.685,350,0
COIW.US,5,20250728,193000,54.6,54.6,54.6,54.6,100,0
COIW.US,5,20250728,193500,54.635,54.635,54.635,54.635,200,0
COIW.US,5,20250728,194000,54.95,54.95,54.95,54.95,100,0
COIW.US,5,20250728,194500,54.7772,54.94,54.7772,54.915,620,0
COIW.US,5,20250728,195000,54.87,54.87,54.8699,54.87,1638,0
COIW.US,5,20250728,195500,55.0164,55.0164,55.0164,55.0164,675,0
COIW.US,5,20250728,200000,55.0877,55.0877,54.8,54.8,597,0
COIW.US,5,20250728,200500,54.765,54.765,54.765,54.765,614,0
COIW.US,5,20250728,202500,54.75,54.7957,54.75,54.7957,221,0
COIW.US,5,20250728,203000,54.82,54.82,54.7,54.7,308,0
COIW.US,5,20250728,203500,54.6286,54.6286,54.6286,54.6286,366,0
COIW.US,5,20250728,204000,54.62,54.62,54.62,54.62,260,0
COIW.US,5,20250728,205000,54.9892,54.9892,54.8932,54.8932,293,0
COIW.US,5,20250728,205500,54.82,54.825,54.6801,54.7554,573,0
COIW.US,5,20250728,210000,54.96,54.96,54.96,54.96,200,0
COIW.US,5,20250728,211000,55.04,55.11,55.04,55.11,611,0
COIW.US,5,20250728,211500,55.035,55.07,54.9671,55.07,527,0
COIW.US,5,20250728,212000,55.08,55.2,55.03,55.2,900,0
COIW.US,5,20250728,212500,55.17,55.19,55.17,55.19,300,0
COIW.US,5,20250728,213000,55.19,55.21,55.185,55.185,754,0
COIW.US,5,20250728,213500,55.1894,55.1894,55,55,400,0
COIW.US,5,20250728,214000,54.853514,54.962257,54.853514,54.962257,600,0
COIW.US,5,20250728,214500,55.16,55.33,55.16,55.33,200,0
COIW.US,5,20250728,215000,55.14,55.16,55.14,55.16,200,0
COIW.US,5,20250728,215500,55.18,55.18,55.08,55.17,1212,0
COIW.US,5,20250729,153000,56.02,56.02,55.5,55.63,3415,0
COIW.US,5,20250729,153500,55.3026,55.3026,55.21,55.21,1184,0
COIW.US,5,20250729,154000,55.41,55.41,54.92,54.92,1659,0
COIW.US,5,20250729,154500,55.1922,55.1922,54.92,54.92,400,0
COIW.US,5,20250729,155000,54.81,54.87,54.64,54.87,2027,0
COIW.US,5,20250729,155500,54.85,55.03,54.78,55.03,1970,0
COIW.US,5,20250729,160000,55.0767,55.0767,54.5,54.5,3911,0
COIW.US,5,20250729,160500,54.5602,54.645,54.4,54.645,1295,0
COIW.US,5,20250729,161000,54.6,54.87,54.6,54.87,918,0
COIW.US,5,20250729,161500,54.82,54.9,54.82,54.9,200,0
COIW.US,5,20250729,162000,54.654,54.654,54.654,54.654,200,0
COIW.US,5,20250729,162500,54.5313,54.5313,54.3901,54.53,838,0
COIW.US,5,20250729,163000,54.62,54.746,54.62,54.62,1707,0
COIW.US,5,20250729,163500,54.62,54.6742,54.61,54.6742,2324,0
COIW.US,5,20250729,164000,54.7,54.7,54.7,54.7,222,0
COIW.US,5,20250729,164500,54.7287,54.7287,54.4404,54.4404,2168,0
COIW.US,5,20250729,165000,54.5,54.5,54.35,54.35,601,0
COIW.US,5,20250729,165500,54.25,54.314,54.0001,54.1943,1548,0
COIW.US,5,20250729,170000,54.0901,54.1501,53.8953,53.8953,1941,0
COIW.US,5,20250729,170500,53.89,54.0087,53.89,54.0087,722,0
COIW.US,5,20250729,171000,53.91,54.08,53.74,53.8794,9664,0
COIW.US,5,20250729,171500,53.6456,53.72,53.58,53.68,5902,0
COIW.US,5,20250729,172000,53.53,53.53,53.381,53.51,1315,0
COIW.US,5,20250729,172500,53.36,53.36,52.89,52.89,10723,0
COIW.US,5,20250729,173000,53.23,53.27,53.0001,53.27,516,0
COIW.US,5,20250729,173500,53,53,52.8,52.8,700,0
COIW.US,5,20250729,174000,52.99,52.99,52.72,52.8693,3058,0
COIW.US,5,20250729,174500,52.95,52.95,52.95,52.95,200,0
COIW.US,5,20250729,175000,53.1,53.275,53.1,53.275,250,0
COIW.US,5,20250729,180000,53.3,53.36,53.3,53.32,438,0
COIW.US,5,20250729,180500,53.31,53.31,53.245,53.245,400,0
COIW.US,5,20250729,181000,53.0394,53.0394,53.016,53.016,1115,0
COIW.US,5,20250729,181500,53.1944,53.1944,53.1944,53.1944,858,0
COIW.US,5,20250729,182000,52.885,52.885,52.885,52.885,170,0
COIW.US,5,20250729,182500,52.85,52.86,52.75,52.86,720,0
COIW.US,5,20250729,183500,52.8,52.8,52.701,52.7036,3657,0
COIW.US,5,20250729,184000,52.805,52.805,52.805,52.805,100,0
COIW.US,5,20250729,185000,53.1559,53.1559,53.1559,53.1559,400,0
COIW.US,5,20250729,185500,53.1368,53.3576,53.1368,53.3576,1154,0
COIW.US,5,20250729,191000,53.5,53.5,53.5,53.5,125,0
COIW.US,5,20250729,191500,53.56,53.6384,53.5,53.5,1695,0
COIW.US,5,20250729,192500,53.4598,53.56,53.4598,53.5,1327,0
COIW.US,5,20250729,194000,53.4386,53.5588,53.4386,53.5439,513,0
COIW.US,5,20250729,194500,53.656,53.656,53.656,53.656,100,0
COIW.US,5,20250729,195000,53.37,53.37,53.37,53.37,1379,0
COIW.US,5,20250729,195500,53.55,53.67,53.55,53.67,802,0
COIW.US,5,20250729,200000,53.6612,53.6612,53.6612,53.6612,100,0
COIW.US,5,20250729,200500,53.67,53.67,53.67,53.67,186,0
COIW.US,5,20250729,201500,53.62,53.62,53.62,53.62,100,0
COIW.US,5,20250729,202000,53.46,53.47,53.46,53.46,631,0
COIW.US,5,20250729,203000,53.78,53.78,53.78,53.78,100,0
COIW.US,5,20250729,203500,53.91,53.91,53.91,53.91,100,0
COIW.US,5,20250729,204000,53.99,53.99,53.935,53.97,840,0
COIW.US,5,20250729,204500,53.97,53.97,53.97,53.97,100,0
COIW.US,5,20250729,205000,53.97,53.97,53.97,53.97,100,0
COIW.US,5,20250729,205500,53.87,53.9,53.74,53.74,400,0
COIW.US,5,20250729,210000,53.73,53.73,53.73,53.73,186,0
COIW.US,5,20250729,210500,53.65,53.65,53.65,53.65,100,0
COIW.US,5,20250729,211000,53.715,53.72,53.6724,53.6724,2050,0
COIW.US,5,20250729,211500,53.6266,53.88,53.6266,53.88,270,0
COIW.US,5,20250729,212000,53.9,53.9,53.7225,53.8,1786,0
COIW.US,5,20250729,212500,53.7,53.79,53.7,53.725,500,0
COIW.US,5,20250729,213000,53.85,53.85,53.85,53.85,118,0
COIW.US,5,20250729,213500,53.59,53.59,53.4552,53.4552,701,0
COIW.US,5,20250729,214500,53.74,53.744,53.6,53.6,1006,0
COIW.US,5,20250729,215000,53.6,53.6,53.6,53.6,100,0
COIW.US,5,20250729,215500,53.77,53.77,53.77,53.77,285,0
COIW.US,5,20250730,153000,55.806,56.035,55.1574,55.18,5045,0
COIW.US,5,20250730,153500,55.2,56,54.9987,56,1217,0
COIW.US,5,20250730,154000,56.23,56.23,55.67,55.67,2387,0
COIW.US,5,20250730,154500,55.45,55.67,55.16,55.42,1981,0
COIW.US,5,20250730,155000,55.3581,55.3581,54.99,54.99,326,0
COIW.US,5,20250730,155500,55.29,55.29,54.7,54.7,1329,0
COIW.US,5,20250730,160000,55.21,55.21,54.914,54.914,255,0
COIW.US,5,20250730,160500,54.85,55.24,54.84,55.24,700,0
COIW.US,5,20250730,161000,54.8,54.95,54.8,54.84,720,0
COIW.US,5,20250730,161500,54.9,54.9,54.9,54.9,100,0
COIW.US,5,20250730,162000,55.18,55.3323,55.18,55.315,998,0
COIW.US,5,20250730,162500,55.22,55.35,55.0501,55.0949,1201,0
