<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COLO.US,5,20250728,153000,29.26,29.26,29.26,29.26,100,0
COLO.US,5,20250728,153500,29.14,29.1496,29.09,29.14,4602,0
COLO.US,5,20250728,154500,28.97,29.045,28.9671,28.97,2900,0
COLO.US,5,20250728,155000,28.9724,29.03,28.97,28.98,4172,0
COLO.US,5,20250728,160000,29.1,29.1792,28.9,29.0501,4673,0
COLO.US,5,20250728,160500,29.02,29.0828,28.9,28.9888,2090,0
COLO.US,5,20250728,161500,28.9,28.9,28.61,28.65,2974,0
COLO.US,5,20250728,162000,28.625,28.78,28.625,28.684,6337,0
COLO.US,5,20250728,162500,28.9,28.9,28.7,28.8575,2292,0
COLO.US,5,20250728,163000,28.83,28.83,28.37,28.38,17580,0
COLO.US,5,20250728,163500,28.42,28.5,28.42,28.5,999,0
COLO.US,5,20250728,164000,28.51,28.59,28.5,28.59,2506,0
COLO.US,5,20250728,164500,28.58,28.62,28.42,28.42,8601,0
COLO.US,5,20250728,165000,28.47,28.535,28.42,28.42,3788,0
COLO.US,5,20250728,165500,28.43,28.545,28.34,28.34,2115,0
COLO.US,5,20250728,170000,28.32,28.35,28.23,28.23,1400,0
COLO.US,5,20250728,171000,28.19,28.41,27.92,28.1912,71928,0
COLO.US,5,20250728,171500,28.15,28.16,27.91,28.085,18120,0
COLO.US,5,20250728,172000,28.105,28.105,28.07,28.07,3092,0
COLO.US,5,20250728,173000,28.11,28.11,28.11,28.11,100,0
COLO.US,5,20250728,173500,28.19,28.19,28.19,28.19,150,0
COLO.US,5,20250728,175000,28.31,28.33,28.31,28.33,1500,0
COLO.US,5,20250728,180000,28.39,28.39,28.39,28.39,200,0
COLO.US,5,20250728,180500,28.35,28.35,28.27,28.28,4768,0
COLO.US,5,20250728,181500,28.355,28.355,28.355,28.355,1502,0
COLO.US,5,20250728,182500,28.355,28.36,28.31,28.36,2931,0
COLO.US,5,20250728,183500,28.355,28.355,28.33,28.33,400,0
COLO.US,5,20250728,184000,28.355,28.38,28.28,28.38,53100,0
COLO.US,5,20250728,184500,28.38,28.38,28.38,28.38,1000,0
COLO.US,5,20250728,185000,28.38,28.38,28.38,28.38,900,0
COLO.US,5,20250728,185500,28.38,28.42,28.38,28.385,10500,0
COLO.US,5,20250728,190000,28.42,28.49,28.39,28.49,7843,0
COLO.US,5,20250728,190500,28.49,28.5,28.46,28.465,3633,0
COLO.US,5,20250728,191500,28.53,28.55,28.505,28.55,1953,0
