<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS.US,5,20250728,153000,24.5276,24.5276,24.29,24.365,1408,0
CPS.US,5,20250728,153500,24.41,24.41,24.33,24.4,873,0
CPS.US,5,20250728,154000,24.38,24.38,24.38,24.38,100,0
CPS.US,5,20250728,155000,24.42,24.43,24.42,24.43,200,0
CPS.US,5,20250728,155500,24.425,24.425,24.425,24.425,100,0
CPS.US,5,20250728,160000,24.43,24.5,24.43,24.5,200,0
CPS.US,5,20250728,160500,24.51,24.54,24.4919,24.4919,610,0
CPS.US,5,20250728,161000,24.51,24.58,24.51,24.58,600,0
CPS.US,5,20250728,161500,24.545,24.545,24.47,24.47,2299,0
CPS.US,5,20250728,162000,24.4,24.425,24.26,24.26,2487,0
CPS.US,5,20250728,162500,24.26,24.26,24.25,24.25,1177,0
CPS.US,5,20250728,163000,24.379,24.379,24.379,24.379,100,0
CPS.US,5,20250728,164000,24.41,24.41,24.41,24.41,100,0
CPS.US,5,20250728,164500,24.49,24.5,24.49,24.5,400,0
CPS.US,5,20250728,165000,24.55,24.66,24.55,24.63,900,0
CPS.US,5,20250728,165500,24.635,24.725,24.635,24.725,3405,0
CPS.US,5,20250728,170000,24.77,24.9499,24.77,24.9499,4400,0
CPS.US,5,20250728,170500,24.91,25.11,24.91,25.08,4677,0
CPS.US,5,20250728,171500,25.14,25.16,24.94,24.97,4655,0
CPS.US,5,20250728,172000,24.98,24.98,24.98,24.98,100,0
CPS.US,5,20250728,172500,24.89,24.89,24.86,24.88,1568,0
CPS.US,5,20250728,173000,24.93,25.16,24.93,25.14,10532,0
CPS.US,5,20250728,173500,25.14,25.14,25.14,25.14,200,0
CPS.US,5,20250728,174000,25.21,25.24,25.21,25.24,258,0
CPS.US,5,20250728,174500,25.32,25.38,25.32,25.38,497,0
CPS.US,5,20250728,175000,25.38,25.38,25.38,25.38,357,0
CPS.US,5,20250728,175500,25.47,25.57,25.47,25.55,1346,0
CPS.US,5,20250728,180000,25.5889,25.5889,25.5752,25.5752,1186,0
CPS.US,5,20250728,180500,25.6,25.61,25.5482,25.5482,1300,0
CPS.US,5,20250728,181000,25.58,25.67,25.58,25.67,800,0
CPS.US,5,20250728,181500,25.68,25.68,25.68,25.68,100,0
CPS.US,5,20250728,182000,25.6802,25.78,25.65,25.78,763,0
