<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSL.US,5,20250728,153000,435.92,435.92,432.34,432.34,1258,0
CSL.US,5,20250728,153500,432.34,434.79,431.49,431.49,500,0
CSL.US,5,20250728,154500,430.81,430.81,430.81,430.81,100,0
CSL.US,5,20250728,155000,430.275,430.91,430.25,430.79,780,0
CSL.US,5,20250728,155500,430.66,431.635,430.335,431.635,3251,0
CSL.US,5,20250728,160000,430.925,432.55,430.925,432.55,411,0
CSL.US,5,20250728,160500,432.55,432.81,432.11,432.11,580,0
CSL.US,5,20250728,161000,431.135,432.6075,431.135,432.18,658,0
CSL.US,5,20250728,161500,432.11,432.72,432.11,432.72,405,0
CSL.US,5,20250728,162000,432.81,433.14,432.09,433.14,684,0
CSL.US,5,20250728,162500,432.11,432.72,432.06,432.72,800,0
CSL.US,5,20250728,163000,432.72,432.72,432.11,432.11,934,0
CSL.US,5,20250728,163500,432.23,432.23,432.23,432.23,100,0
CSL.US,5,20250728,164000,432.13,432.2,430.67,431.14,6590,0
CSL.US,5,20250728,164500,431.1,431.1,430.26,430.26,200,0
CSL.US,5,20250728,165000,430.26,430.31,429.345,429.3525,1800,0
CSL.US,5,20250728,165500,428.52,429.955,428.52,429.1,4223,0
CSL.US,5,20250728,170000,429.15,429.32,427.6,428.02,5400,0
CSL.US,5,20250728,170500,427.95,427.95,427.27,427.47,706,0
CSL.US,5,20250728,171000,427.09,428.45,427.09,427.995,966,0
CSL.US,5,20250728,171500,428.11,428.39,427.32,427.32,1090,0
CSL.US,5,20250728,172000,426.505,426.505,426.24,426.44,400,0
CSL.US,5,20250728,172500,425.715,426.73,425.715,426.61,1172,0
CSL.US,5,20250728,173000,426.53,427.36,426.53,427.36,1299,0
CSL.US,5,20250728,173500,427.54,428.51,427.53,427.84,1106,0
CSL.US,5,20250728,174000,427.46,427.8,427.46,427.51,500,0
CSL.US,5,20250728,174500,427.76,428.4426,427.76,428.4426,400,0
CSL.US,5,20250728,175000,427.84,428.33,427.84,428.19,700,0
CSL.US,5,20250728,175500,427.99,427.99,427.99,427.99,100,0
CSL.US,5,20250728,180000,427.98,428.29,427.98,428.025,331,0
CSL.US,5,20250728,180500,428.715,428.75,428.42,428.495,1234,0
CSL.US,5,20250728,181000,428.51,429.39,428.45,429.3,850,0
CSL.US,5,20250728,181500,429.295,429.295,429.295,429.295,448,0
CSL.US,5,20250728,182000,429.215,429.93,429.215,429.535,1577,0
CSL.US,5,20250728,182500,429.535,429.535,429.305,429.305,552,0
CSL.US,5,20250728,183000,429.28,429.28,429.225,429.225,2437,0
CSL.US,5,20250728,183500,429.225,429.28,428.995,428.995,884,0
CSL.US,5,20250728,184000,428.77,429.005,428.31,428.31,400,0
CSL.US,5,20250728,184500,428.11,428.11,427.575,427.925,500,0
CSL.US,5,20250728,185000,427.925,428.63,427.89,428.63,1740,0
CSL.US,5,20250728,185500,428.38,428.38,428.18,428.18,200,0
CSL.US,5,20250728,190000,428.45,428.63,428.025,428.025,3349,0
CSL.US,5,20250728,190500,428.425,428.425,427.985,427.985,228,0
CSL.US,5,20250728,191000,427.3,427.3,427.3,427.3,100,0
CSL.US,5,20250728,191500,427.045,427.045,427.045,427.045,100,0
CSL.US,5,20250728,192000,426.26,426.935,425.88,426.01,900,0
CSL.US,5,20250728,192500,426.03,426.4,425.865,425.865,900,0
CSL.US,5,20250728,193000,425.975,425.975,425.65,425.65,200,0
CSL.US,5,20250728,193500,425.91,425.91,425.59,425.795,1782,0
CSL.US,5,20250728,194000,425.88,425.88,425.23,425.73,1201,0
CSL.US,5,20250728,194500,426.06,426.25,425.52,425.52,1100,0
CSL.US,5,20250728,195000,426.52,426.875,426.51,426.655,6032,0
CSL.US,5,20250728,195500,426.25,426.25,424.23,425.02,3099,0
CSL.US,5,20250728,200000,424.075,424.33,424.075,424.33,200,0
CSL.US,5,20250728,200500,424.07,424.92,423.8,424.92,2173,0
