<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBI.US,5,20250728,153000,3.35,3.35,3.315,3.3179,1600,0
DBI.US,5,20250728,153500,3.31,3.31,3.28,3.28,21199,0
DBI.US,5,20250728,154000,3.27,3.28,3.26,3.2716,14842,0
DBI.US,5,20250728,154500,3.275,3.29,3.275,3.28,2840,0
DBI.US,5,20250728,155000,3.2606,3.2612,3.2606,3.2612,902,0
DBI.US,5,20250728,155500,3.26,3.26,3.23,3.25,19454,0
DBI.US,5,20250728,160000,3.255,3.28,3.255,3.275,8762,0
DBI.US,5,20250728,160500,3.28,3.31,3.275,3.301,4655,0
DBI.US,5,20250728,161000,3.3,3.305,3.3,3.3008,591,0
DBI.US,5,20250728,161500,3.3,3.3,3.295,3.3,951,0
DBI.US,5,20250728,162000,3.31,3.315,3.305,3.31,2285,0
DBI.US,5,20250728,162500,3.3,3.31,3.295,3.3,1600,0
DBI.US,5,20250728,163000,3.31,3.31,3.3,3.3,500,0
DBI.US,5,20250728,163500,3.295,3.295,3.29,3.29,500,0
DBI.US,5,20250728,164500,3.29,3.29,3.285,3.29,2680,0
DBI.US,5,20250728,165000,3.295,3.3,3.285,3.3,13776,0
DBI.US,5,20250728,170000,3.31,3.315,3.31,3.315,1777,0
DBI.US,5,20250728,170500,3.315,3.315,3.315,3.315,318,0
DBI.US,5,20250728,171000,3.315,3.32,3.315,3.32,200,0
DBI.US,5,20250728,171500,3.315,3.315,3.31,3.31,1568,0
DBI.US,5,20250728,172000,3.305,3.31,3.305,3.31,2754,0
DBI.US,5,20250728,172500,3.3,3.3,3.2806,3.2963,12328,0
DBI.US,5,20250728,173000,3.295,3.31,3.295,3.31,6273,0
DBI.US,5,20250728,173500,3.31,3.31,3.3,3.3,1803,0
DBI.US,5,20250728,174000,3.3,3.305,3.3,3.305,1225,0
DBI.US,5,20250728,174500,3.3099,3.32,3.3099,3.3148,12600,0
DBI.US,5,20250728,175000,3.3129,3.315,3.3129,3.315,1450,0
DBI.US,5,20250728,175500,3.315,3.325,3.315,3.325,3930,0
DBI.US,5,20250728,180000,3.325,3.335,3.32,3.335,2694,0
DBI.US,5,20250728,180500,3.335,3.36,3.3312,3.355,8060,0
DBI.US,5,20250728,181000,3.355,3.355,3.355,3.355,700,0
DBI.US,5,20250728,181500,3.355,3.36,3.355,3.36,7600,0
DBI.US,5,20250728,182000,3.355,3.36,3.345,3.345,14022,0
DBI.US,5,20250728,182500,3.345,3.35,3.345,3.35,300,0
DBI.US,5,20250728,183000,3.35,3.37,3.3499,3.365,15457,0
DBI.US,5,20250728,183500,3.365,3.38,3.365,3.38,6422,0
DBI.US,5,20250728,184000,3.375,3.38,3.365,3.38,12931,0
DBI.US,5,20250728,184500,3.3709,3.375,3.37,3.375,5480,0
DBI.US,5,20250728,185000,3.375,3.375,3.34,3.36,25487,0
DBI.US,5,20250728,185500,3.37,3.37,3.37,3.37,300,0
DBI.US,5,20250728,190000,3.365,3.37,3.365,3.365,500,0
DBI.US,5,20250728,190500,3.36,3.36,3.35,3.35,7699,0
DBI.US,5,20250728,191000,3.355,3.365,3.3535,3.365,15830,0
DBI.US,5,20250728,191500,3.36,3.36,3.345,3.345,4437,0
DBI.US,5,20250728,192000,3.34,3.35,3.34,3.345,20129,0
DBI.US,5,20250728,192500,3.345,3.345,3.345,3.345,4930,0
DBI.US,5,20250728,193000,3.34,3.345,3.335,3.345,2994,0
DBI.US,5,20250728,193500,3.345,3.345,3.345,3.345,2300,0
DBI.US,5,20250728,194000,3.345,3.3499,3.345,3.3499,8100,0
DBI.US,5,20250728,194500,3.35,3.36,3.35,3.355,1100,0
DBI.US,5,20250728,195000,3.35,3.355,3.35,3.355,200,0
DBI.US,5,20250728,195500,3.36,3.36,3.355,3.355,400,0
DBI.US,5,20250728,200000,3.36,3.36,3.355,3.355,2871,0
DBI.US,5,20250728,200500,3.36,3.36,3.35,3.36,4893,0
DBI.US,5,20250728,201000,3.365,3.375,3.365,3.365,2695,0
DBI.US,5,20250728,201500,3.37,3.37,3.37,3.37,565,0
DBI.US,5,20250728,202000,3.37,3.37,3.37,3.37,100,0
DBI.US,5,20250728,202500,3.375,3.375,3.375,3.375,300,0
DBI.US,5,20250728,203000,3.375,3.38,3.375,3.38,402,0
DBI.US,5,20250728,203500,3.375,3.375,3.375,3.375,600,0
DBI.US,5,20250728,204000,3.38,3.38,3.375,3.375,6869,0
DBI.US,5,20250728,204500,3.375,3.38,3.375,3.375,1400,0
DBI.US,5,20250728,205000,3.38,3.4,3.375,3.385,8403,0
DBI.US,5,20250728,210000,3.385,3.39,3.38,3.385,7800,0
DBI.US,5,20250728,210500,3.385,3.39,3.38,3.385,15800,0
DBI.US,5,20250728,211000,3.385,3.385,3.38,3.38,7118,0
