<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECU.US,5,20250728,154500,25.95,25.95,25.95,25.95,159,0
DECU.US,5,20250728,163000,25.98,25.98,25.98,25.98,2072,0
DECU.US,5,20250728,163500,25.9674,25.9967,25.965,25.965,2213,0
DECU.US,5,20250728,164000,25.9657,25.9674,25.9657,25.9674,909,0
DECU.US,5,20250728,175000,25.9,25.9,25.9,25.9,1000,0
DECU.US,5,20250728,182000,25.9345,25.945,25.9226,25.945,1655,0
DECU.US,5,20250728,194500,25.9438,25.9438,25.91,25.91,571,0
DECU.US,5,20250728,200500,25.91,25.91,25.91,25.91,100,0
DECU.US,5,20250728,203000,25.9074,25.91,25.905,25.91,3679,0
DECU.US,5,20250728,210000,25.9219,25.9219,25.9219,25.9219,123,0
DECU.US,5,20250728,213000,25.94,25.94,25.94,25.94,191,0
DECU.US,5,20250728,215000,25.8801,25.9172,25.8801,25.91,1597,0
DECU.US,5,20250729,161500,25.9201,25.9201,25.9201,25.9201,101,0
DECU.US,5,20250729,163000,25.97,25.97,25.97,25.97,2450,0
DECU.US,5,20250729,163500,25.9628,25.9628,25.96,25.96,3254,0
DECU.US,5,20250729,165000,25.92,25.92,25.92,25.92,300,0
DECU.US,5,20250729,170500,25.92,25.92,25.92,25.92,100,0
DECU.US,5,20250729,172000,25.9236,25.9236,25.9236,25.9236,323,0
DECU.US,5,20250729,172500,25.87,25.87,25.87,25.87,200,0
DECU.US,5,20250729,180000,25.8707,25.905,25.8707,25.905,1202,0
DECU.US,5,20250729,181000,25.87,25.87,25.87,25.87,200,0
DECU.US,5,20250729,200500,25.88,25.9193,25.8731,25.9193,4607,0
DECU.US,5,20250729,212000,25.87,25.87,25.87,25.87,10000,0
DECU.US,5,20250729,215000,25.89,25.91,25.86,25.8798,2546,0
DECU.US,5,20250729,215500,25.8957,25.8957,25.8957,25.8957,271,0
DECU.US,5,20250730,160000,25.8689,25.8689,25.8689,25.8689,147,0
DECU.US,5,20250730,160500,25.87,25.87,25.87,25.87,100,0
DECU.US,5,20250730,161500,25.88,25.9384,25.88,25.8872,5839,0
DECU.US,5,20250730,174500,25.92,25.929,25.86,25.9174,2074,0
DECU.US,5,20250730,180000,25.8733,25.8733,25.8733,25.8733,2300,0
DECU.US,5,20250730,181500,25.89,25.89,25.89,25.89,100,0
DECU.US,5,20250730,191000,25.95,25.95,25.94,25.94,4132,0
DECU.US,5,20250730,201000,25.94,25.94,25.94,25.94,3025,0
DECU.US,5,20250730,201500,25.922,25.95,25.922,25.95,2893,0
DECU.US,5,20250730,202000,25.9,25.9,25.9,25.9,100,0
DECU.US,5,20250730,204000,25.89,25.89,25.89,25.89,200,0
DECU.US,5,20250730,205500,25.82,25.82,25.82,25.82,100,0
DECU.US,5,20250730,210000,25.8,25.8,25.8,25.8,100,0
DECU.US,5,20250730,210500,25.82,25.83,25.82,25.82,746,0
DECU.US,5,20250730,211000,25.78,25.79,25.78,25.79,266,0
