<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEXC.US,5,20250728,162000,54.47,54.47,54.47,54.47,100,0
DEXC.US,5,20250728,170500,54.4959,54.4959,54.4959,54.4959,101,0
DEXC.US,5,20250728,173500,54.51,54.51,54.51,54.51,1525,0
DEXC.US,5,20250728,174500,54.5102,54.5102,54.5102,54.5102,883,0
DEXC.US,5,20250728,180000,54.5,54.54,54.5,54.505,4462,0
DEXC.US,5,20250728,182500,54.5169,54.5169,54.5169,54.5169,206,0
DEXC.US,5,20250728,183000,54.505,54.505,54.505,54.505,825,0
DEXC.US,5,20250728,190500,54.47,54.47,54.47,54.47,300,0
DEXC.US,5,20250728,191500,54.43,54.43,54.43,54.43,100,0
DEXC.US,5,20250728,192000,54.47,54.47,54.47,54.47,100,0
DEXC.US,5,20250728,200000,54.3863,54.42,54.3863,54.42,1251,0
DEXC.US,5,20250728,215000,54.4592,54.4592,54.4592,54.4592,303,0
DEXC.US,5,20250729,154500,54.6,54.6,54.6,54.6,100,0
DEXC.US,5,20250729,164000,54.6602,54.6602,54.6602,54.6602,347,0
DEXC.US,5,20250729,170500,54.6096,54.6096,54.6096,54.6096,100,0
DEXC.US,5,20250729,174000,54.52,54.52,54.52,54.52,100,0
DEXC.US,5,20250729,175500,54.5769,54.5769,54.5769,54.5769,325,0
DEXC.US,5,20250729,182500,54.6247,54.6247,54.6247,54.6247,149,0
DEXC.US,5,20250729,192500,54.65,54.68,54.65,54.6799,2320,0
DEXC.US,5,20250729,193500,54.62,54.62,54.61,54.61,500,0
DEXC.US,5,20250729,200500,54.625,54.64,54.625,54.64,2953,0
DEXC.US,5,20250729,201500,54.65,54.66,54.65,54.66,1386,0
DEXC.US,5,20250729,204500,54.67,54.67,54.67,54.67,184,0
DEXC.US,5,20250729,205000,54.69,54.69,54.69,54.69,100,0
DEXC.US,5,20250729,214000,54.645,54.645,54.645,54.645,100,0
DEXC.US,5,20250729,215500,54.7041,54.7041,54.7041,54.7041,229,0
DEXC.US,5,20250730,160000,54.5,54.5,54.5,54.5,100,0
