<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DX.US,5,20250728,153000,12.755,12.78,12.7321,12.75,135284,0
DX.US,5,20250728,153500,12.755,12.779,12.75,12.75,25595,0
DX.US,5,20250728,154000,12.75,12.75,12.68,12.6865,41087,0
DX.US,5,20250728,154500,12.6885,12.6977,12.67,12.69,52844,0
DX.US,5,20250728,155000,12.6813,12.695,12.68,12.6902,13520,0
DX.US,5,20250728,155500,12.69,12.6999,12.68,12.685,26316,0
DX.US,5,20250728,160000,12.69,12.7063,12.675,12.68,39213,0
DX.US,5,20250728,160500,12.675,12.6999,12.67,12.675,12820,0
DX.US,5,20250728,161000,12.6767,12.71,12.675,12.71,20332,0
DX.US,5,20250728,161500,12.705,12.71,12.7,12.71,14997,0
DX.US,5,20250728,162000,12.705,12.71,12.7,12.705,6270,0
DX.US,5,20250728,162500,12.7047,12.715,12.7,12.715,5516,0
DX.US,5,20250728,163000,12.715,12.7361,12.715,12.7286,24114,0
DX.US,5,20250728,163500,12.72,12.72,12.71,12.715,11977,0
DX.US,5,20250728,164000,12.715,12.72,12.71,12.72,21639,0
DX.US,5,20250728,164500,12.7188,12.7188,12.71,12.715,13262,0
DX.US,5,20250728,165000,12.715,12.7199,12.7,12.7,2856,0
DX.US,5,20250728,165500,12.71,12.73,12.705,12.725,38263,0
DX.US,5,20250728,170000,12.72,12.75,12.72,12.745,21388,0
DX.US,5,20250728,170500,12.745,12.7465,12.715,12.715,20104,0
DX.US,5,20250728,171000,12.715,12.7153,12.71,12.715,3584,0
DX.US,5,20250728,171500,12.715,12.735,12.7142,12.715,38129,0
DX.US,5,20250728,172000,12.718454,12.718454,12.7,12.7019,10034,0
DX.US,5,20250728,172500,12.705,12.705,12.68,12.705,28623,0
DX.US,5,20250728,173000,12.7015,12.7015,12.69,12.695,16168,0
DX.US,5,20250728,173500,12.695,12.6988,12.67,12.67,30787,0
DX.US,5,20250728,174000,12.6621,12.67,12.66,12.66,19645,0
DX.US,5,20250728,174500,12.66,12.6852,12.66,12.685,25021,0
DX.US,5,20250728,175000,12.6816,12.685,12.675,12.68,5873,0
DX.US,5,20250728,175500,12.68,12.705,12.68,12.7,14392,0
DX.US,5,20250728,180000,12.695,12.71,12.69,12.695,30007,0
DX.US,5,20250728,180500,12.695,12.7,12.69,12.695,2939,0
DX.US,5,20250728,181000,12.695,12.6999,12.69,12.695,13484,0
DX.US,5,20250728,181500,12.695,12.71,12.6837,12.7,108177,0
