<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECVT.US,5,20250728,153000,9.015,9.0591,8.93,8.93,11189,0
ECVT.US,5,20250728,153500,8.9316,8.9316,8.885,8.91,2946,0
ECVT.US,5,20250728,154000,8.89,8.9,8.87,8.885,2342,0
ECVT.US,5,20250728,154500,8.885,8.9,8.85,8.855,4032,0
ECVT.US,5,20250728,155000,8.855,8.87,8.83,8.855,7967,0
ECVT.US,5,20250728,155500,8.85,8.85,8.805,8.825,4650,0
ECVT.US,5,20250728,160000,8.83,8.855,8.825,8.85,11693,0
ECVT.US,5,20250728,160500,8.85,8.86,8.8,8.8,9303,0
ECVT.US,5,20250728,161000,8.8,8.81,8.79,8.81,3308,0
ECVT.US,5,20250728,161500,8.805,8.86,8.795,8.86,27747,0
ECVT.US,5,20250728,162000,8.86,8.87,8.82,8.825,20562,0
ECVT.US,5,20250728,162500,8.82,8.84,8.795,8.81,26294,0
ECVT.US,5,20250728,163000,8.805,8.82,8.795,8.805,10308,0
ECVT.US,5,20250728,163500,8.805,8.83,8.805,8.805,9298,0
ECVT.US,5,20250728,164000,8.805,8.82,8.805,8.815,2500,0
ECVT.US,5,20250728,164500,8.82,8.82,8.8108,8.82,1312,0
ECVT.US,5,20250728,165000,8.815,8.83,8.815,8.82,5108,0
ECVT.US,5,20250728,165500,8.815,8.83,8.805,8.825,9539,0
ECVT.US,5,20250728,170000,8.83,8.84,8.815,8.83,5630,0
ECVT.US,5,20250728,170500,8.84,8.85,8.835,8.84,5176,0
ECVT.US,5,20250728,171000,8.835,8.85,8.835,8.845,4532,0
ECVT.US,5,20250728,171500,8.845,8.855,8.835,8.835,9840,0
ECVT.US,5,20250728,172000,8.835,8.85,8.825,8.825,9751,0
ECVT.US,5,20250728,172500,8.82,8.84,8.815,8.84,11066,0
ECVT.US,5,20250728,173000,8.845,8.86,8.845,8.86,4958,0
ECVT.US,5,20250728,173500,8.855,8.87,8.855,8.865,3491,0
ECVT.US,5,20250728,174000,8.865,8.865,8.855,8.86,8867,0
ECVT.US,5,20250728,174500,8.86,8.88,8.855,8.88,7228,0
ECVT.US,5,20250728,175000,8.88,8.88,8.87,8.88,2804,0
ECVT.US,5,20250728,175500,8.88,8.89,8.875,8.885,3516,0
ECVT.US,5,20250728,180000,8.89,8.925,8.885,8.915,81556,0
ECVT.US,5,20250728,180500,8.92,8.95,8.92,8.95,5072,0
ECVT.US,5,20250728,181000,8.9435,8.95,8.935,8.95,7804,0
ECVT.US,5,20250728,181500,8.95,8.95,8.94,8.945,8030,0
ECVT.US,5,20250728,182000,8.945,8.97,8.935,8.965,20965,0
ECVT.US,5,20250728,182500,8.965,8.97,8.945,8.95,16495,0
ECVT.US,5,20250728,183000,8.945,8.96,8.945,8.955,11426,0
ECVT.US,5,20250728,183500,8.955,8.955,8.94,8.94,6405,0
ECVT.US,5,20250728,184000,8.935,8.935,8.925,8.93,6103,0
ECVT.US,5,20250728,184500,8.925,8.93,8.915,8.92,3769,0
ECVT.US,5,20250728,185000,8.92,8.92,8.91,8.91,4905,0
ECVT.US,5,20250728,185500,8.915,8.935,8.9,8.935,24606,0
ECVT.US,5,20250728,190000,8.935,8.945,8.92,8.92,17397,0
ECVT.US,5,20250728,190500,8.92,8.92,8.9,8.905,5811,0
ECVT.US,5,20250728,191000,8.9,8.91,8.9,8.905,5800,0
ECVT.US,5,20250728,191500,8.905,8.91,8.9,8.905,4250,0
ECVT.US,5,20250728,192000,8.905,8.905,8.89,8.89,28953,0
ECVT.US,5,20250728,192500,8.885,8.885,8.86,8.86,6064,0
ECVT.US,5,20250728,193000,8.865,8.885,8.865,8.885,7014,0
ECVT.US,5,20250728,193500,8.88,8.885,8.865,8.865,5415,0
ECVT.US,5,20250728,194000,8.87,8.87,8.855,8.865,5386,0
ECVT.US,5,20250728,194500,8.865,8.87,8.86,8.865,1219,0
ECVT.US,5,20250728,195000,8.865,8.865,8.855,8.855,4092,0
ECVT.US,5,20250728,195500,8.855,8.855,8.84,8.84,2315,0
ECVT.US,5,20250728,200000,8.84,8.84,8.825,8.83,4072,0
ECVT.US,5,20250728,200500,8.83,8.83,8.81,8.815,6624,0
ECVT.US,5,20250728,201000,8.815,8.82,8.815,8.82,6934,0
ECVT.US,5,20250728,201500,8.815,8.82,8.815,8.815,3875,0
ECVT.US,5,20250728,202000,8.815,8.835,8.815,8.82,17749,0
ECVT.US,5,20250728,202500,8.82,8.83,8.82,8.825,10647,0
ECVT.US,5,20250728,203000,8.825,8.83,8.825,8.825,4437,0
ECVT.US,5,20250728,203500,8.82,8.825,8.815,8.815,13896,0
ECVT.US,5,20250728,204000,8.82,8.835,8.81,8.835,22644,0
ECVT.US,5,20250728,204500,8.83,8.835,8.83,8.835,3200,0
ECVT.US,5,20250728,205000,8.84,8.84,8.835,8.835,6390,0
ECVT.US,5,20250728,205500,8.835,8.84,8.825,8.825,8043,0
ECVT.US,5,20250728,210000,8.83,8.835,8.83,8.835,5194,0
ECVT.US,5,20250728,210500,8.835,8.835,8.825,8.825,7166,0
ECVT.US,5,20250728,211000,8.825,8.83,8.82,8.825,1225,0
