<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELF.US,5,20250728,153000,120.91,121.5,119.735,119.735,7221,0
ELF.US,5,20250728,153500,119.735,120.435,119.735,120.08,5485,0
ELF.US,5,20250728,154000,119.905,120.992,119.9,120.6873,18031,0
ELF.US,5,20250728,154500,120.8923,120.8923,119.95,120.01,8846,0
ELF.US,5,20250728,155000,119.9,121.17,119.8,120.93,9304,0
ELF.US,5,20250728,155500,120.9204,121.735,120.7,121.595,13556,0
ELF.US,5,20250728,160000,121.73,122.47,121.66,122.1,23944,0
ELF.US,5,20250728,160500,122.28,122.655,122.07,122.335,8192,0
ELF.US,5,20250728,161000,122.36,122.6426,122.245,122.31,5271,0
ELF.US,5,20250728,161500,122.34,122.34,121.81,121.93,13066,0
ELF.US,5,20250728,162000,121.865,121.895,121.0286,121.205,12255,0
ELF.US,5,20250728,162500,121.03,121.32,120.8808,121.32,11098,0
ELF.US,5,20250728,163000,121.275,121.81,121.15,121.57,4707,0
ELF.US,5,20250728,163500,121.5801,121.92,121.05,121.16,14035,0
ELF.US,5,20250728,164000,121.26,121.59,121.16,121.24,8256,0
ELF.US,5,20250728,164500,121.19,121.36,121.0016,121.17,3038,0
ELF.US,5,20250728,165000,121.3,121.76,121.16,121.345,4425,0
ELF.US,5,20250728,165500,121.17,121.52,121.14,121.495,1906,0
ELF.US,5,20250728,170000,121.4888,121.63,121.34,121.41,4533,0
ELF.US,5,20250728,170500,121.41,121.565,121.4036,121.565,4261,0
ELF.US,5,20250728,171000,121.63,121.65,121.13,121.595,9533,0
ELF.US,5,20250728,171500,121.7699,121.7699,121.43,121.57,2967,0
ELF.US,5,20250728,172000,121.35,121.52,121.35,121.465,1140,0
ELF.US,5,20250728,172500,121.38,121.465,121.26,121.33,4421,0
ELF.US,5,20250728,173000,121.33,121.36,121.2,121.26,2346,0
ELF.US,5,20250728,173500,121.265,121.38,121.22,121.22,3913,0
ELF.US,5,20250728,174000,121.245,121.31,121.23,121.29,1944,0
ELF.US,5,20250728,174500,121.31,121.59,121.31,121.465,6512,0
ELF.US,5,20250728,175000,121.45,121.56,121.42,121.49,1380,0
ELF.US,5,20250728,175500,121.58,121.81,121.49,121.8099,7039,0
ELF.US,5,20250728,180000,121.81,121.89,121.62,121.765,3303,0
ELF.US,5,20250728,180500,121.7,122.17,121.7,121.86,16456,0
ELF.US,5,20250728,181000,121.86,122.2099,121.85,121.995,7790,0
ELF.US,5,20250728,181500,121.9389,122.1,121.88,122.08,5543,0
