<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDS.US,5,20250728,153000,418.015,418.015,417.935,417.935,400,0
FDS.US,5,20250728,153500,417.15,418.78,417.15,418.78,400,0
FDS.US,5,20250728,154000,418.449,418.449,418.449,418.449,210,0
FDS.US,5,20250728,154500,417.51,417.51,417.51,417.51,100,0
FDS.US,5,20250728,155000,417.65,418.57,417.65,418.57,300,0
FDS.US,5,20250728,160000,418.15,418.81,418.15,418.81,200,0
FDS.US,5,20250728,160500,419.045,419.045,419.045,419.045,100,0
FDS.US,5,20250728,161500,418.42,418.42,418.42,418.42,100,0
FDS.US,5,20250728,162000,418.995,418.995,418.995,418.995,100,0
FDS.US,5,20250728,162500,418.09,419.215,418.09,419.215,1148,0
FDS.US,5,20250728,163000,418.19,418.2,418.19,418.19,510,0
FDS.US,5,20250728,163500,417.21,417.21,417.21,417.21,100,0
FDS.US,5,20250728,164000,418.77,418.91,418.56,418.56,400,0
FDS.US,5,20250728,164500,417.875,417.875,417.875,417.875,300,0
FDS.US,5,20250728,165000,417.69,417.69,417.69,417.69,100,0
FDS.US,5,20250728,170000,418.4,418.46,418.4,418.46,325,0
FDS.US,5,20250728,170500,418.145,418.42,418.145,418.42,700,0
FDS.US,5,20250728,171500,418.33,418.45,418.09,418.45,941,0
FDS.US,5,20250728,172000,418.535,418.535,418.535,418.535,100,0
FDS.US,5,20250728,172500,418.905,418.905,418.565,418.565,200,0
FDS.US,5,20250728,173000,418.67,418.795,418.4,418.76,725,0
FDS.US,5,20250728,173500,418.85,418.85,418.85,418.85,278,0
FDS.US,5,20250728,174000,418.87,418.87,418.035,418.035,714,0
FDS.US,5,20250728,174500,417.915,417.915,417.275,417.275,714,0
FDS.US,5,20250728,175000,417.5,417.92,417.5,417.855,1264,0
FDS.US,5,20250728,175500,418.255,418.255,418.255,418.255,100,0
FDS.US,5,20250728,180500,418.675,418.675,418.15,418.15,500,0
FDS.US,5,20250728,181000,418.26,418.29,418.12,418.15,1786,0
FDS.US,5,20250728,181500,418.29,418.29,418.18,418.18,200,0
FDS.US,5,20250728,182500,418.675,418.675,418.675,418.675,400,0
FDS.US,5,20250728,183000,418.12,418.13,417.77,417.78,1409,0
FDS.US,5,20250728,183500,417.685,417.94,417.5,417.5,1000,0
FDS.US,5,20250728,184000,417.7,418.09,417.7,417.95,500,0
FDS.US,5,20250728,184500,417.79,417.79,417.79,417.79,114,0
FDS.US,5,20250728,185000,417.25,417.25,417.24,417.24,375,0
FDS.US,5,20250728,185500,417.195,417.515,417.195,417.47,1271,0
FDS.US,5,20250728,190000,417.655,418.22,417.655,418.22,884,0
FDS.US,5,20250728,190500,418.385,418.385,418.385,418.385,100,0
FDS.US,5,20250728,191000,417.78,417.78,417.78,417.78,100,0
FDS.US,5,20250728,191500,417.58,417.58,417.58,417.58,100,0
FDS.US,5,20250728,192000,416.99,417.3875,416.7901,417.3875,1739,0
FDS.US,5,20250728,192500,416.74,416.74,416.74,416.74,114,0
FDS.US,5,20250728,193000,416.679,416.679,416.679,416.679,245,0
FDS.US,5,20250728,195500,416.01,416.51,415.52,416.51,2987,0
FDS.US,5,20250728,200000,416.5,416.6,416.5,416.6,1304,0
FDS.US,5,20250728,200500,416.8,416.93,416.47,416.52,1581,0
FDS.US,5,20250728,201500,416.255,416.255,416.255,416.255,328,0
FDS.US,5,20250728,202000,416.255,416.68,416.255,416.255,2107,0
FDS.US,5,20250728,202500,416.25,416.25,416.25,416.25,100,0
FDS.US,5,20250728,203000,416.275,416.275,416.275,416.275,100,0
FDS.US,5,20250728,204000,416.27,416.27,416.255,416.255,405,0
FDS.US,5,20250728,204500,416.01,416.05,415.765,415.765,5884,0
FDS.US,5,20250728,205000,415.9,415.9,415.83,415.83,200,0
FDS.US,5,20250728,205500,415.52,416.3807,415.52,416.3032,870,0
FDS.US,5,20250728,210000,415.37,415.59,415.01,415.01,1736,0
FDS.US,5,20250728,210500,415.43,415.43,415.38,415.38,201,0
FDS.US,5,20250728,211000,415.033,415.05,414.99,414.99,600,0
FDS.US,5,20250728,211500,414.985,415.27,414.985,415.18,1034,0
FDS.US,5,20250728,212000,415.07,415.07,415.07,415.07,100,0
FDS.US,5,20250728,212500,414.87,414.87,414.58,414.58,200,0
FDS.US,5,20250728,213000,414.51,414.51,414.51,414.51,200,0
FDS.US,5,20250728,213500,414.77,414.785,414.51,414.51,400,0
FDS.US,5,20250728,214000,414.78,414.78,414.745,414.745,300,0
FDS.US,5,20250728,214500,414.68,415.31,414.68,415.245,1153,0
FDS.US,5,20250728,215000,414.99,415.03,414.51,414.51,8098,0
FDS.US,5,20250728,215500,414.83,414.83,413.7,414.14,80349,0
FDS.US,5,20250729,153000,417.31,417.31,414.28,414.28,2063,0
FDS.US,5,20250729,153500,414.43,414.44,414.43,414.44,219,0
FDS.US,5,20250729,154000,413.745,413.91,413.745,413.83,702,0
FDS.US,5,20250729,154500,413.83,415.05,413.83,415.05,1084,0
FDS.US,5,20250729,155000,414.605,414.605,414.605,414.605,300,0
FDS.US,5,20250729,155500,414.8575,414.8575,414.145,414.145,300,0
FDS.US,5,20250729,160000,415.7,415.7,414.145,414.89,1300,0
