<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHN_E.US,5,20250728,160500,24.3501,24.3501,24.3501,24.3501,100,0
FHN_E.US,5,20250728,173500,24.37,24.37,24.37,24.37,301,0
FHN_E.US,5,20250728,191500,24.39,24.56,24.39,24.56,301,0
FHN_E.US,5,20250728,193500,24.45,24.45,24.45,24.45,100,0
FHN_E.US,5,20250728,210000,24.49,24.49,24.49,24.49,100,0
FHN_E.US,5,20250728,211000,24.55,24.55,24.55,24.55,200,0
FHN_E.US,5,20250728,212500,24.603,24.603,24.6,24.6,600,0
FHN_E.US,5,20250728,213000,24.5999,24.5999,24.5999,24.5999,270,0
FHN_E.US,5,20250728,214000,24.5548,24.5548,24.5548,24.5548,103,0
FHN_E.US,5,20250729,200500,24.6,24.6,24.6,24.6,200,0
FHN_E.US,5,20250729,201500,24.6,24.66,24.6,24.66,300,0
FHN_E.US,5,20250729,202000,24.6767,24.6767,24.6767,24.6767,1000,0
FHN_E.US,5,20250729,203000,24.6786,24.6786,24.6786,24.6786,300,0
FHN_E.US,5,20250729,215500,24.56,24.56,24.56,24.56,314,0
FHN_E.US,5,20250730,163500,24.625,24.625,24.625,24.625,300,0
FHN_E.US,5,20250730,164500,24.55,24.64,24.37,24.64,5909,0
FHN_E.US,5,20250730,165500,24.65,24.66,24.64,24.64,300,0
FHN_E.US,5,20250730,170500,24.65,24.65,24.65,24.65,200,0
FHN_E.US,5,20250730,172000,24.65,24.65,24.65,24.65,100,0
FHN_E.US,5,20250730,173500,24.6499,24.6499,24.6499,24.6499,300,0
FHN_E.US,5,20250730,174000,24.6423,24.6423,24.6423,24.6423,500,0
FHN_E.US,5,20250730,175000,24.65,24.65,24.65,24.65,100,0
FHN_E.US,5,20250730,181000,24.555,24.555,24.555,24.555,660,0
FHN_E.US,5,20250730,182000,24.63,24.63,24.63,24.63,100,0
FHN_E.US,5,20250730,210000,24.5422,24.5422,24.5422,24.5422,103,0
FHN_E.US,5,20250731,154500,24.64,24.69,24.64,24.69,734,0
FHN_E.US,5,20250731,155000,24.69,24.73,24.69,24.73,2800,0
FHN_E.US,5,20250731,155500,24.73,24.73,24.73,24.73,300,0
FHN_E.US,5,20250731,160000,24.73,24.8,24.73,24.8,3324,0
FHN_E.US,5,20250731,161500,24.8,24.8,24.8,24.8,477,0
FHN_E.US,5,20250731,163000,24.7001,24.8,24.7001,24.8,600,0
FHN_E.US,5,20250731,163500,24.8,24.8,24.8,24.8,295,0
FHN_E.US,5,20250731,164500,24.7999,24.7999,24.7999,24.7999,500,0
FHN_E.US,5,20250731,170000,24.8,24.8,24.8,24.8,100,0
FHN_E.US,5,20250731,170500,24.84,24.84,24.84,24.84,100,0
FHN_E.US,5,20250731,171500,24.84,24.84,24.84,24.84,200,0
FHN_E.US,5,20250731,173500,24.84,24.84,24.84,24.84,100,0
FHN_E.US,5,20250731,175000,24.84,24.85,24.84,24.85,415,0
FHN_E.US,5,20250731,181000,24.94,24.94,24.94,24.94,300,0
FHN_E.US,5,20250731,183500,24.94,24.94,24.94,24.94,100,0
