<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNT_A.US,5,20250728,160000,21.18,21.18,21.15,21.1501,490,0
GNT_A.US,5,20250729,193000,21.16,21.16,21.16,21.16,100,0
GNT_A.US,5,20250730,170500,21.365,21.365,21.365,21.365,100,0
GNT_A.US,5,20250731,164000,21.23,21.23,21.23,21.23,100,0
GNT_A.US,5,20250731,164500,21.2,21.2,21.2,21.2,200,0
GNT_A.US,5,20250731,185500,21.2,21.2,21.2,21.2,300,0
GNT_A.US,5,20250731,192000,21.29,21.29,21.29,21.29,400,0
GNT_A.US,5,20250731,205500,21.3,21.3,21.3,21.3,202,0
GNT_A.US,5,20250801,210500,21.28,21.28,21.28,21.28,100,0
GNT_A.US,5,20250804,161000,21.23,21.23,21.23,21.23,300,0
GNT_A.US,5,20250804,172500,21.24,21.24,21.2,21.2,1485,0
GNT_A.US,5,20250804,202500,21.3,21.3,21.275,21.3,700,0
GNT_A.US,5,20250805,185500,21.24,21.2401,21.24,21.2401,200,0
GNT_A.US,5,20250805,200000,21.23,21.23,21.23,21.23,100,0
GNT_A.US,5,20250806,164500,21.37,21.37,21.37,21.37,189,0
GNT_A.US,5,20250806,195500,21.18,21.18,21.18,21.18,800,0
GNT_A.US,5,20250807,215500,21.3,21.3,21.3,21.3,100,0
GNT_A.US,5,20250808,195500,21.3,21.35,21.3,21.35,325,0
GNT_A.US,5,20250812,185500,21.2,21.2,21.18,21.18,916,0
GNT_A.US,5,20250812,190500,21.38,21.38,21.38,21.38,100,0
GNT_A.US,5,20250812,200000,21.38,21.38,21.38,21.38,100,0
GNT_A.US,5,20250812,215500,21.23,21.23,21.23,21.23,100,0
GNT_A.US,5,20250813,161000,21.415,21.415,21.415,21.415,100,0
GNT_A.US,5,20250813,175500,21.4999,21.4999,21.4999,21.4999,100,0
GNT_A.US,5,20250813,210500,21.4992,21.52,21.4992,21.52,300,0
GNT_A.US,5,20250814,191500,21.35,21.35,21.35,21.35,176,0
GNT_A.US,5,20250814,201500,21.4,21.4,21.4,21.4,200,0
GNT_A.US,5,20250814,215000,21.425,21.48,21.425,21.48,200,0
GNT_A.US,5,20250815,170500,21.35,21.35,21.19,21.2,974,0
GNT_A.US,5,20250815,181500,21.3077,21.3077,21.3077,21.3077,200,0
GNT_A.US,5,20250815,214500,21.31,21.31,21.31,21.31,100,0
GNT_A.US,5,20250815,215500,21.36,21.36,21.36,21.36,100,0
GNT_A.US,5,20250818,161500,21.502,21.502,21.502,21.502,150,0
GNT_A.US,5,20250818,175500,21.3185,21.3185,21.3185,21.3185,250,0
GNT_A.US,5,20250818,184000,21.25,21.3707,21.24,21.3707,1049,0
GNT_A.US,5,20250819,185000,21.34,21.35,21.34,21.34,900,0
GNT_A.US,5,20250819,185500,21.34,21.35,21.34,21.35,500,0
GNT_A.US,5,20250819,203500,21.352,21.352,21.26,21.2619,1390,0
GNT_A.US,5,20250819,211500,21.41,21.41,21.23,21.41,2692,0
GNT_A.US,5,20250819,214500,21.25,21.3779,21.23,21.3779,1490,0
GNT_A.US,5,20250819,215500,21.25,21.25,21.25,21.25,100,0
GNT_A.US,5,20250820,193000,21.4699,21.4699,21.4699,21.4699,600,0
GNT_A.US,5,20250820,211500,21.28,21.2924,21.24,21.2924,2363,0
GNT_A.US,5,20250821,171500,21.28,21.28,21.28,21.28,100,0
GNT_A.US,5,20250821,210500,21.3604,21.3604,21.3604,21.3604,100,0
GNT_A.US,5,20250822,174000,21.39,21.39,21.39,21.39,150,0
GNT_A.US,5,20250822,211000,21.4621,21.4621,21.4621,21.4621,300,0
GNT_A.US,5,20250827,170500,21.46,21.46,21.46,21.46,424,0
GNT_A.US,5,20250827,195000,21.51,21.51,21.51,21.51,349,0
GNT_A.US,5,20250827,195500,21.4676,21.4676,21.4676,21.4676,424,0
GNT_A.US,5,20250827,200500,21.4668,21.4668,21.4668,21.4668,164,0
GNT_A.US,5,20250828,215500,21.465,21.465,21.465,21.465,418,0
GNT_A.US,5,20250902,184000,21.47,21.47,21.47,21.47,500,0
GNT_A.US,5,20250902,202500,21.5299,21.5299,21.5299,21.5299,100,0
GNT_A.US,5,20250902,212500,21.35,21.4,21.245,21.4,2286,0
GNT_A.US,5,20250902,215500,21.3,21.3,21.3,21.3,100,0
GNT_A.US,5,20250903,200500,21.34,21.34,21.34,21.34,100,0
GNT_A.US,5,20250904,185000,21.5608,21.5608,21.5608,21.5608,657,0
GNT_A.US,5,20250904,193500,21.5031,21.5031,21.5031,21.5031,600,0
GNT_A.US,5,20250904,214000,21.5,21.5,21.5,21.5,500,0
GNT_A.US,5,20250905,160000,21.46,21.46,21.46,21.46,100,0
GNT_A.US,5,20250905,174500,21.5,21.5,21.5,21.5,300,0
GNT_A.US,5,20250905,185500,21.5,21.5,21.5,21.5,250,0
GNT_A.US,5,20250905,202500,21.49,21.59,21.49,21.59,205,0
GNT_A.US,5,20250905,214000,21.5891,21.5891,21.5891,21.5891,200,0
GNT_A.US,5,20250908,153500,21.69,21.7,21.68,21.7,1100,0
GNT_A.US,5,20250908,154000,21.82,21.852,21.82,21.852,200,0
GNT_A.US,5,20250908,160000,21.6585,21.6585,21.6585,21.6585,950,0
GNT_A.US,5,20250908,180500,21.76,21.76,21.76,21.76,400,0
GNT_A.US,5,20250908,195000,21.79,21.79,21.79,21.79,300,0
GNT_A.US,5,20250908,195500,21.79,21.79,21.79,21.79,200,0
GNT_A.US,5,20250908,212000,21.8946,21.8946,21.8946,21.8946,113,0
GNT_A.US,5,20250908,215500,21.8519,21.8519,21.8519,21.8519,175,0
GNT_A.US,5,20250909,163500,21.82,21.82,21.82,21.82,100,0
GNT_A.US,5,20250910,215000,21.82,21.82,21.82,21.82,700,0
GNT_A.US,5,20250911,154500,21.95,22.02,21.95,22.02,1500,0
GNT_A.US,5,20250911,171500,22.025,22.025,22.025,22.025,100,0
GNT_A.US,5,20250911,194000,22.14,22.14,22.14,22.14,100,0
GNT_A.US,5,20250911,195000,22.078,22.14,22.078,22.14,200,0
GNT_A.US,5,20250911,205000,22.05,22.0525,22.01,22.0408,1450,0
GNT_A.US,5,20250911,210500,22.02,22.02,22,22,300,0
GNT_A.US,5,20250911,212500,22.03,22.03,22.03,22.03,100,0
GNT_A.US,5,20250911,213000,22.03,22.03,22.03,22.03,200,0
GNT_A.US,5,20250912,191000,21.84,21.86,21.84,21.86,200,0
GNT_A.US,5,20250912,193000,21.83,21.83,21.83,21.83,100,0
