<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPJA.US,5,20250728,154500,21.455,21.4823,21.455,21.4823,323,0
GPJA.US,5,20250728,155500,21.4373,21.4373,21.4373,21.4373,1122,0
GPJA.US,5,20250728,160000,21.4233,21.4233,21.4233,21.4233,500,0
GPJA.US,5,20250728,160500,21.43,21.445,21.42,21.445,1776,0
GPJA.US,5,20250728,161500,21.47,21.47,21.44,21.44,1622,0
GPJA.US,5,20250728,163000,21.47,21.55,21.47,21.55,1957,0
GPJA.US,5,20250728,165000,21.47,21.47,21.47,21.47,1059,0
GPJA.US,5,20250728,165500,21.52,21.52,21.52,21.52,403,0
GPJA.US,5,20250728,170000,21.51,21.51,21.51,21.51,110,0
GPJA.US,5,20250728,171000,21.42,21.42,21.42,21.42,100,0
GPJA.US,5,20250728,181000,21.5,21.5001,21.5,21.5001,1700,0
GPJA.US,5,20250728,183000,21.516,21.516,21.516,21.516,1119,0
GPJA.US,5,20250728,184000,21.5269,21.5269,21.5269,21.5269,400,0
GPJA.US,5,20250728,185000,21.53,21.53,21.53,21.53,158,0
GPJA.US,5,20250728,191000,21.55,21.55,21.55,21.55,100,0
GPJA.US,5,20250728,192000,21.54,21.54,21.54,21.54,379,0
GPJA.US,5,20250728,192500,21.54,21.54,21.54,21.54,200,0
GPJA.US,5,20250728,194500,21.52,21.65,21.52,21.5389,4915,0
GPJA.US,5,20250728,200000,21.55,21.55,21.55,21.55,100,0
GPJA.US,5,20250728,202000,21.55,21.55,21.55,21.55,150,0
GPJA.US,5,20250728,204000,21.54,21.54,21.54,21.54,100,0
GPJA.US,5,20250728,210500,21.51,21.59,21.4829,21.529,3732,0
GPJA.US,5,20250728,213000,21.58,21.58,21.58,21.58,100,0
GPJA.US,5,20250728,214000,21.58,21.58,21.58,21.58,100,0
GPJA.US,5,20250728,215500,21.62,21.62,21.62,21.62,800,0
GPJA.US,5,20250729,153000,21.6047,21.6047,21.6047,21.6047,600,0
GPJA.US,5,20250729,155000,21.58,21.62,21.57,21.62,1674,0
GPJA.US,5,20250729,155500,21.5826,21.5826,21.5826,21.5826,5171,0
GPJA.US,5,20250729,160000,21.5801,21.5801,21.5801,21.5801,159,0
GPJA.US,5,20250729,161500,21.595,21.595,21.595,21.595,3176,0
GPJA.US,5,20250729,162500,21.6337,21.6337,21.6337,21.6337,231,0
GPJA.US,5,20250729,164500,21.62,21.62,21.62,21.62,119,0
GPJA.US,5,20250729,165000,21.61,21.61,21.59,21.59,500,0
GPJA.US,5,20250729,171000,21.6,21.7,21.59,21.7,2926,0
GPJA.US,5,20250729,171500,21.69,21.74,21.69,21.74,2300,0
GPJA.US,5,20250729,172000,21.66,21.66,21.66,21.66,157,0
GPJA.US,5,20250729,173500,21.68,21.68,21.68,21.68,100,0
GPJA.US,5,20250729,175000,21.72,21.73,21.72,21.73,450,0
GPJA.US,5,20250729,175500,21.64,21.64,21.64,21.64,100,0
GPJA.US,5,20250729,181000,21.66,21.66,21.65,21.65,351,0
GPJA.US,5,20250729,191000,21.73,21.73,21.7001,21.7001,558,0
GPJA.US,5,20250729,191500,21.75,21.75,21.75,21.75,400,0
GPJA.US,5,20250729,193500,21.75,21.75,21.75,21.75,100,0
GPJA.US,5,20250729,194500,21.745,21.745,21.745,21.745,100,0
GPJA.US,5,20250729,195000,21.775,21.775,21.74,21.74,200,0
GPJA.US,5,20250729,200500,21.78,21.78,21.78,21.78,100,0
GPJA.US,5,20250729,204500,21.78,21.78,21.75,21.75,200,0
