<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GWRE.US,5,20250728,153000,224.1,224.1,222.145,222.96,3250,0
GWRE.US,5,20250728,153500,223.1,223.99,223,223.935,2045,0
GWRE.US,5,20250728,154000,223.765,223.765,223.765,223.765,100,0
GWRE.US,5,20250728,154500,224.46,224.795,224.28,224.52,2639,0
GWRE.US,5,20250728,155000,224.805,225.58,224.805,225.58,314,0
GWRE.US,5,20250728,155500,225.58,226.36,225.28,225.28,2255,0
GWRE.US,5,20250728,160000,225.39,225.39,225.39,225.39,915,0
GWRE.US,5,20250728,160500,225.39,226.1999,225.39,225.56,4085,0
GWRE.US,5,20250728,161000,225.385,225.385,224.615,224.615,700,0
GWRE.US,5,20250728,161500,224.58,224.625,223.78,223.915,2312,0
GWRE.US,5,20250728,162000,224.02,224.06,223.61,223.8,3012,0
GWRE.US,5,20250728,162500,223.735,223.735,223.42,223.42,400,0
GWRE.US,5,20250728,163000,223.385,223.44,223.23,223.42,2415,0
GWRE.US,5,20250728,163500,223.335,223.825,223.2,223.825,3021,0
GWRE.US,5,20250728,164000,223.82,223.94,223.82,223.91,300,0
GWRE.US,5,20250728,164500,223.92,224.4,223.92,224.28,611,0
GWRE.US,5,20250728,165000,224.21,224.34,224.195,224.34,1100,0
GWRE.US,5,20250728,165500,224.38,224.49,224.22,224.49,2500,0
GWRE.US,5,20250728,170000,224.52,224.68,224.39,224.65,3462,0
GWRE.US,5,20250728,170500,224.68,225,224.68,225,2029,0
GWRE.US,5,20250728,171000,224.845,225.11,224.69,225.05,5197,0
GWRE.US,5,20250728,171500,225.07,225.12,224.66,224.7,3615,0
GWRE.US,5,20250728,172000,224.66,224.76,224.48,224.76,2032,0
GWRE.US,5,20250728,172500,224.72,224.88,224.71,224.84,1475,0
GWRE.US,5,20250728,173000,224.865,225.01,224.8,224.995,2364,0
GWRE.US,5,20250728,173500,225.05,225.45,225.05,225.45,2301,0
GWRE.US,5,20250728,174000,225.48,225.48,225.28,225.365,1882,0
GWRE.US,5,20250728,174500,225.34,225.365,225.28,225.28,1000,0
GWRE.US,5,20250728,175000,225.18,225.35,224.915,225.2,5710,0
GWRE.US,5,20250728,175500,224.94,224.955,224.92,224.95,1467,0
GWRE.US,5,20250728,180000,224.71,224.985,224.57,224.985,5113,0
GWRE.US,5,20250728,180500,225.06,225.06,224.74,224.99,1076,0
GWRE.US,5,20250728,181000,225.17,225.22,224.99,225.21,2489,0
GWRE.US,5,20250728,181500,225.2,225.35,225.165,225.35,501,0
GWRE.US,5,20250728,182000,225.36,225.43,225.29,225.43,958,0
GWRE.US,5,20250728,182500,225.35,225.59,225.35,225.51,1749,0
GWRE.US,5,20250728,183000,225.525,225.64,225.34,225.385,2906,0
GWRE.US,5,20250728,183500,225.4,225.57,225.36,225.545,2072,0
GWRE.US,5,20250728,184000,225.57,225.68,225.51,225.63,825,0
GWRE.US,5,20250728,184500,225.62,225.63,225.62,225.625,1000,0
GWRE.US,5,20250728,185000,225.68,225.74,225.64,225.64,1105,0
GWRE.US,5,20250728,185500,225.74,225.82,225.725,225.725,1403,0
GWRE.US,5,20250728,190000,225.725,225.98,225.45,225.86,4173,0
GWRE.US,5,20250728,190500,225.91,225.98,225.75,225.75,500,0
GWRE.US,5,20250728,191000,225.99,226.19,225.97,226.19,2901,0
GWRE.US,5,20250728,191500,226.12,226.12,225.81,225.95,3260,0
GWRE.US,5,20250728,192000,225.965,226.05,225.915,226.05,500,0
GWRE.US,5,20250728,192500,225.8,226.025,225.74,225.92,1564,0
GWRE.US,5,20250728,193000,226.06,226.08,225.881,226.045,2063,0
GWRE.US,5,20250728,193500,226.03,226.045,225.89,225.89,1002,0
GWRE.US,5,20250728,194000,226.06,226.095,225.95,226.095,1797,0
GWRE.US,5,20250728,194500,226.17,226.17,225.95,225.98,1394,0
GWRE.US,5,20250728,195000,225.94,225.95,225.915,225.95,1200,0
GWRE.US,5,20250728,195500,225.765,226.01,225.74,225.86,2000,0
GWRE.US,5,20250728,200000,225.9,226.01,225.845,226.01,2357,0
GWRE.US,5,20250728,200500,225.98,226.09,225.83,225.98,2740,0
GWRE.US,5,20250728,201000,226.085,226.085,225.78,226.06,2430,0
GWRE.US,5,20250728,201500,226.06,226.09,225.99,226.09,2392,0
GWRE.US,5,20250728,202000,225.995,225.995,225.77,225.9,2938,0
GWRE.US,5,20250728,202500,225.8,225.92,225.765,225.765,1185,0
GWRE.US,5,20250728,203000,225.845,225.845,225.58,225.66,2626,0
GWRE.US,5,20250728,203500,225.71,225.75,225.53,225.64,834,0
GWRE.US,5,20250728,204000,225.53,225.92,225.53,225.88,6856,0
GWRE.US,5,20250728,204500,225.772,226.19,225.76,226.19,4864,0
GWRE.US,5,20250728,205000,226.18,226.29,226.05,226.29,2563,0
