<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HBB.US,5,20250728,170500,17.7,17.7,17.7,17.7,109,0
HBB.US,5,20250728,171000,17.7,17.7,17.7,17.7,100,0
HBB.US,5,20250728,180000,17.52,17.53,17.52,17.52,400,0
HBB.US,5,20250728,181000,17.52,17.52,17.52,17.52,100,0
HBB.US,5,20250728,190000,17.29,17.29,17.29,17.29,100,0
HBB.US,5,20250728,191000,17.33,17.33,16.91,16.91,2200,0
HBB.US,5,20250728,191500,16.99,17.05,16.99,17.05,200,0
HBB.US,5,20250728,200500,17,17,17,17,100,0
HBB.US,5,20250728,201000,16.915,16.915,16.915,16.915,294,0
HBB.US,5,20250728,203000,16.84,16.84,16.84,16.84,100,0
HBB.US,5,20250728,203500,16.885,16.885,16.885,16.885,100,0
HBB.US,5,20250728,204000,16.99,17.065,16.99,17.065,200,0
HBB.US,5,20250728,213500,16.905,16.905,16.905,16.905,100,0
HBB.US,5,20250728,214000,16.9699,16.9699,16.9699,16.9699,156,0
HBB.US,5,20250728,215500,16.71,16.74,16.68,16.74,4110,0
HBB.US,5,20250729,162500,17,17,17,17,100,0
HBB.US,5,20250729,173500,16.8546,16.8546,16.68,16.68,408,0
HBB.US,5,20250729,174500,16.54,16.57,16.42,16.42,1838,0
HBB.US,5,20250729,181500,16.48,16.48,16.48,16.48,300,0
HBB.US,5,20250729,183500,16.375,16.375,16.2,16.28,3691,0
HBB.US,5,20250729,184000,16.245,16.29,16.245,16.29,454,0
HBB.US,5,20250729,184500,16.42,16.42,16.42,16.42,100,0
HBB.US,5,20250729,192500,16.615,16.65,16.615,16.65,200,0
HBB.US,5,20250729,194500,16.615,16.615,16.615,16.615,100,0
HBB.US,5,20250729,201000,16.77,16.77,16.77,16.77,100,0
HBB.US,5,20250729,202000,16.5716,16.805,16.5716,16.805,798,0
HBB.US,5,20250729,202500,16.75,16.75,16.75,16.75,100,0
HBB.US,5,20250729,213000,16.395,16.395,16.395,16.395,100,0
HBB.US,5,20250729,213500,16.395,16.395,16.395,16.395,900,0
HBB.US,5,20250729,215500,16.34,16.34,16.23,16.31,3926,0
HBB.US,5,20250730,154000,16.9247,16.9247,16.9247,16.9247,100,0
HBB.US,5,20250730,154500,16.56,16.56,16.56,16.56,250,0
HBB.US,5,20250730,155000,16.56,16.56,16.56,16.56,700,0
HBB.US,5,20250730,160500,16.2,16.2,16.2,16.2,767,0
HBB.US,5,20250730,163000,16.245,16.245,16.245,16.245,200,0
HBB.US,5,20250730,172500,16.0958,16.2515,16.0321,16.2515,557,0
HBB.US,5,20250730,173500,16.03,16.03,16.01,16.01,200,0
HBB.US,5,20250730,182000,16.2175,16.2175,16.2175,16.2175,307,0
HBB.US,5,20250730,183500,16.18,16.18,16.105,16.105,205,0
HBB.US,5,20250730,185000,16.19,16.19,16.19,16.19,160,0
HBB.US,5,20250730,190500,16.18,16.19,16.095,16.095,984,0
HBB.US,5,20250730,194000,16.22,16.4199,16.02,16.4199,1000,0
HBB.US,5,20250730,201000,16.245,16.245,16.245,16.245,200,0
HBB.US,5,20250730,204000,16,16,16,16,1158,0
HBB.US,5,20250730,204500,15.865,15.945,15.82,15.86,887,0
HBB.US,5,20250730,205500,15.735,15.735,15.68,15.68,517,0
HBB.US,5,20250730,210000,15.58,15.62,15.54,15.54,469,0
HBB.US,5,20250730,210500,15.44,15.44,15.44,15.44,100,0
HBB.US,5,20250730,212000,15.43,15.43,15.43,15.43,100,0
HBB.US,5,20250730,213500,15.515,15.515,15.515,15.515,320,0
HBB.US,5,20250730,214000,15.58,15.59,15.58,15.59,282,0
HBB.US,5,20250730,215500,15.61,15.7,15.61,15.7,3748,0
HBB.US,5,20250731,153000,14.6,14.6,14.3461,14.59,1247,0
HBB.US,5,20250731,154000,16.09,16.09,16.0171,16.0171,419,0
HBB.US,5,20250731,162000,15.16,15.16,15.16,15.16,100,0
HBB.US,5,20250731,162500,15.16,15.205,15.16,15.205,300,0
HBB.US,5,20250731,170000,15.42,15.42,14.87,14.87,5334,0
HBB.US,5,20250731,170500,15.2434,15.2434,15.04,15.04,200,0
HBB.US,5,20250731,175000,15.595,15.595,15.595,15.595,100,0
HBB.US,5,20250731,180000,15.1785,15.1785,15.1785,15.1785,235,0
HBB.US,5,20250731,181000,15.14,15.45,15.11,15.23,1702,0
HBB.US,5,20250731,181500,15.33,15.34,15.33,15.34,2100,0
HBB.US,5,20250731,183500,15.305,15.305,15.305,15.305,100,0
HBB.US,5,20250731,184000,15.15,15.17,15.15,15.17,381,0
HBB.US,5,20250731,190000,15.05,15.05,15,15,1125,0
HBB.US,5,20250731,191000,14.84,14.84,14.84,14.84,100,0
HBB.US,5,20250731,192500,14.76,14.76,14.49,14.49,373,0
HBB.US,5,20250731,193500,14.525,14.525,14.445,14.445,1000,0
HBB.US,5,20250731,194000,14.48,14.7599,14.445,14.7599,1233,0
HBB.US,5,20250731,194500,14.5,14.5,14.5,14.5,100,0
HBB.US,5,20250731,201000,14.565,14.565,14.565,14.565,800,0
HBB.US,5,20250731,201500,14.28,14.43,14.28,14.43,414,0
HBB.US,5,20250731,202500,14.39,14.46,14.29,14.29,400,0
HBB.US,5,20250731,204500,14.5,14.5,14.5,14.5,216,0
HBB.US,5,20250731,205000,15.1699,15.1699,15.1699,15.1699,329,0
HBB.US,5,20250731,205500,14.35,14.35,14.35,14.35,100,0
HBB.US,5,20250731,210000,14.35,14.4,14.235,14.4,922,0
HBB.US,5,20250731,211000,14.214273,14.214273,14.214273,14.214273,138,0
HBB.US,5,20250731,211500,14.36,14.36,14.179267,14.275,840,0
HBB.US,5,20250731,212000,14.29,14.29,14.29,14.29,200,0
HBB.US,5,20250731,212500,14.29,14.29,14.26,14.26,200,0
HBB.US,5,20250731,213000,14.185,14.185,13.6824,13.6824,4307,0
HBB.US,5,20250731,213500,13.6,13.71,13.5,13.62,3477,0
HBB.US,5,20250731,214000,13.745,14.54,13.738,14.5,9160,0
HBB.US,5,20250731,214500,14.54,14.81,14.45,14.63,3900,0
HBB.US,5,20250731,215000,14.73,14.89,14.64,14.64,3800,0
HBB.US,5,20250731,215500,14.74,15.77,14.405,15.76,7772,0
HBB.US,5,20250801,154000,15.3,15.3,15.3,15.3,280,0
HBB.US,5,20250801,160000,15.155,15.155,15.155,15.155,100,0
HBB.US,5,20250801,163500,15.195,15.195,15.16,15.16,200,0
HBB.US,5,20250801,164500,15.155,15.155,15.155,15.155,100,0
HBB.US,5,20250801,165000,15.0227,15.0227,15,15,450,0
HBB.US,5,20250801,170500,14.9005,14.9005,14.808933,14.808933,500,0
HBB.US,5,20250801,171000,14.7424,14.7424,14.7424,14.7424,400,0
HBB.US,5,20250801,171500,14.790045,14.790045,14.790045,14.790045,150,0
HBB.US,5,20250801,174500,14.2755,14.2755,14.2755,14.2755,1000,0
HBB.US,5,20250801,175000,14.355,14.355,14.355,14.355,800,0
HBB.US,5,20250801,182000,14.14,14.17,14.14,14.17,2831,0
HBB.US,5,20250801,182500,14,14.1332,14,14.1332,1000,0
HBB.US,5,20250801,183500,14.07,14.07,14.07,14.07,330,0
HBB.US,5,20250801,184500,14.18,14.18,14.18,14.18,100,0
HBB.US,5,20250801,185000,14.26,14.26,14.26,14.26,106,0
HBB.US,5,20250801,191500,14.1,14.1,14.1,14.1,100,0
HBB.US,5,20250801,200000,13.985,13.985,13.985,13.985,100,0
HBB.US,5,20250801,200500,13.95,13.95,13.95,13.95,100,0
HBB.US,5,20250801,201000,13.94,13.94,13.92,13.92,200,0
HBB.US,5,20250801,201500,13.7141,13.88,13.7141,13.88,450,0
HBB.US,5,20250801,202500,13.71,13.71,13.71,13.71,116,0
HBB.US,5,20250801,204000,13.8079,13.82,13.736,13.82,889,0
HBB.US,5,20250801,205000,13.78,13.78,13.78,13.78,100,0
HBB.US,5,20250801,210000,13.69,13.7,13.66,13.66,1312,0
HBB.US,5,20250801,210500,13.7,13.71,13.7,13.71,200,0
