<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HL.US,5,20250728,153000,6.035,6.06,5.9705,5.995,280482,0
HL.US,5,20250728,153500,5.99,6.0288,5.99,6.0004,187653,0
HL.US,5,20250728,154000,6.0097,6.01,5.98,5.995,215175,0
HL.US,5,20250728,154500,5.99,5.995,5.9305,5.945,257444,0
HL.US,5,20250728,155000,5.94,5.95,5.91,5.914,190561,0
HL.US,5,20250728,155500,5.9103,5.9499,5.91,5.918,456466,0
HL.US,5,20250728,160000,5.91,5.93,5.9,5.925,349138,0
HL.US,5,20250728,160500,5.93,5.95,5.92,5.925,165648,0
HL.US,5,20250728,161000,5.92,5.95,5.92,5.935,171310,0
HL.US,5,20250728,161500,5.9347,5.9665,5.9301,5.9484,223203,0
HL.US,5,20250728,162000,5.945,5.96,5.92,5.935,195277,0
HL.US,5,20250728,162500,5.93,5.96,5.93,5.9435,187964,0
HL.US,5,20250728,163000,5.945,5.96,5.94,5.9459,178488,0
HL.US,5,20250728,163500,5.945,5.95,5.93,5.9399,287050,0
HL.US,5,20250728,164000,5.9301,5.95,5.93,5.9467,173686,0
HL.US,5,20250728,164500,5.95,5.96,5.9401,5.955,261235,0
HL.US,5,20250728,165000,5.955,5.96,5.95,5.955,60274,0
HL.US,5,20250728,165500,5.955,5.96,5.94,5.95,305346,0
HL.US,5,20250728,170000,5.955,5.9599,5.94,5.9408,146021,0
HL.US,5,20250728,170500,5.945,5.95,5.94,5.94,57264,0
HL.US,5,20250728,171000,5.945,5.96,5.94,5.9589,84421,0
HL.US,5,20250728,171500,5.95,5.96,5.95,5.9599,127443,0
HL.US,5,20250728,172000,5.955,5.96,5.95,5.96,46776,0
HL.US,5,20250728,172500,5.96,5.97,5.9548,5.97,101038,0
HL.US,5,20250728,173000,5.965,5.98,5.96,5.97,70073,0
HL.US,5,20250728,173500,5.97,5.99,5.97,5.9826,209954,0
HL.US,5,20250728,174000,5.9875,5.99,5.97,5.97,104880,0
HL.US,5,20250728,174500,5.9773,5.9773,5.96,5.965,148855,0
HL.US,5,20250728,175000,5.96,5.97,5.955,5.965,113530,0
HL.US,5,20250728,175500,5.966,5.98,5.965,5.975,56384,0
HL.US,5,20250728,180000,5.975,5.98,5.97,5.975,10203,0
HL.US,5,20250728,180500,5.975,5.98,5.97,5.975,30285,0
HL.US,5,20250728,181000,5.9756,5.98,5.97,5.9763,29264,0
HL.US,5,20250728,181500,5.975,5.98,5.97,5.975,40756,0
HL.US,5,20250728,182000,5.97,5.98,5.97,5.975,29369,0
HL.US,5,20250728,182500,5.9763,5.9781,5.97,5.975,40874,0
HL.US,5,20250728,183000,5.975,5.98,5.97,5.97,64312,0
HL.US,5,20250728,183500,5.975,5.98,5.96,5.965,102869,0
HL.US,5,20250728,184000,5.96,5.97,5.96,5.965,30125,0
HL.US,5,20250728,184500,5.9607,5.97,5.94,5.955,308995,0
HL.US,5,20250728,185000,5.9519,5.97,5.95,5.965,86715,0
HL.US,5,20250728,185500,5.96,5.97,5.95,5.955,28172,0
HL.US,5,20250728,190000,5.955,5.97,5.955,5.965,48794,0
HL.US,5,20250728,190500,5.97,5.97,5.96,5.965,30518,0
HL.US,5,20250728,191000,5.965,5.97,5.96,5.965,21821,0
HL.US,5,20250728,191500,5.965,5.966,5.95,5.965,130020,0
HL.US,5,20250728,192000,5.9648,5.97,5.96,5.965,56053,0
HL.US,5,20250728,192500,5.965,5.97,5.9413,5.9413,82501,0
HL.US,5,20250728,193000,5.945,5.95,5.9435,5.945,66110,0
HL.US,5,20250728,193500,5.945,5.95,5.94,5.95,41488,0
HL.US,5,20250728,194000,5.945,5.96,5.9427,5.95,154857,0
HL.US,5,20250728,194500,5.955,5.96,5.95,5.955,80792,0
HL.US,5,20250728,195000,5.955,5.955,5.94,5.95,79375,0
HL.US,5,20250728,195500,5.9447,5.96,5.94,5.96,129691,0
HL.US,5,20250728,200000,5.96,5.96,5.95,5.955,44927,0
HL.US,5,20250728,200500,5.955,5.97,5.95,5.955,139433,0
HL.US,5,20250728,201000,5.955,5.97,5.95,5.965,180778,0
HL.US,5,20250728,201500,5.965,5.97,5.96,5.97,31979,0
HL.US,5,20250728,202000,5.9667,5.98,5.962,5.975,84463,0
HL.US,5,20250728,202500,5.9746,5.99,5.97,5.9811,101503,0
HL.US,5,20250728,203000,5.9897,5.99,5.98,5.985,54504,0
HL.US,5,20250728,203500,5.985,5.99,5.98,5.985,44035,0
HL.US,5,20250728,204000,5.99,6,5.98,5.9946,99156,0
HL.US,5,20250728,204500,5.9999,6,5.99,5.9948,64418,0
HL.US,5,20250728,205000,5.99,6,5.975,5.975,193424,0
HL.US,5,20250728,205500,5.975,5.98,5.97,5.975,47265,0
HL.US,5,20250728,210000,5.9754,5.99,5.97,5.986,179693,0
HL.US,5,20250728,210500,5.985,5.99,5.98,5.9889,42179,0
HL.US,5,20250728,211000,5.9858,5.99,5.96,5.965,143762,0
HL.US,5,20250728,211500,5.965,5.97,5.96,5.96,49661,0
HL.US,5,20250728,212000,5.96,5.97,5.95,5.9531,72679,0
HL.US,5,20250728,212500,5.955,5.96,5.95,5.9565,39127,0
HL.US,5,20250728,213000,5.95,5.97,5.95,5.965,118088,0
HL.US,5,20250728,213500,5.965,5.97,5.96,5.965,170015,0
HL.US,5,20250728,214000,5.965,5.97,5.96,5.96,244249,0
HL.US,5,20250728,214500,5.965,5.97,5.95,5.955,163851,0
HL.US,5,20250728,215000,5.95,5.98,5.94,5.975,538710,0
HL.US,5,20250728,215500,5.975,5.995,5.975,5.98,1395977,0
HL.US,5,20250729,153000,5.99,5.995,5.89,5.91,804221,0
HL.US,5,20250729,153500,5.91,5.945,5.895,5.925,1275629,0
HL.US,5,20250729,154000,5.92,5.92,5.9,5.92,184902,0
HL.US,5,20250729,154500,5.92,5.92,5.89,5.908,281626,0
HL.US,5,20250729,155000,5.905,5.9399,5.905,5.91,121249,0
HL.US,5,20250729,155500,5.915,5.92,5.901037,5.915,121933,0
HL.US,5,20250729,160000,5.915,5.945,5.915,5.92,230256,0
HL.US,5,20250729,160500,5.92,5.9599,5.9148,5.9599,324609,0
HL.US,5,20250729,161000,5.9596,5.96,5.9448,5.96,222810,0
HL.US,5,20250729,161500,5.958,5.96,5.95,5.955,110554,0
HL.US,5,20250729,162000,5.955,5.9795,5.95,5.9702,84945,0
HL.US,5,20250729,162500,5.975,5.98,5.96,5.965,119199,0
HL.US,5,20250729,163000,5.965,5.97,5.96,5.96,56723,0
HL.US,5,20250729,163500,5.97,5.99,5.96,5.9852,206937,0
HL.US,5,20250729,164000,5.9823,6,5.98,5.985,279687,0
HL.US,5,20250729,164500,5.9867,6.0099,5.983,5.9895,263598,0
HL.US,5,20250729,165000,5.99,5.99,5.9609,5.9648,235613,0
HL.US,5,20250729,165500,5.96,5.97,5.95,5.96,98670,0
HL.US,5,20250729,170000,5.96,5.9894,5.96,5.9894,197153,0
HL.US,5,20250729,170500,5.9852,6.01,5.98,5.9801,569316,0
HL.US,5,20250729,171000,5.98,5.99,5.96,5.96,163837,0
HL.US,5,20250729,171500,5.96,5.965,5.93,5.955,504721,0
HL.US,5,20250729,172000,5.95,5.96,5.92,5.93,88743,0
HL.US,5,20250729,172500,5.925,5.94,5.91,5.935,196952,0
HL.US,5,20250729,173000,5.93,5.9399,5.92,5.925,248162,0
HL.US,5,20250729,173500,5.925,5.9275,5.9,5.915,410258,0
HL.US,5,20250729,174000,5.915,5.92,5.9,5.9,333453,0
HL.US,5,20250729,174500,5.9,5.93,5.9,5.9152,503380,0
HL.US,5,20250729,175000,5.9135,5.93,5.91,5.92,113703,0
HL.US,5,20250729,175500,5.92,5.93,5.92,5.92,147707,0
HL.US,5,20250729,180000,5.925,5.93,5.92,5.9299,42022,0
HL.US,5,20250729,180500,5.92,5.93,5.9133,5.9201,232399,0
HL.US,5,20250729,181000,5.92,5.94,5.92,5.9308,582099,0
HL.US,5,20250729,181500,5.94,5.9499,5.9314,5.9435,104115,0
HL.US,5,20250729,182000,5.9438,5.97,5.9438,5.9609,266357,0
HL.US,5,20250729,182500,5.965,5.97,5.96,5.965,186037,0
HL.US,5,20250729,183000,5.96,5.97,5.96,5.965,43766,0
HL.US,5,20250729,183500,5.965,5.99,5.965,5.985,155680,0
HL.US,5,20250729,184000,5.98,5.99,5.98,5.98,143163,0
HL.US,5,20250729,184500,5.985,6,5.98,5.989,173522,0
