<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HL_B.US,5,20250730,192000,51.0901,51.0901,51.09,51.09,590,0
HL_B.US,5,20250730,200000,51.01,51.087,51,51.087,400,0
HL_B.US,5,20250730,202000,51,51,51,51,175,0
HL_B.US,5,20250730,214000,50.7501,50.7501,50.7501,50.7501,452,0
HL_B.US,5,20250731,162000,50.75,50.75,50.75,50.75,100,0
HL_B.US,5,20250731,200000,50.555,50.555,50.555,50.555,512,0
HL_B.US,5,20250801,175500,50.46,50.46,50.46,50.46,350,0
HL_B.US,5,20250801,195000,50.3,50.3,50.3,50.3,500,0
HL_B.US,5,20250801,202000,50.3,50.3,50.2999,50.2999,400,0
HL_B.US,5,20250801,211000,50.3,50.3,50.2999,50.2999,1000,0
HL_B.US,5,20250805,194000,50.867,50.867,50.867,50.867,200,0
HL_B.US,5,20250805,200000,50.75,50.75,50.75,50.75,200,0
HL_B.US,5,20250806,201000,50.505,50.505,50.26,50.26,3536,0
HL_B.US,5,20250806,214500,50.42,50.42,50.0501,50.0501,463,0
HL_B.US,5,20250807,173500,50.6,50.6,50.6,50.6,300,0
HL_B.US,5,20250807,184500,51.02,51.02,51.02,51.02,208,0
HL_B.US,5,20250811,175500,50.73,50.76,50.73,50.76,200,0
HL_B.US,5,20250813,205000,51.44,51.45,51.44,51.45,1157,0
HL_B.US,5,20250814,192500,51.2265,51.2265,51.2265,51.2265,100,0
HL_B.US,5,20250815,183500,51.2575,51.4761,51.2575,51.4761,425,0
HL_B.US,5,20250819,153000,51.4,51.4,51.4,51.4,200,0
HL_B.US,5,20250819,195000,52,52,52,52,100,0
HL_B.US,5,20250822,164500,52.43,52.43,52.43,52.43,200,0
HL_B.US,5,20250822,180500,52.4232,52.4232,52.4232,52.4232,200,0
HL_B.US,5,20250829,160500,52.205,52.205,52.205,52.205,100,0
HL_B.US,5,20250829,175000,52.25,52.25,52.25,52.25,300,0
HL_B.US,5,20250829,213500,52.275,52.275,52.275,52.275,200,0
HL_B.US,5,20250903,213500,52.25,52.25,52.25,52.25,100,0
HL_B.US,5,20250904,181500,52.0085,52.0085,52,52.0085,579,0
HL_B.US,5,20250904,184500,51.5483,51.5483,51.5483,51.5483,100,0
HL_B.US,5,20250904,194500,51.6,51.6,51.6,51.6,150,0
HL_B.US,5,20250905,160000,52.05,52.05,52.05,52.05,205,0
HL_B.US,5,20250908,153500,52.3,52.3,52.3,52.3,148,0
HL_B.US,5,20250908,203000,52.75,52.75,52.75,52.75,100,0
