<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTH.US,5,20250728,153000,30.365,30.44,30.25,30.34,695,0
HTH.US,5,20250728,153500,30.34,30.34,30.34,30.34,200,0
HTH.US,5,20250728,154000,30.19,30.32,30.18,30.32,2702,0
HTH.US,5,20250728,154500,30.37,30.37,30.37,30.37,211,0
HTH.US,5,20250728,155000,30.31,30.365,30.31,30.365,417,0
HTH.US,5,20250728,155500,30.3,30.3,30.29,30.29,900,0
HTH.US,5,20250728,160000,30.25,30.25,30.25,30.25,450,0
HTH.US,5,20250728,160500,30.25,30.28,30.21,30.22,851,0
HTH.US,5,20250728,161000,30.23,30.235,30.23,30.235,500,0
HTH.US,5,20250728,161500,30.22,30.235,30.2,30.2,594,0
HTH.US,5,20250728,162000,30.2,30.2,30.18,30.18,896,0
HTH.US,5,20250728,162500,30.17,30.23,30.17,30.22,1038,0
HTH.US,5,20250728,163000,30.25,30.27,30.185,30.185,3670,0
HTH.US,5,20250728,163500,30.185,30.23,30.185,30.23,200,0
HTH.US,5,20250728,164000,30.26,30.27,30.21,30.24,1396,0
HTH.US,5,20250728,165000,30.2,30.2,30.16,30.16,1048,0
HTH.US,5,20250728,165500,30.16,30.16,30.13,30.14,1248,0
HTH.US,5,20250728,170000,30.14,30.15,30.08,30.08,1734,0
HTH.US,5,20250728,170500,30.04,30.04,30.01,30.01,620,0
HTH.US,5,20250728,171000,30,30.015,30,30.015,729,0
HTH.US,5,20250728,171500,30.01,30.01,29.93,29.93,1217,0
HTH.US,5,20250728,172000,29.96,29.97,29.94,29.94,386,0
HTH.US,5,20250728,172500,29.92,29.935,29.92,29.935,512,0
HTH.US,5,20250728,173000,29.91,29.91,29.9,29.9,307,0
HTH.US,5,20250728,173500,29.925,29.925,29.925,29.925,300,0
HTH.US,5,20250728,174000,29.91,29.92,29.91,29.915,978,0
HTH.US,5,20250728,174500,29.91,30.025,29.9,30.025,2500,0
HTH.US,5,20250728,175500,30.03,30.05,30.025,30.05,614,0
HTH.US,5,20250728,180000,30.09,30.09,30.09,30.09,206,0
HTH.US,5,20250728,180500,30.12,30.14,30.12,30.14,250,0
HTH.US,5,20250728,181000,30.13,30.13,30.1,30.1,698,0
HTH.US,5,20250728,182000,30.105,30.14,30.085,30.14,1095,0
HTH.US,5,20250728,183000,30.12,30.14,30.07,30.07,1617,0
HTH.US,5,20250728,184000,30.025,30.025,30.025,30.025,100,0
HTH.US,5,20250728,184500,30.04,30.04,30.02,30.025,400,0
HTH.US,5,20250728,185500,30.03,30.03,30,30,407,0
HTH.US,5,20250728,190000,30.005,30.03,29.99,29.99,1071,0
HTH.US,5,20250728,191000,29.92,29.925,29.9,29.9,300,0
HTH.US,5,20250728,191500,29.9,29.93,29.88,29.92,917,0
HTH.US,5,20250728,192000,29.94,29.97,29.94,29.9633,2899,0
HTH.US,5,20250728,192500,29.97,29.97,29.96,29.96,575,0
HTH.US,5,20250728,193000,29.94,29.95,29.93,29.93,2938,0
HTH.US,5,20250728,193500,29.945,29.945,29.945,29.945,100,0
HTH.US,5,20250728,194000,29.96,29.98,29.94,29.98,1412,0
HTH.US,5,20250728,194500,29.984,30.02,29.98,29.98,1013,0
HTH.US,5,20250728,195000,29.98,29.98,29.96,29.97,433,0
HTH.US,5,20250728,195500,29.96,29.96,29.93,29.93,600,0
HTH.US,5,20250728,200000,29.925,29.925,29.89,29.89,300,0
HTH.US,5,20250728,200500,29.88,29.89,29.874,29.88,1836,0
HTH.US,5,20250728,201000,29.8755,29.9,29.8755,29.9,1222,0
HTH.US,5,20250728,201500,29.88,29.89,29.88,29.88,600,0
HTH.US,5,20250728,202000,29.89,29.895,29.87,29.89,1908,0
HTH.US,5,20250728,202500,29.89,29.92,29.89,29.92,946,0
HTH.US,5,20250728,203000,29.93,29.955,29.93,29.94,1085,0
HTH.US,5,20250728,203500,29.9599,29.9893,29.9599,29.985,857,0
HTH.US,5,20250728,204000,29.99,29.99,29.98,29.99,300,0
HTH.US,5,20250728,204500,29.98,30,29.98,29.99,1009,0
HTH.US,5,20250728,205000,29.98,29.99,29.96,29.96,1501,0
HTH.US,5,20250728,205500,29.96,29.98,29.95,29.95,1399,0
HTH.US,5,20250728,210000,29.96,29.98,29.96,29.97,876,0
HTH.US,5,20250728,210500,29.99,30.03,29.98,30.02,1385,0
HTH.US,5,20250728,211000,30.015,30.04,30.015,30.04,960,0
HTH.US,5,20250728,211500,30.03,30.06,30.02,30.06,1688,0
HTH.US,5,20250728,212000,30.055,30.06,30.05,30.06,308,0
HTH.US,5,20250728,212500,30.05,30.05,30.03,30.04,2615,0
HTH.US,5,20250728,213000,30.05,30.05,29.98,30,4698,0
HTH.US,5,20250728,213500,30,30.06,30,30.06,5341,0
HTH.US,5,20250728,214000,30.08,30.11,30.07,30.07,3940,0
HTH.US,5,20250728,214500,30.07,30.07,30.03,30.03,6325,0
HTH.US,5,20250728,215000,30.02,30.06,30.01,30.045,7158,0
HTH.US,5,20250728,215500,30.04,30.085,30.015,30.06,121821,0
HTH.US,5,20250729,153500,30.2991,30.2991,30.19,30.19,1575,0
HTH.US,5,20250729,155000,30.12,30.12,30.08,30.08,5255,0
HTH.US,5,20250729,155500,30.08,30.08,30.0635,30.0635,1210,0
HTH.US,5,20250729,160000,30.11,30.12,30.09,30.095,4301,0
HTH.US,5,20250729,160500,30.12,30.14,30.08,30.08,3530,0
HTH.US,5,20250729,161000,30.11,30.11,30.05,30.05,600,0
HTH.US,5,20250729,161500,30.1,30.1,30.07,30.07,612,0
HTH.US,5,20250729,162000,30.02,30.02,30.02,30.02,205,0
HTH.US,5,20250729,162500,29.995,30.03,29.995,30.03,211,0
HTH.US,5,20250729,163000,30,30,29.97,29.97,300,0
HTH.US,5,20250729,163500,29.93,29.945,29.93,29.945,504,0
HTH.US,5,20250729,164000,29.945,29.945,29.945,29.945,223,0
HTH.US,5,20250729,164500,29.945,29.945,29.945,29.945,830,0
HTH.US,5,20250729,165000,29.945,29.98,29.945,29.98,684,0
HTH.US,5,20250729,165500,29.96,29.96,29.92,29.95,2290,0
HTH.US,5,20250729,170000,29.94,29.94,29.92,29.94,687,0
HTH.US,5,20250729,170500,29.96,29.96,29.95,29.95,484,0
HTH.US,5,20250729,171000,29.94,29.96,29.94,29.96,322,0
HTH.US,5,20250729,171500,29.96,29.99,29.9469,29.99,763,0
HTH.US,5,20250729,172000,29.99,29.99,29.93,29.99,1488,0
HTH.US,5,20250729,172500,29.985,29.985,29.95,29.95,700,0
HTH.US,5,20250729,173000,29.96,29.96,29.93,29.93,725,0
HTH.US,5,20250729,173500,29.93,29.93,29.93,29.93,100,0
HTH.US,5,20250729,174000,29.9,29.94,29.9,29.94,1809,0
HTH.US,5,20250729,175000,29.96,29.975,29.96,29.97,910,0
HTH.US,5,20250729,175500,29.99,29.99,29.975,29.975,300,0
HTH.US,5,20250729,180000,29.96,29.96,29.96,29.96,100,0
HTH.US,5,20250729,181000,29.95,29.95,29.935,29.95,1373,0
HTH.US,5,20250729,181500,29.9544,29.9544,29.91,29.91,2576,0
HTH.US,5,20250729,182500,29.95,29.95,29.94,29.94,400,0
HTH.US,5,20250729,183000,29.96,29.96,29.95,29.95,300,0
HTH.US,5,20250729,183500,29.955,29.955,29.94,29.95,611,0
HTH.US,5,20250729,184000,29.97,29.97,29.97,29.97,100,0
HTH.US,5,20250729,184500,29.95,29.95,29.95,29.95,100,0
HTH.US,5,20250729,185000,29.97,29.97,29.97,29.97,100,0
HTH.US,5,20250729,185500,29.97,29.97,29.93,29.94,1222,0
HTH.US,5,20250729,190000,29.95,29.95,29.95,29.95,300,0
HTH.US,5,20250729,191000,29.96,29.96,29.96,29.96,100,0
HTH.US,5,20250729,191500,29.96,29.97,29.95,29.965,1074,0
HTH.US,5,20250729,192000,29.95,29.95,29.92,29.92,876,0
HTH.US,5,20250729,193500,29.8932,29.8932,29.86,29.87,2040,0
HTH.US,5,20250729,194000,29.85,29.865,29.85,29.85,2349,0
HTH.US,5,20250729,194500,29.85,29.86,29.85,29.86,600,0
HTH.US,5,20250729,195500,29.88,29.89,29.88,29.89,694,0
HTH.US,5,20250729,200000,29.89,29.89,29.89,29.89,200,0
HTH.US,5,20250729,200500,29.89,29.89,29.89,29.89,300,0
HTH.US,5,20250729,201000,29.92,29.94,29.9099,29.94,2601,0
HTH.US,5,20250729,202000,29.93,29.95,29.9233,29.9233,1647,0
HTH.US,5,20250729,202500,29.93,29.93,29.91,29.91,1080,0
HTH.US,5,20250729,203000,29.9,29.9,29.9,29.9,236,0
HTH.US,5,20250729,203500,29.91,29.92,29.91,29.92,400,0
HTH.US,5,20250729,204000,29.925,29.925,29.925,29.925,100,0
HTH.US,5,20250729,204500,29.93,29.93,29.93,29.93,100,0
HTH.US,5,20250729,205000,29.91,29.91,29.91,29.91,545,0
HTH.US,5,20250729,205500,29.89,29.89,29.88,29.88,300,0
HTH.US,5,20250729,210000,29.89,29.9,29.87,29.87,1985,0
HTH.US,5,20250729,210500,29.86,29.87,29.86,29.86,1632,0
HTH.US,5,20250729,211000,29.85,29.85,29.84,29.84,400,0
HTH.US,5,20250729,211500,29.85,29.86,29.82,29.82,1006,0
HTH.US,5,20250729,212000,29.79,29.79,29.79,29.79,100,0
HTH.US,5,20250729,212500,29.81,29.82,29.81,29.82,1113,0
HTH.US,5,20250729,213000,29.83,29.85,29.79,29.79,2587,0
HTH.US,5,20250729,213500,29.79,29.8,29.79,29.795,754,0
HTH.US,5,20250729,214000,29.78,29.795,29.76,29.76,2684,0
HTH.US,5,20250729,214500,29.77,29.79,29.76,29.77,4671,0
HTH.US,5,20250729,215000,29.77,29.86,29.77,29.84,7782,0
HTH.US,5,20250729,215500,29.83,29.86,29.79,29.79,96567,0
HTH.US,5,20250730,153000,29.805,29.96,29.805,29.96,300,0
HTH.US,5,20250730,153500,29.96,29.96,29.9,29.9,600,0
HTH.US,5,20250730,154000,29.895,29.94,29.86,29.94,1628,0
HTH.US,5,20250730,154500,29.94,29.98,29.94,29.945,703,0
HTH.US,5,20250730,155000,29.94,30.04,29.93,30.04,1547,0
HTH.US,5,20250730,155500,30.06,30.12,30.055,30.1,4247,0
HTH.US,5,20250730,160000,30.12,30.175,30.09,30.17,1260,0
HTH.US,5,20250730,160500,30.16,30.18,30.14,30.14,924,0
HTH.US,5,20250730,161000,30.15,30.2,30.15,30.2,700,0
HTH.US,5,20250730,161500,30.2,30.24,30.2,30.235,1000,0
HTH.US,5,20250730,162000,30.24,30.24,30.18,30.21,1890,0
HTH.US,5,20250730,162500,30.2,30.22,30.18,30.22,1116,0
HTH.US,5,20250730,163000,30.21,30.22,30.21,30.215,640,0
HTH.US,5,20250730,163500,30.23,30.23,30.17,30.17,1527,0
HTH.US,5,20250730,164000,30.15,30.15,30.13,30.13,300,0
HTH.US,5,20250730,164500,30.12,30.12,30.09,30.1,400,0
HTH.US,5,20250730,165000,30.11,30.11,30.09,30.095,1090,0
HTH.US,5,20250730,165500,30.08,30.1,30.08,30.1,600,0
HTH.US,5,20250730,170000,30.09,30.09,30.08,30.08,500,0
HTH.US,5,20250730,170500,30.045,30.045,30,30,500,0
HTH.US,5,20250730,171000,29.99,30.02,29.99,30.01,2000,0
HTH.US,5,20250730,171500,30.03,30.03,30.025,30.025,800,0
HTH.US,5,20250730,172000,30.045,30.045,30.01,30.01,636,0
HTH.US,5,20250730,172500,30.02,30.04,30.01,30.02,967,0
HTH.US,5,20250730,173000,30.02,30.09,30.01,30.08,3320,0
HTH.US,5,20250730,173500,30.08,30.09,30.05,30.05,1400,0
HTH.US,5,20250730,174000,30.045,30.045,30.045,30.045,100,0
HTH.US,5,20250730,174500,30.07,30.07,30.06,30.06,400,0
HTH.US,5,20250730,175000,30.08,30.12,30.08,30.115,846,0
HTH.US,5,20250730,175500,30.11,30.12,30.09,30.115,993,0
HTH.US,5,20250730,180000,30.11,30.11,30.08,30.1,1126,0
HTH.US,5,20250730,180500,30.11,30.14,30.11,30.14,400,0
HTH.US,5,20250730,181000,30.14,30.14,30.125,30.14,440,0
HTH.US,5,20250730,181500,30.17,30.18,30.17,30.18,385,0
HTH.US,5,20250730,182000,30.18,30.2,30.18,30.2,1672,0
HTH.US,5,20250730,182500,30.205,30.21,30.2,30.205,853,0
HTH.US,5,20250730,183000,30.21,30.21,30.2,30.2,1589,0
HTH.US,5,20250730,183500,30.21,30.22,30.21,30.22,300,0
HTH.US,5,20250730,184000,30.22,30.24,30.21,30.24,400,0
HTH.US,5,20250730,184500,30.25,30.25,30.24,30.24,974,0
HTH.US,5,20250730,185000,30.24,30.24,30.2,30.22,1047,0
HTH.US,5,20250730,185500,30.195,30.2,30.195,30.2,200,0
HTH.US,5,20250730,190000,30.2,30.23,30.2,30.22,863,0
HTH.US,5,20250730,190500,30.2,30.2,30.19,30.19,523,0
HTH.US,5,20250730,191000,30.18,30.19,30.18,30.18,1147,0
HTH.US,5,20250730,191500,30.18,30.195,30.18,30.195,943,0
HTH.US,5,20250730,192000,30.2,30.2,30.2,30.2,726,0
HTH.US,5,20250730,192500,30.22,30.23,30.22,30.23,1350,0
HTH.US,5,20250730,193000,30.22,30.23,30.22,30.23,400,0
HTH.US,5,20250730,193500,30.24,30.25,30.24,30.25,535,0
HTH.US,5,20250730,194000,30.24,30.24,30.24,30.24,500,0
HTH.US,5,20250730,194500,30.24,30.24,30.205,30.23,700,0
HTH.US,5,20250730,195000,30.23,30.23,30.18,30.18,1030,0
HTH.US,5,20250730,195500,30.185,30.19,30.15,30.16,1581,0
HTH.US,5,20250730,200000,30.17,30.17,30.08,30.14,1284,0
HTH.US,5,20250730,200500,30.15,30.17,30.14,30.17,892,0
HTH.US,5,20250730,201000,30.1775,30.1775,30.11,30.11,1513,0
HTH.US,5,20250730,201500,30.11,30.11,30.09,30.1,1283,0
HTH.US,5,20250730,202000,30.1,30.11,30.08,30.11,846,0
HTH.US,5,20250730,202500,30.11,30.13,30.11,30.13,1234,0
HTH.US,5,20250730,203000,30.12,30.195,30.12,30.195,2671,0
HTH.US,5,20250730,203500,30.195,30.195,30.08,30.1,2164,0
HTH.US,5,20250730,204000,30.09,30.1,29.995,30.1,2600,0
HTH.US,5,20250730,204500,30.11,30.11,30.025,30.04,1916,0
HTH.US,5,20250730,205000,30.02,30.03,29.98,30.03,1540,0
HTH.US,5,20250730,205500,29.99,30.01,29.93,29.93,1510,0
HTH.US,5,20250730,210000,29.95,29.95,29.825,29.825,1722,0
HTH.US,5,20250730,210500,29.82,29.84,29.78,29.84,2665,0
HTH.US,5,20250730,211000,29.83,29.855,29.8,29.8,1440,0
HTH.US,5,20250730,211500,29.815,29.84,29.71,29.71,5685,0
HTH.US,5,20250730,212000,29.71,29.725,29.65,29.67,5816,0
HTH.US,5,20250730,212500,29.67,29.7,29.61,29.635,4554,0
HTH.US,5,20250730,213000,29.64,29.7,29.63,29.65,3181,0
HTH.US,5,20250730,213500,29.67,29.71,29.63,29.63,3643,0
HTH.US,5,20250730,214000,29.635,29.64,29.58,29.59,4029,0
HTH.US,5,20250730,214500,29.59,29.63,29.585,29.585,3208,0
HTH.US,5,20250730,215000,29.62,29.68,29.58,29.58,4375,0
HTH.US,5,20250730,215500,29.6,29.69,29.6,29.67,74304,0
HTH.US,5,20250731,153000,29.5,29.62,29.5,29.62,1700,0
HTH.US,5,20250731,153500,29.62,29.68,29.56,29.56,1500,0
HTH.US,5,20250731,154000,29.57,29.58,29.47,29.47,1283,0
HTH.US,5,20250731,154500,29.495,29.59,29.49,29.55,2988,0
HTH.US,5,20250731,155000,29.59,29.62,29.58,29.61,1316,0
HTH.US,5,20250731,155500,29.61,29.61,29.53,29.58,1510,0
HTH.US,5,20250731,160000,29.57,29.6,29.55,29.6,996,0
HTH.US,5,20250731,160500,29.57,29.62,29.55,29.56,1200,0
HTH.US,5,20250731,161000,29.54,29.54,29.505,29.53,1262,0
HTH.US,5,20250731,161500,29.5,29.5,29.48,29.49,800,0
HTH.US,5,20250731,162000,29.49,29.5,29.49,29.5,400,0
HTH.US,5,20250731,162500,29.41,29.431,29.41,29.43,333,0
HTH.US,5,20250731,163000,29.43,29.46,29.42,29.43,1124,0
HTH.US,5,20250731,163500,29.47,29.47,29.405,29.405,1100,0
HTH.US,5,20250731,164000,29.39,29.46,29.39,29.46,1320,0
HTH.US,5,20250731,164500,29.45,29.45,29.4,29.44,1000,0
HTH.US,5,20250731,165000,29.41,29.44,29.41,29.42,1032,0
HTH.US,5,20250731,165500,29.4397,29.45,29.38,29.385,2847,0
HTH.US,5,20250731,170000,29.4,29.43,29.38,29.43,1035,0
HTH.US,5,20250731,170500,29.445,29.45,29.4,29.4,867,0
HTH.US,5,20250731,171000,29.39,29.41,29.34,29.41,2511,0
HTH.US,5,20250731,171500,29.435,29.435,29.36,29.38,1627,0
HTH.US,5,20250731,172000,29.39,29.39,29.38,29.38,300,0
HTH.US,5,20250731,172500,29.42,29.44,29.42,29.44,735,0
HTH.US,5,20250731,173000,29.43,29.47,29.42,29.46,715,0
HTH.US,5,20250731,173500,29.53,29.53,29.5,29.5,611,0
HTH.US,5,20250731,174000,29.4973,29.53,29.4973,29.51,749,0
HTH.US,5,20250731,174500,29.5,29.51,29.5,29.51,580,0
HTH.US,5,20250731,175500,29.5,29.5,29.475,29.5,813,0
HTH.US,5,20250731,180000,29.51,29.51,29.48,29.48,900,0
HTH.US,5,20250731,180500,29.46,29.5,29.46,29.49,1491,0
HTH.US,5,20250731,181000,29.5,29.5,29.49,29.49,500,0
HTH.US,5,20250731,181500,29.5,29.53,29.5,29.53,988,0
HTH.US,5,20250731,182000,29.54,29.54,29.53,29.54,602,0
HTH.US,5,20250731,182500,29.56,29.56,29.545,29.545,300,0
HTH.US,5,20250731,183000,29.54,29.54,29.54,29.54,407,0
