<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVT-A.US,5,20250807,210000,21.61,21.61,21.61,21.61,100,0
HVT-A.US,5,20250807,211000,21.79,22.24,21.79,22.24,1020,0
HVT-A.US,5,20250807,211500,22.28,22.6,22.2,22.2,590,0
HVT-A.US,5,20250807,212000,23.5,23.5,22.45,22.45,200,0
HVT-A.US,5,20250808,213500,21.28,21.28,21.28,21.28,100,0
HVT-A.US,5,20250808,214000,22.5,22.5,22.5,22.5,1000,0
HVT-A.US,5,20250811,161000,22.59,22.59,22.59,22.59,400,0
HVT-A.US,5,20250812,171500,23.29,23.29,22,23.29,1130,0
HVT-A.US,5,20250812,172000,23.11,23.11,22,22.9,2400,0
HVT-A.US,5,20250814,183500,23.4,23.4,22.32,22.32,1000,0
HVT-A.US,5,20250814,184000,22.32,23.37,22.3,22.94,900,0
HVT-A.US,5,20250814,184500,22.2,22.97,21.97,22,3145,0
HVT-A.US,5,20250814,212500,22.37,22.37,22.3,22.3,600,0
HVT-A.US,5,20250905,215500,23.53,23.53,23.53,23.53,103,0
HVT-A.US,5,20250915,215500,22.01,22.01,22.01,22.01,100,0
HVT-A.US,5,20250924,215500,24.15,24.15,24.15,24.15,117,0
HVT-A.US,5,20250926,202000,21.74,21.74,21.74,21.74,200,0
HVT-A.US,5,20251002,165500,20.99,20.99,20.99,20.99,100,0
HVT-A.US,5,20251007,215500,20.95,20.95,20.95,20.95,100,0
HVT-A.US,5,20251009,215500,20.28,20.28,20.28,20.28,100,0
HVT-A.US,5,20251104,153000,21.8,21.8,21.8,21.8,100,0
HVT-A.US,5,20251105,174500,22.76,22.76,22.76,22.76,200,0
HVT-A.US,5,20251111,193000,22.9,22.9,22.9,22.9,100,0
HVT-A.US,5,20251210,182500,24.84,24.84,24.84,24.84,400,0
HVT-A.US,5,20251219,183000,25.15,25.15,25.15,25.15,100,0
HVT-A.US,5,20251219,215000,25.34,25.34,25.14,25.34,500,0
HVT-A.US,5,20251219,215500,25.105,26.14,25.105,26.14,1640,0
