<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICE.US,5,20250728,153000,183.72,184.66,183.72,184.42,13059,0
ICE.US,5,20250728,153500,184.415,184.415,183.89,183.995,6623,0
ICE.US,5,20250728,154000,183.995,184.15,183.79,183.865,10096,0
ICE.US,5,20250728,154500,183.9525,184.01,183.815,183.845,13426,0
ICE.US,5,20250728,155000,183.835,184.03,183.7,183.75,9661,0
ICE.US,5,20250728,155500,183.75,183.81,183.595,183.64,11672,0
ICE.US,5,20250728,160000,183.605,183.8,183.54,183.77,13825,0
ICE.US,5,20250728,160500,183.79,183.91,183.6,183.795,26759,0
ICE.US,5,20250728,161000,183.8,183.98,183.75,183.75,4523,0
ICE.US,5,20250728,161500,183.83,183.83,183.32,183.395,7181,0
ICE.US,5,20250728,162000,183.395,183.51,183.18,183.29,13581,0
ICE.US,5,20250728,162500,183.31,183.47,183.17,183.285,13412,0
ICE.US,5,20250728,163000,183.3,183.35,183.2,183.325,11218,0
ICE.US,5,20250728,163500,183.345,183.345,183.0678,183.31,8654,0
ICE.US,5,20250728,164000,183.29,183.8,183.1801,183.72,26163,0
ICE.US,5,20250728,164500,183.7,183.7,183.46,183.515,13576,0
ICE.US,5,20250728,165000,183.515,183.57,183.17,183.22,62830,0
ICE.US,5,20250728,165500,183.31,183.31,183.08,183.195,8947,0
ICE.US,5,20250728,170000,183.28,183.28,183.07,183.125,9064,0
ICE.US,5,20250728,170500,183.145,183.17,182.83,183.03,57592,0
ICE.US,5,20250728,171000,183.025,183.17,183.025,183.04,12383,0
ICE.US,5,20250728,171500,182.99,183.22,182.9675,183.165,8958,0
ICE.US,5,20250728,172000,183.15,183.36,183.15,183.36,7973,0
ICE.US,5,20250728,172500,183.3991,183.42,183.265,183.36,9815,0
ICE.US,5,20250728,173000,183.38,183.41,183.16,183.2,9215,0
ICE.US,5,20250728,173500,183.2,183.34,183.16,183.31,10665,0
ICE.US,5,20250728,174000,183.3064,183.32,183.06,183.13,7749,0
ICE.US,5,20250728,174500,183.085,183.12,182.82,182.84,16318,0
ICE.US,5,20250728,175000,182.84,183.1,182.84,183.1,5897,0
ICE.US,5,20250728,175500,183.1,183.15,183.06,183.06,7255,0
ICE.US,5,20250728,180000,183.07,183.07,182.98,183.005,8572,0
ICE.US,5,20250728,180500,183.005,183.03,182.76,182.775,11873,0
