<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDEQ.US,5,20250728,153500,26.762,26.77,26.76,26.76,1538,0
IDEQ.US,5,20250728,161500,26.7086,26.7086,26.7086,26.7086,100,0
IDEQ.US,5,20250728,162000,26.72,26.72,26.72,26.72,200,0
IDEQ.US,5,20250728,162500,26.7133,26.7133,26.7133,26.7133,100,0
IDEQ.US,5,20250728,174000,26.69,26.69,26.69,26.69,200,0
IDEQ.US,5,20250728,181500,26.67,26.67,26.67,26.67,150,0
IDEQ.US,5,20250728,183500,26.67,26.67,26.67,26.67,3408,0
IDEQ.US,5,20250728,195500,26.66,26.66,26.66,26.66,112,0
IDEQ.US,5,20250728,200500,26.65,26.65,26.65,26.65,200,0
IDEQ.US,5,20250728,215000,26.63,26.63,26.6,26.6,2000,0
IDEQ.US,5,20250728,215500,26.62,26.62,26.62,26.62,2005,0
IDEQ.US,5,20250729,154000,26.65,26.65,26.65,26.65,100,0
IDEQ.US,5,20250729,161500,26.64,26.64,26.64,26.64,200,0
IDEQ.US,5,20250729,163000,26.67,26.67,26.67,26.67,299,0
IDEQ.US,5,20250729,172000,26.62,26.62,26.62,26.62,397,0
IDEQ.US,5,20250729,174500,26.61,26.61,26.61,26.61,499,0
IDEQ.US,5,20250729,183500,26.63,26.63,26.63,26.63,400,0
IDEQ.US,5,20250729,190500,26.66,26.66,26.66,26.66,400,0
IDEQ.US,5,20250729,195000,26.66,26.66,26.66,26.66,150,0
IDEQ.US,5,20250729,201000,26.63,26.63,26.63,26.63,400,0
IDEQ.US,5,20250729,201500,26.63,26.63,26.63,26.63,400,0
IDEQ.US,5,20250729,202500,26.64,26.64,26.64,26.64,100,0
IDEQ.US,5,20250729,203500,26.65,26.65,26.65,26.65,299,0
IDEQ.US,5,20250729,204500,26.65,26.65,26.65,26.65,300,0
IDEQ.US,5,20250729,210500,26.65,26.65,26.65,26.65,200,0
IDEQ.US,5,20250729,211000,26.65,26.65,26.65,26.65,200,0
IDEQ.US,5,20250729,212500,26.65,26.65,26.64,26.64,200,0
IDEQ.US,5,20250729,213000,26.64,26.64,26.64,26.64,100,0
IDEQ.US,5,20250729,214000,26.61,26.61,26.61,26.61,100,0
IDEQ.US,5,20250729,215500,26.69,26.69,26.69,26.69,500,0
IDEQ.US,5,20250730,161500,26.63,26.63,26.63,26.63,100,0
IDEQ.US,5,20250730,162500,26.58,26.58,26.58,26.58,100,0
IDEQ.US,5,20250730,164000,26.58,26.58,26.58,26.58,200,0
IDEQ.US,5,20250730,171500,26.53,26.53,26.53,26.53,300,0
IDEQ.US,5,20250730,180500,26.53,26.53,26.53,26.53,400,0
IDEQ.US,5,20250730,184000,26.585,26.585,26.585,26.585,350,0
IDEQ.US,5,20250730,194500,26.615,26.615,26.615,26.615,4931,0
IDEQ.US,5,20250730,195500,26.58,26.58,26.58,26.58,200,0
IDEQ.US,5,20250730,200000,26.54,26.54,26.54,26.54,600,0
IDEQ.US,5,20250730,203000,26.57,26.57,26.56,26.57,600,0
IDEQ.US,5,20250730,205000,26.55,26.55,26.55,26.55,400,0
IDEQ.US,5,20250730,210000,26.38,26.38,26.37,26.37,500,0
IDEQ.US,5,20250730,211500,26.39,26.39,26.39,26.39,400,0
IDEQ.US,5,20250730,212500,26.36,26.36,26.36,26.36,300,0
IDEQ.US,5,20250730,213500,26.35,26.35,26.35,26.35,300,0
IDEQ.US,5,20250730,214000,26.38,26.41,26.38,26.41,944,0
IDEQ.US,5,20250730,215000,26.39,26.41,26.39,26.41,500,0
IDEQ.US,5,20250731,153500,26.385,26.385,26.385,26.385,757,0
IDEQ.US,5,20250731,165500,26.33,26.33,26.33,26.33,100,0
IDEQ.US,5,20250731,174500,26.4,26.4,26.4,26.4,230,0
IDEQ.US,5,20250731,194500,26.2567,26.2567,26.2567,26.2567,350,0
IDEQ.US,5,20250801,171000,26.14,26.14,26.14,26.14,100,0
IDEQ.US,5,20250801,214000,26.13,26.13,26.13,26.13,300,0
IDEQ.US,5,20250801,215500,26.19,26.19,26.19,26.19,4120,0
IDEQ.US,5,20250804,161000,26.47,26.47,26.47,26.47,100,0
IDEQ.US,5,20250804,170000,26.435,26.435,26.435,26.435,1480,0
IDEQ.US,5,20250804,183000,26.48,26.48,26.48,26.48,3408,0
IDEQ.US,5,20250804,210500,26.45,26.45,26.45,26.45,120,0
IDEQ.US,5,20250804,211000,26.46,26.46,26.46,26.46,150,0
IDEQ.US,5,20250804,212000,26.47,26.47,26.47,26.47,150,0
IDEQ.US,5,20250804,212500,26.48,26.48,26.48,26.48,100,0
IDEQ.US,5,20250804,213000,26.47,26.47,26.47,26.47,100,0
IDEQ.US,5,20250804,214000,26.46,26.46,26.46,26.46,180,0
IDEQ.US,5,20250804,214500,26.47,26.47,26.47,26.47,100,0
IDEQ.US,5,20250804,215000,26.46,26.53,26.46,26.53,400,0
IDEQ.US,5,20250804,215500,26.47,26.54,26.47,26.54,2943,0
IDEQ.US,5,20250805,182000,26.5869,26.5869,26.5869,26.5869,301,0
IDEQ.US,5,20250805,184000,26.6,26.6,26.6,26.6,200,0
IDEQ.US,5,20250805,201500,26.59,26.59,26.59,26.59,100,0
IDEQ.US,5,20250805,202000,26.57,26.57,26.57,26.57,100,0
IDEQ.US,5,20250805,215500,26.59,26.59,26.59,26.59,482,0
IDEQ.US,5,20250806,183000,26.732,26.732,26.725,26.725,440,0
IDEQ.US,5,20250806,184000,26.7363,26.7363,26.7363,26.7363,100,0
IDEQ.US,5,20250806,184500,26.701,26.701,26.701,26.701,100,0
IDEQ.US,5,20250806,204000,26.77,26.79,26.76,26.79,2995,0
IDEQ.US,5,20250806,215500,26.79,26.79,26.79,26.79,309,0
IDEQ.US,5,20250807,154000,26.985,26.985,26.985,26.985,125,0
IDEQ.US,5,20250807,162500,26.92,26.92,26.92,26.92,298,0
IDEQ.US,5,20250807,174000,26.8776,26.8776,26.8776,26.8776,800,0
IDEQ.US,5,20250807,174500,26.8824,26.8824,26.8824,26.8824,152,0
IDEQ.US,5,20250807,201500,26.88,26.88,26.88,26.88,100,0
IDEQ.US,5,20250807,214000,26.885,26.885,26.885,26.885,150,0
IDEQ.US,5,20250807,215500,26.87,26.88,26.87,26.88,7816,0
IDEQ.US,5,20250808,154000,26.98,26.98,26.98,26.98,741,0
IDEQ.US,5,20250808,162500,27.0032,27.0032,27.0032,27.0032,100,0
IDEQ.US,5,20250808,215500,26.91,26.91,26.91,26.91,5491,0
IDEQ.US,5,20250811,153000,27,27,26.95,26.95,350,0
IDEQ.US,5,20250811,164000,26.8999,26.8999,26.8999,26.8999,1000,0
IDEQ.US,5,20250811,165500,26.87,26.88,26.84,26.84,2060,0
IDEQ.US,5,20250811,185500,26.8991,26.8991,26.8991,26.8991,474,0
IDEQ.US,5,20250811,190000,26.88,26.88,26.88,26.88,300,0
IDEQ.US,5,20250811,203000,26.89,26.9,26.89,26.89,1088,0
IDEQ.US,5,20250811,214000,26.8829,26.8829,26.8829,26.8829,100,0
IDEQ.US,5,20250811,215500,26.84,26.84,26.84,26.84,1548,0
IDEQ.US,5,20250812,163500,27.08,27.08,27.08,27.08,100,0
IDEQ.US,5,20250812,165000,27.12,27.12,27.12,27.12,1564,0
IDEQ.US,5,20250812,214500,27.202,27.202,27.202,27.202,100,0
IDEQ.US,5,20250812,215500,27.19,27.19,27.19,27.19,1111,0
IDEQ.US,5,20250813,160000,27.4456,27.4456,27.4456,27.4456,456,0
IDEQ.US,5,20250813,161000,27.45,27.45,27.45,27.45,100,0
IDEQ.US,5,20250813,171500,27.38,27.38,27.38,27.38,100,0
IDEQ.US,5,20250813,173000,27.4,27.4,27.4,27.4,160,0
IDEQ.US,5,20250813,174500,27.41,27.41,27.41,27.41,100,0
IDEQ.US,5,20250813,180000,27.38,27.38,27.38,27.38,100,0
IDEQ.US,5,20250813,183000,27.39,27.39,27.39,27.39,100,0
IDEQ.US,5,20250813,184500,27.38,27.38,27.38,27.38,100,0
IDEQ.US,5,20250813,185500,27.37,27.37,27.37,27.37,200,0
IDEQ.US,5,20250813,192000,27.37,27.37,27.37,27.37,200,0
IDEQ.US,5,20250813,194000,27.39,27.39,27.39,27.39,100,0
IDEQ.US,5,20250813,195000,27.37,27.37,27.37,27.37,200,0
IDEQ.US,5,20250813,201000,27.37,27.37,27.37,27.37,100,0
IDEQ.US,5,20250813,202500,27.37,27.37,27.36,27.36,220,0
IDEQ.US,5,20250813,204000,27.36,27.36,27.36,27.36,200,0
IDEQ.US,5,20250813,205500,27.37,27.37,27.37,27.37,160,0
IDEQ.US,5,20250813,210500,27.37,27.37,27.37,27.37,100,0
IDEQ.US,5,20250813,212500,27.38,27.38,27.38,27.38,100,0
IDEQ.US,5,20250813,213000,27.37,27.37,27.37,27.37,100,0
IDEQ.US,5,20250813,215000,27.3901,27.46,27.3901,27.46,2705,0
IDEQ.US,5,20250813,215500,27.4,27.425,27.31,27.31,12232,0
IDEQ.US,5,20250814,155000,27.2768,27.2768,27.2768,27.2768,136,0
IDEQ.US,5,20250814,160000,27.28,27.28,27.28,27.28,100,0
IDEQ.US,5,20250814,162500,27.289,27.289,27.289,27.289,122,0
IDEQ.US,5,20250814,164500,27.29,27.29,27.29,27.29,160,0
IDEQ.US,5,20250814,170500,27.34,27.34,27.34,27.34,1845,0
IDEQ.US,5,20250814,175000,27.29,27.29,27.29,27.29,125,0
IDEQ.US,5,20250814,181000,27.3197,27.3197,27.3197,27.3197,121,0
IDEQ.US,5,20250814,184000,27.3,27.3,27.3,27.3,200,0
IDEQ.US,5,20250814,185500,27.3,27.3,27.3,27.3,435,0
IDEQ.US,5,20250814,202500,27.3214,27.3214,27.3214,27.3214,156,0
IDEQ.US,5,20250814,213000,27.35,27.36,27.35,27.35,300,0
IDEQ.US,5,20250814,214000,27.34,27.34,27.32,27.32,400,0
IDEQ.US,5,20250814,214500,27.34,27.34,27.34,27.34,100,0
IDEQ.US,5,20250814,215000,27.334,27.334,27.334,27.334,100,0
IDEQ.US,5,20250814,215500,27.3599,27.3599,27.28,27.28,5880,0
IDEQ.US,5,20250815,160000,27.45,27.45,27.45,27.45,400,0
IDEQ.US,5,20250815,163000,27.42,27.42,27.42,27.42,100,0
IDEQ.US,5,20250815,170000,27.425,27.425,27.425,27.425,100,0
IDEQ.US,5,20250815,200500,27.405,27.42,27.405,27.42,300,0
IDEQ.US,5,20250815,201000,27.42,27.42,27.42,27.42,200,0
IDEQ.US,5,20250815,204000,27.405,27.44,27.405,27.43,14651,0
IDEQ.US,5,20250815,204500,27.43,27.43,27.43,27.43,2700,0
IDEQ.US,5,20250815,205500,27.43,27.43,27.43,27.43,100,0
IDEQ.US,5,20250815,210000,27.4,27.4,27.4,27.4,200,0
IDEQ.US,5,20250815,211500,27.4,27.46,27.4,27.42,21320,0
IDEQ.US,5,20250815,212000,27.42,27.42,27.395,27.395,698,0
IDEQ.US,5,20250815,213000,27.41,27.44,27.41,27.435,5800,0
IDEQ.US,5,20250815,214000,27.427,27.46,27.382,27.44,13751,0
IDEQ.US,5,20250815,214500,27.382,27.3856,27.382,27.3856,200,0
IDEQ.US,5,20250815,215000,27.392,27.43,27.392,27.43,64015,0
IDEQ.US,5,20250815,215500,27.41,27.45,27.4,27.4,8196,0
IDEQ.US,5,20250818,154500,27.42,27.44,27.4,27.42,1495,0
IDEQ.US,5,20250818,161000,27.39,27.39,27.39,27.39,100,0
IDEQ.US,5,20250818,161500,27.44,27.44,27.44,27.44,100,0
IDEQ.US,5,20250818,165000,27.4,27.4,27.4,27.4,26700,0
IDEQ.US,5,20250818,170000,27.38,27.51,27.38,27.51,16482,0
IDEQ.US,5,20250818,172000,27.42,27.42,27.42,27.42,100,0
IDEQ.US,5,20250818,172500,27.42,27.44,27.42,27.42,72377,0
IDEQ.US,5,20250818,173000,27.42,27.48,27.42,27.44,4100,0
IDEQ.US,5,20250818,175000,27.4292,27.46,27.4292,27.4593,7801,0
IDEQ.US,5,20250818,180500,27.45,27.4527,27.45,27.4527,5347,0
IDEQ.US,5,20250818,181000,27.47,27.47,27.4692,27.4692,2089,0
IDEQ.US,5,20250818,181500,27.4565,27.4565,27.4565,27.4565,158,0
IDEQ.US,5,20250818,183000,27.47,27.47,27.47,27.47,1900,0
IDEQ.US,5,20250818,185000,27.47,27.47,27.47,27.47,810,0
IDEQ.US,5,20250818,185500,27.47,27.47,27.47,27.47,100,0
IDEQ.US,5,20250818,194000,27.46,27.46,27.46,27.46,1820,0
IDEQ.US,5,20250818,195500,27.465,27.465,27.465,27.465,900,0
IDEQ.US,5,20250818,212500,27.47,27.47,27.466,27.466,1888,0
IDEQ.US,5,20250818,213000,27.465,27.465,27.465,27.465,286,0
IDEQ.US,5,20250818,214500,27.475,27.475,27.475,27.475,200,0
IDEQ.US,5,20250818,215000,27.45,27.45,27.45,27.45,300,0
IDEQ.US,5,20250818,215500,27.475,27.52,27.46,27.46,8555,0
IDEQ.US,5,20250819,153000,27.46,27.46,27.46,27.46,1800,0
IDEQ.US,5,20250819,154000,27.49,27.53,27.49,27.53,66677,0
IDEQ.US,5,20250819,161500,27.48,27.48,27.48,27.48,100,0
IDEQ.US,5,20250819,164500,27.4447,27.4447,27.4435,27.4435,6662,0
IDEQ.US,5,20250819,170500,27.44,27.44,27.44,27.44,100,0
IDEQ.US,5,20250819,175000,27.41,27.41,27.4099,27.4099,200,0
IDEQ.US,5,20250819,184500,27.39,27.39,27.3899,27.3899,200,0
IDEQ.US,5,20250819,190000,27.38,27.38,27.38,27.38,200,0
IDEQ.US,5,20250819,190500,27.325,27.325,27.325,27.325,177,0
IDEQ.US,5,20250819,191000,27.3599,27.3599,27.3599,27.3599,480,0
IDEQ.US,5,20250819,201000,27.33,27.33,27.33,27.33,460,0
IDEQ.US,5,20250819,202000,27.34,27.34,27.34,27.34,100,0
IDEQ.US,5,20250819,210000,27.32,27.32,27.31,27.31,500,0
IDEQ.US,5,20250819,211500,27.31,27.32,27.31,27.32,2500,0
IDEQ.US,5,20250819,213000,27.305,27.31,27.305,27.31,1000,0
IDEQ.US,5,20250819,213500,27.325,27.325,27.31,27.31,1200,0
IDEQ.US,5,20250819,214000,27.31,27.31,27.31,27.31,400,0
IDEQ.US,5,20250819,215000,27.315,27.325,27.315,27.325,5138,0
IDEQ.US,5,20250819,215500,27.32,27.335,27.22,27.22,44171,0
IDEQ.US,5,20250820,155000,27.35,27.35,27.35,27.35,609,0
IDEQ.US,5,20250820,170000,27.28,27.28,27.28,27.28,100,0
IDEQ.US,5,20250820,175500,27.32,27.32,27.32,27.32,100,0
IDEQ.US,5,20250820,190000,27.39,27.39,27.39,27.39,16178,0
IDEQ.US,5,20250820,200500,27.31,27.31,27.31,27.31,100,0
IDEQ.US,5,20250820,202000,27.34,27.35,27.339,27.339,1000,0
IDEQ.US,5,20250820,203500,27.36,27.36,27.36,27.36,500,0
IDEQ.US,5,20250820,204000,27.3576,27.3576,27.3576,27.3576,128,0
IDEQ.US,5,20250820,214000,27.375,27.375,27.35,27.352,700,0
IDEQ.US,5,20250820,215500,27.38,27.4,27.32,27.32,7078,0
IDEQ.US,5,20250821,153000,27.329,27.34,27.2458,27.34,20024,0
IDEQ.US,5,20250821,170000,27.37,27.37,27.37,27.37,323,0
IDEQ.US,5,20250821,171500,27.34,27.35,27.34,27.35,1998,0
IDEQ.US,5,20250821,172000,27.37,27.37,27.3699,27.3699,2920,0
IDEQ.US,5,20250821,175500,27.35,27.35,27.35,27.35,324,0
IDEQ.US,5,20250821,180000,27.34,27.34,27.34,27.34,153,0
IDEQ.US,5,20250821,180500,27.34,27.34,27.34,27.34,100,0
IDEQ.US,5,20250821,181000,27.34,27.34,27.34,27.34,200,0
IDEQ.US,5,20250821,184500,27.3076,27.3076,27.3076,27.3076,815,0
IDEQ.US,5,20250821,185000,27.321,27.321,27.321,27.321,700,0
IDEQ.US,5,20250821,185500,27.36,27.36,27.3585,27.3585,486,0
IDEQ.US,5,20250821,190000,27.35,27.35,27.35,27.35,210,0
IDEQ.US,5,20250821,193000,27.34,27.34,27.34,27.34,1500,0
IDEQ.US,5,20250821,194000,27.37,27.37,27.3699,27.37,2185,0
IDEQ.US,5,20250821,194500,27.38,27.38,27.38,27.38,127,0
IDEQ.US,5,20250821,214500,27.35,27.35,27.315,27.315,200,0
IDEQ.US,5,20250821,215500,27.31,27.36,27.29,27.3,14844,0
IDEQ.US,5,20250822,153500,27.5,27.5,27.5,27.5,400,0
IDEQ.US,5,20250822,161500,27.83,27.86,27.83,27.86,1772,0
