<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVR_C.US,5,20250728,165500,23.9449,23.9449,23.9449,23.9449,825,0
IVR_C.US,5,20250728,170000,23.95,23.95,23.9449,23.9449,750,0
IVR_C.US,5,20250728,174500,23.95,23.95,23.95,23.95,100,0
IVR_C.US,5,20250728,180000,23.46,23.46,23.46,23.46,500,0
IVR_C.US,5,20250728,183000,23.769,23.935,23.769,23.92,2512,0
IVR_C.US,5,20250728,183500,23.9101,23.92,23.9101,23.92,200,0
IVR_C.US,5,20250728,190000,23.88,23.88,23.88,23.88,100,0
IVR_C.US,5,20250728,191000,23.8687,23.8687,23.8687,23.8687,1000,0
IVR_C.US,5,20250728,193500,24.0191,24.0191,24.0191,24.0191,1000,0
IVR_C.US,5,20250728,195000,24.13,24.26,24.0149,24.14,1000,0
IVR_C.US,5,20250728,195500,24.1,24.17,23.9546,23.9546,990,0
IVR_C.US,5,20250728,200000,23.9546,23.9546,23.9546,23.9546,110,0
IVR_C.US,5,20250728,201000,24.09,24.09,24.09,24.09,100,0
IVR_C.US,5,20250728,203000,24.01,24.02,23.96,23.96,1100,0
IVR_C.US,5,20250728,203500,24.06,24.06,23.94,23.94,323,0
IVR_C.US,5,20250728,205000,24.07,24.07,23.965,23.965,200,0
IVR_C.US,5,20250728,213000,23.98,24.25,23.98,24.25,361,0
IVR_C.US,5,20250728,215500,24.02,24.02,24.01,24.01,300,0
IVR_C.US,5,20250729,153500,23.5,23.5,23.5,23.5,334,0
IVR_C.US,5,20250729,154500,23.6966,23.6966,23.6966,23.6966,300,0
IVR_C.US,5,20250729,155000,24.1879,24.1879,24.1879,24.1879,100,0
IVR_C.US,5,20250729,155500,24.24,24.24,24.24,24.24,300,0
IVR_C.US,5,20250729,160000,24.22,24.22,24.22,24.22,300,0
IVR_C.US,5,20250729,160500,24.2,24.2,24.2,24.2,100,0
IVR_C.US,5,20250729,163000,24.19,24.2,24.19,24.2,200,0
IVR_C.US,5,20250729,165000,24.22,24.22,24.22,24.22,200,0
IVR_C.US,5,20250729,170500,24.29,24.32,24.29,24.32,300,0
IVR_C.US,5,20250729,173500,24.31,24.31,24.31,24.31,200,0
IVR_C.US,5,20250729,174000,24.29,24.29,24.24,24.24,700,0
IVR_C.US,5,20250729,181500,24.31,24.31,24.31,24.31,300,0
IVR_C.US,5,20250729,182000,24.2507,24.2507,24.2507,24.2507,100,0
IVR_C.US,5,20250729,184000,24.295,24.3,24.295,24.295,300,0
IVR_C.US,5,20250729,191000,24.29,24.32,24.27,24.32,933,0
IVR_C.US,5,20250729,191500,24.315,24.45,24.315,24.3482,1816,0
IVR_C.US,5,20250729,192000,24.61,24.61,24.3823,24.3823,600,0
IVR_C.US,5,20250729,193000,24.49,24.49,24.3801,24.3801,300,0
IVR_C.US,5,20250729,194000,24.38,24.38,24.38,24.38,600,0
IVR_C.US,5,20250729,200500,24.39,24.4,24.33,24.395,800,0
IVR_C.US,5,20250729,201000,24.39,24.4,24.39,24.4,200,0
IVR_C.US,5,20250729,215500,24.4,24.4,24.37,24.37,200,0
IVR_C.US,5,20250730,161000,24.4,24.4,24.4,24.4,685,0
IVR_C.US,5,20250730,162500,24.25,24.25,24.25,24.25,400,0
IVR_C.US,5,20250730,163500,24.2,24.2,24.2,24.2,560,0
IVR_C.US,5,20250730,164000,23.865,23.865,23.865,23.865,346,0
IVR_C.US,5,20250730,173000,24.45,24.45,24.175,24.175,750,0
IVR_C.US,5,20250730,175000,24.1,24.125,24.1,24.1,2197,0
IVR_C.US,5,20250730,181000,24.25,24.45,24.25,24.45,335,0
IVR_C.US,5,20250730,184500,24.318,24.318,24.318,24.318,106,0
IVR_C.US,5,20250730,195500,24.2831,24.2831,24.2831,24.2831,100,0
IVR_C.US,5,20250730,211000,24.35,24.35,24.32,24.35,2049,0
IVR_C.US,5,20250731,173000,24.01,24.21,24.01,24.21,300,0
IVR_C.US,5,20250731,173500,24.08,24.08,24.08,24.08,100,0
IVR_C.US,5,20250731,174000,24.1,24.1,24.1,24.1,200,0
IVR_C.US,5,20250731,174500,24.25,24.29,24.23,24.23,600,0
IVR_C.US,5,20250731,175000,24.28,24.28,24.28,24.28,229,0
IVR_C.US,5,20250731,194000,24.28,24.28,24.28,24.28,654,0
IVR_C.US,5,20250731,194500,24.27,24.27,24.27,24.27,1684,0
IVR_C.US,5,20250731,202500,24.2867,24.2867,24.2867,24.2867,675,0
IVR_C.US,5,20250731,204500,24.27,24.27,24.27,24.27,100,0
IVR_C.US,5,20250731,210000,24.28,24.35,24.28,24.34,1200,0
IVR_C.US,5,20250731,211500,24.27,24.27,24.18,24.18,200,0
IVR_C.US,5,20250731,213500,24.18,24.18,24.18,24.18,100,0
IVR_C.US,5,20250731,214000,24.3277,24.34,24.3277,24.34,204,0
IVR_C.US,5,20250731,214500,24.2305,24.2305,24.13,24.13,300,0
IVR_C.US,5,20250801,162500,23.6924,23.6924,23.6924,23.6924,640,0
IVR_C.US,5,20250801,164000,23.8,23.8,23.8,23.8,300,0
IVR_C.US,5,20250801,171500,24.1162,24.1162,24.1162,24.1162,294,0
IVR_C.US,5,20250801,190500,24.2,24.2,24.19,24.2,3222,0
IVR_C.US,5,20250801,204000,24.145,24.2,24.145,24.2,404,0
IVR_C.US,5,20250801,212000,24.15,24.2,24.145,24.145,400,0
IVR_C.US,5,20250801,214500,24.14,24.145,24.1,24.145,300,0
IVR_C.US,5,20250801,215000,24.1,24.1,24.07,24.1,700,0
IVR_C.US,5,20250801,215500,24.13,24.13,24.12,24.12,551,0
IVR_C.US,5,20250804,160500,24.09,24.09,24,24,400,0
IVR_C.US,5,20250804,164000,24.055,24.055,24.055,24.055,127,0
IVR_C.US,5,20250804,164500,23.93,23.93,23.93,23.93,400,0
IVR_C.US,5,20250804,165000,24.06,24.06,24.06,24.06,352,0
IVR_C.US,5,20250804,171500,24.1,24.11,24.1,24.11,200,0
IVR_C.US,5,20250804,172000,24.15,24.19,24.15,24.19,505,0
IVR_C.US,5,20250804,181000,24.1775,24.2,24.175,24.175,385,0
IVR_C.US,5,20250804,182000,24.25,24.25,24.25,24.25,200,0
IVR_C.US,5,20250804,185000,24.318,24.318,24.318,24.318,1552,0
IVR_C.US,5,20250804,191500,24.33,24.33,24.33,24.33,200,0
IVR_C.US,5,20250804,203500,24.32,24.32,24.32,24.32,726,0
IVR_C.US,5,20250804,204000,24.2,24.26,24.2,24.26,200,0
IVR_C.US,5,20250804,210000,24.1575,24.1575,24.1575,24.1575,1270,0
IVR_C.US,5,20250804,215500,24.16,24.16,24.16,24.16,100,0
IVR_C.US,5,20250805,154500,24.325,24.325,24.325,24.325,100,0
IVR_C.US,5,20250805,163500,24.22,24.22,24.22,24.22,509,0
IVR_C.US,5,20250805,165000,24.32,24.32,24.3,24.32,964,0
IVR_C.US,5,20250805,172500,24.25,24.25,24.25,24.25,212,0
IVR_C.US,5,20250805,183000,24.2181,24.2181,24.1501,24.1501,634,0
IVR_C.US,5,20250805,184500,24.25,24.25,24.25,24.25,139,0
IVR_C.US,5,20250805,191000,24.1501,24.1501,24.1501,24.1501,214,0
IVR_C.US,5,20250805,194000,24.25,24.25,24.24,24.24,300,0
IVR_C.US,5,20250805,195500,24.25,24.25,24.25,24.25,563,0
IVR_C.US,5,20250805,204500,24.3233,24.3233,24.3233,24.3233,108,0
IVR_C.US,5,20250805,212000,24.35,24.35,24.33,24.35,2085,0
IVR_C.US,5,20250805,212500,24.25,24.25,24.25,24.25,300,0
IVR_C.US,5,20250806,153000,24.15,24.15,24.15,24.15,300,0
IVR_C.US,5,20250806,155500,24.125,24.125,24.125,24.125,200,0
IVR_C.US,5,20250806,180000,24.125,24.125,24.125,24.125,425,0
IVR_C.US,5,20250806,181500,24.12,24.12,24.12,24.12,462,0
IVR_C.US,5,20250806,182000,24.055,24.055,24.055,24.055,100,0
IVR_C.US,5,20250806,201000,24.025,24.05,24.025,24.025,400,0
IVR_C.US,5,20250806,210000,24.105,24.105,24.105,24.105,200,0
IVR_C.US,5,20250807,155500,24.34,24.34,24.2973,24.2973,265,0
IVR_C.US,5,20250807,161000,24.3,24.325,24.3,24.3,400,0
IVR_C.US,5,20250807,162500,24.28,24.28,24.1022,24.1022,2875,0
IVR_C.US,5,20250807,171500,24.25,24.25,24.25,24.25,100,0
IVR_C.US,5,20250807,174000,24.24,24.26,24.2294,24.2294,1000,0
IVR_C.US,5,20250807,174500,24.26,24.26,24.26,24.26,100,0
IVR_C.US,5,20250807,175000,24.27,24.27,24.27,24.27,130,0
IVR_C.US,5,20250807,181000,24.25,24.25,24.25,24.25,100,0
IVR_C.US,5,20250807,183000,24.27,24.27,24.27,24.27,100,0
IVR_C.US,5,20250807,184500,24.27,24.27,24.27,24.27,100,0
IVR_C.US,5,20250807,190500,24.25,24.25,24.25,24.25,100,0
IVR_C.US,5,20250807,192500,24.27,24.27,24.27,24.27,100,0
IVR_C.US,5,20250807,194500,24.27,24.27,24.27,24.27,100,0
IVR_C.US,5,20250807,201500,24.27,24.27,24.27,24.27,100,0
IVR_C.US,5,20250807,203500,24.3435,24.3435,24.31,24.31,220,0
