<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVZ.US,5,20250728,153000,21.76,21.81,21.52,21.535,71959,0
IVZ.US,5,20250728,153500,21.535,21.61,21.48,21.535,149825,0
IVZ.US,5,20250728,154000,21.535,21.59,21.5,21.58,215033,0
IVZ.US,5,20250728,154500,21.6,21.72,21.6,21.7,116110,0
IVZ.US,5,20250728,155000,21.7,21.7,21.635,21.64,20165,0
IVZ.US,5,20250728,155500,21.63,21.7,21.61,21.68,48514,0
IVZ.US,5,20250728,160000,21.675,21.695,21.605,21.645,71854,0
IVZ.US,5,20250728,160500,21.645,21.685,21.63,21.655,47921,0
IVZ.US,5,20250728,161000,21.66,21.765,21.655,21.7646,63269,0
IVZ.US,5,20250728,161500,21.76,21.76,21.7103,21.715,52488,0
IVZ.US,5,20250728,162000,21.72,21.75,21.665,21.665,34899,0
IVZ.US,5,20250728,162500,21.66,21.715,21.64,21.715,34066,0
IVZ.US,5,20250728,163000,21.715,21.73,21.695,21.71,48981,0
IVZ.US,5,20250728,163500,21.715,21.735,21.66,21.675,116402,0
IVZ.US,5,20250728,164000,21.675,21.68,21.645,21.6701,30386,0
IVZ.US,5,20250728,164500,21.6707,21.6707,21.635,21.65,18998,0
IVZ.US,5,20250728,165000,21.655,21.6765,21.635,21.64,29286,0
IVZ.US,5,20250728,165500,21.635,21.665,21.62,21.64,36764,0
IVZ.US,5,20250728,170000,21.64,21.68,21.63,21.675,28977,0
IVZ.US,5,20250728,170500,21.675,21.68,21.65,21.65,21620,0
IVZ.US,5,20250728,171000,21.6501,21.69,21.64,21.655,66749,0
IVZ.US,5,20250728,171500,21.655,21.665,21.62,21.635,26224,0
IVZ.US,5,20250728,172000,21.6399,21.67,21.615,21.65,26486,0
IVZ.US,5,20250728,172500,21.65,21.65,21.605,21.635,28726,0
IVZ.US,5,20250728,173000,21.63,21.64,21.624,21.64,15020,0
IVZ.US,5,20250728,173500,21.645,21.66,21.635,21.635,21422,0
IVZ.US,5,20250728,174000,21.645,21.67,21.645,21.655,23847,0
IVZ.US,5,20250728,174500,21.65,21.67,21.65,21.665,8674,0
IVZ.US,5,20250728,175000,21.67,21.695,21.67,21.685,35701,0
IVZ.US,5,20250728,175500,21.685,21.72,21.685,21.695,58278,0
IVZ.US,5,20250728,180000,21.695,21.715,21.68,21.715,8131,0
IVZ.US,5,20250728,180500,21.72,21.75,21.71,21.745,17635,0
IVZ.US,5,20250728,181000,21.745,21.77,21.725,21.765,26215,0
IVZ.US,5,20250728,181500,21.76,21.775,21.755,21.765,12071,0
IVZ.US,5,20250728,182000,21.765,21.765,21.755,21.765,10079,0
IVZ.US,5,20250728,182500,21.76,21.76,21.73,21.735,11926,0
