<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KNX.US,5,20250728,153000,44.76,44.84,44.325,44.615,9858,0
KNX.US,5,20250728,153500,44.615,44.62,44.31,44.36,8762,0
KNX.US,5,20250728,154000,44.31,44.415,44.1535,44.1535,31672,0
KNX.US,5,20250728,154500,44.255,44.35,43.73,43.78,88856,0
KNX.US,5,20250728,155000,43.78,43.86,43.6,43.825,75518,0
KNX.US,5,20250728,155500,43.825,44,43.825,43.93,18511,0
KNX.US,5,20250728,160000,43.97,44.1,43.94,44.09,33834,0
KNX.US,5,20250728,160500,44.09,44.17,43.96,44.06,29511,0
KNX.US,5,20250728,161000,44.06,44.25,44.06,44.25,18805,0
KNX.US,5,20250728,161500,44.24,44.24,44.05,44.08,30548,0
KNX.US,5,20250728,162000,44.09,44.12,44.04,44.085,30541,0
KNX.US,5,20250728,162500,44.07,44.2,43.985,44.16,22285,0
KNX.US,5,20250728,163000,44.15,44.27,44.08,44.215,35509,0
KNX.US,5,20250728,163500,44.22,44.3,44.19,44.19,15826,0
KNX.US,5,20250728,164000,44.18,44.26,44.175,44.25,29808,0
KNX.US,5,20250728,164500,44.27,44.29,44.16,44.28,39509,0
KNX.US,5,20250728,165000,44.27,44.34,44.23,44.28,35261,0
KNX.US,5,20250728,165500,44.26,44.34,44.24,44.26,100906,0
KNX.US,5,20250728,170000,44.3,44.53,44.22,44.495,40894,0
KNX.US,5,20250728,170500,44.51,44.54,44.44,44.44,32387,0
KNX.US,5,20250728,171000,44.43,44.54,44.39,44.5,21142,0
KNX.US,5,20250728,171500,44.515,44.515,44.33,44.38,23491,0
KNX.US,5,20250728,172000,44.37,44.43,44.34,44.35,24613,0
KNX.US,5,20250728,172500,44.35,44.36,44.25,44.32,28804,0
KNX.US,5,20250728,173000,44.3,44.38,44.27,44.375,35361,0
KNX.US,5,20250728,173500,44.375,44.48,44.375,44.45,13327,0
KNX.US,5,20250728,174000,44.44,44.56,44.44,44.56,44418,0
KNX.US,5,20250728,174500,44.56,44.63,44.49,44.585,14461,0
KNX.US,5,20250728,175000,44.585,44.59,44.54,44.56,11485,0
KNX.US,5,20250728,175500,44.57,44.58,44.53,44.54,13955,0
KNX.US,5,20250728,180000,44.54,44.595,44.51,44.53,20877,0
KNX.US,5,20250728,180500,44.55,44.685,44.55,44.66,17221,0
KNX.US,5,20250728,181000,44.645,44.72,44.55,44.55,59316,0
KNX.US,5,20250728,181500,44.55,44.6125,44.54,44.6,14302,0
KNX.US,5,20250728,182000,44.595,44.595,44.51,44.57,11636,0
KNX.US,5,20250728,182500,44.58,44.61,44.55,44.595,14596,0
KNX.US,5,20250728,183000,44.595,44.65,44.5875,44.65,10469,0
KNX.US,5,20250728,183500,44.65,44.66,44.55,44.57,9168,0
KNX.US,5,20250728,184000,44.56,44.6,44.53,44.57,13224,0
KNX.US,5,20250728,184500,44.56,44.57,44.5,44.5,15268,0
KNX.US,5,20250728,185000,44.51,44.575,44.49,44.56,27893,0
KNX.US,5,20250728,185500,44.57,44.57,44.51,44.54,15524,0
KNX.US,5,20250728,190000,44.55,44.62,44.51,44.52,15765,0
KNX.US,5,20250728,190500,44.51,44.575,44.5,44.56,13862,0
KNX.US,5,20250728,191000,44.56,44.56,44.495,44.55,16896,0
KNX.US,5,20250728,191500,44.55,44.555,44.45,44.465,39893,0
KNX.US,5,20250728,192000,44.45,44.45,44.24,44.26,25259,0
KNX.US,5,20250728,192500,44.255,44.35,44.24,44.295,20427,0
KNX.US,5,20250728,193000,44.295,44.32,44.19,44.23,17647,0
KNX.US,5,20250728,193500,44.23,44.26,44.15,44.185,13831,0
KNX.US,5,20250728,194000,44.2,44.22,44.18,44.205,10039,0
KNX.US,5,20250728,194500,44.205,44.32,44.19,44.32,16456,0
KNX.US,5,20250728,195000,44.3,44.325,44.275,44.29,16959,0
KNX.US,5,20250728,195500,44.29,44.3,44.2,44.25,17780,0
KNX.US,5,20250728,200000,44.24,44.25,44.18,44.21,9325,0
KNX.US,5,20250728,200500,44.21,44.27,44.15,44.27,23717,0
KNX.US,5,20250728,201000,44.26,44.345,44.25,44.26,12879,0
KNX.US,5,20250728,201500,44.26,44.27,44.22,44.22,16342,0
KNX.US,5,20250728,202000,44.21,44.265,44.21,44.25,10780,0
KNX.US,5,20250728,202500,44.24,44.29,44.22,44.285,18000,0
KNX.US,5,20250728,203000,44.285,44.365,44.28,44.35,25197,0
KNX.US,5,20250728,203500,44.35,44.36,44.23,44.29,29342,0
KNX.US,5,20250728,204000,44.27,44.36,44.26,44.34,30528,0
KNX.US,5,20250728,204500,44.35,44.39,44.29,44.375,70350,0
KNX.US,5,20250728,205000,44.38,44.405,44.3,44.32,22644,0
KNX.US,5,20250728,205500,44.3,44.36,44.29,44.3,19294,0
