<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KT.US,5,20250728,153000,20,20.386,20,20.11,26637,0
KT.US,5,20250728,153500,20.12,20.16,20.115,20.15,3122,0
KT.US,5,20250728,154000,20.15,20.2,20.14,20.18,7273,0
KT.US,5,20250728,154500,20.19,20.21,20.13,20.13,4147,0
KT.US,5,20250728,155000,20.15,20.17,20.15,20.17,5505,0
KT.US,5,20250728,155500,20.17,20.17,20.13,20.14,5255,0
KT.US,5,20250728,160000,20.15,20.16,20.11,20.11,4965,0
KT.US,5,20250728,160500,20.11,20.11,20.09,20.1,4448,0
KT.US,5,20250728,161000,20.1,20.11,20.08,20.085,11042,0
KT.US,5,20250728,161500,20.085,20.125,20.08,20.125,15144,0
KT.US,5,20250728,162000,20.125,20.15,20.115,20.15,8833,0
KT.US,5,20250728,162500,20.15,20.2,20.15,20.1707,3890,0
KT.US,5,20250728,163000,20.17,20.175,20.1635,20.1635,2552,0
KT.US,5,20250728,163500,20.17,20.17,20.1617,20.17,1288,0
KT.US,5,20250728,164000,20.18,20.18,20.16,20.17,8167,0
KT.US,5,20250728,164500,20.165,20.18,20.165,20.175,5136,0
KT.US,5,20250728,165000,20.17,20.17,20.15,20.15,3206,0
KT.US,5,20250728,165500,20.16,20.165,20.155,20.165,2434,0
KT.US,5,20250728,170000,20.16,20.19,20.155,20.19,5187,0
KT.US,5,20250728,170500,20.185,20.185,20.155,20.175,7932,0
KT.US,5,20250728,171000,20.18,20.19,20.175,20.18,5170,0
KT.US,5,20250728,171500,20.185,20.25,20.185,20.24,22750,0
KT.US,5,20250728,172000,20.24,20.245,20.23,20.235,4721,0
KT.US,5,20250728,172500,20.24,20.24,20.23,20.235,1400,0
KT.US,5,20250728,173000,20.24,20.25,20.22,20.24,14641,0
KT.US,5,20250728,173500,20.24,20.2499,20.24,20.245,6113,0
KT.US,5,20250728,174000,20.245,20.245,20.22,20.23,5218,0
KT.US,5,20250728,174500,20.22,20.23,20.07,20.095,141806,0
