<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LHX.US,5,20250728,153000,270.625,270.8899,269.015,269.015,7595,0
LHX.US,5,20250728,153500,269.075,269.83,268.61,268.625,7737,0
LHX.US,5,20250728,154000,268.46,269.35,268.46,269.34,12847,0
LHX.US,5,20250728,154500,269.44,269.54,268.37,269.075,22289,0
LHX.US,5,20250728,155000,269.13,269.25,268.695,268.95,7267,0
LHX.US,5,20250728,155500,268.7541,268.76,268.0961,268.195,8514,0
LHX.US,5,20250728,160000,268.24,269.21,268.13,269.09,11026,0
LHX.US,5,20250728,160500,269.3899,269.415,268.51,268.675,5492,0
LHX.US,5,20250728,161000,268.85,269.33,268.77,269.11,4576,0
LHX.US,5,20250728,161500,269.06,269.32,268.48,268.74,8733,0
LHX.US,5,20250728,162000,268.62,268.95,268.5,268.5,3306,0
LHX.US,5,20250728,162500,268.6764,268.68,268.4,268.4873,3528,0
LHX.US,5,20250728,163000,268.32,268.47,268,268.47,6429,0
LHX.US,5,20250728,163500,268.39,268.39,267.875,267.875,6107,0
LHX.US,5,20250728,164000,267.76,268.625,267.7524,268.51,5883,0
LHX.US,5,20250728,164500,268.5,268.71,268.48,268.56,7561,0
LHX.US,5,20250728,165000,268.51,268.64,267.98,268.03,4995,0
LHX.US,5,20250728,165500,267.98,268.355,267.9,268.265,4923,0
LHX.US,5,20250728,170000,268.265,268.3399,268.02,268.135,11628,0
LHX.US,5,20250728,170500,268.14,268.26,267.89,268.03,6911,0
LHX.US,5,20250728,171000,267.995,268.16,267.82,268.115,6465,0
LHX.US,5,20250728,171500,268.2553,268.39,268.13,268.345,6602,0
LHX.US,5,20250728,172000,268.345,268.78,268.345,268.78,7247,0
LHX.US,5,20250728,172500,268.795,268.795,268.55,268.6,5307,0
LHX.US,5,20250728,173000,268.56,268.805,268.5,268.75,2424,0
LHX.US,5,20250728,173500,268.88,269.08,268.77,268.96,3133,0
LHX.US,5,20250728,174000,268.975,268.975,268.77,268.83,1500,0
LHX.US,5,20250728,174500,268.9115,268.9115,268.75,268.81,2867,0
