<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LLY.US,5,20250728,153000,812.64,820.22,810.78,815.67,67844,0
LLY.US,5,20250728,153500,816.24,817.411,814.11,814.11,18232,0
LLY.US,5,20250728,154000,814.11,816.9899,814.005,814.57,17463,0
LLY.US,5,20250728,154500,814.14,814.44,812.025,812.2,21165,0
LLY.US,5,20250728,155000,813.0235,815.59,812.25,815.57,12321,0
LLY.US,5,20250728,155500,815.5,815.5,811.33,811.33,16184,0
LLY.US,5,20250728,160000,811.33,811.9,809.485,811.13,46416,0
LLY.US,5,20250728,160500,810.435,814.3099,810.435,814.025,15121,0
LLY.US,5,20250728,161000,813.51,814.6099,812.76,814.49,9598,0
LLY.US,5,20250728,161500,814.61,815.8182,814.04,815.76,13372,0
LLY.US,5,20250728,162000,816,817,815.3482,815.7854,5844,0
LLY.US,5,20250728,162500,816.4932,816.9999,813.27,814.36,18450,0
LLY.US,5,20250728,163000,815.33,816.0449,814.35,815.42,8827,0
LLY.US,5,20250728,163500,815.415,816.22,814.23,814.62,17129,0
LLY.US,5,20250728,164000,814.62,816.2,814.235,815.4,31931,0
LLY.US,5,20250728,164500,815.7902,816.4713,815.28,815.985,22623,0
LLY.US,5,20250728,165000,815.95,815.95,814.15,815,45115,0
LLY.US,5,20250728,165500,815.42,815.59,814.471,815,7898,0
LLY.US,5,20250728,170000,815.115,815.23,814.4201,814.6828,4587,0
LLY.US,5,20250728,170500,815,815.3138,814.56,814.995,6546,0
LLY.US,5,20250728,171000,814.75,815.15,814.55,814.98,4701,0
LLY.US,5,20250728,171500,814.995,815.085,813.405,813.78,11844,0
LLY.US,5,20250728,172000,813.16,813.16,811.59,812.69,13029,0
LLY.US,5,20250728,172500,812.7,814.47,812.68,813.38,15119,0
LLY.US,5,20250728,173000,813.18,813.46,812.2333,812.585,6923,0
LLY.US,5,20250728,173500,812.6878,814.4799,812.495,813.94,7738,0
LLY.US,5,20250728,174000,814.16,814.35,813.5,813.885,7510,0
LLY.US,5,20250728,174500,814.26,814.31,813.295,814.18,5098,0
LLY.US,5,20250728,175000,814.48,815.95,814.41,815.445,9554,0
LLY.US,5,20250728,175500,815.63,816.51,815.43,816.51,3057,0
LLY.US,5,20250728,180000,816.51,817.75,816.04,817.5825,11462,0
