<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOMA.US,5,20250728,153000,11.7,11.88,11.64,11.87,7550,0
LOMA.US,5,20250728,153500,11.78,11.81,11.78,11.81,400,0
LOMA.US,5,20250728,154000,11.805,11.83,11.8,11.83,583,0
LOMA.US,5,20250728,154500,11.785,11.89,11.7375,11.89,5359,0
LOMA.US,5,20250728,155000,11.795,11.92,11.785,11.92,4362,0
LOMA.US,5,20250728,155500,11.895,11.895,11.835,11.835,200,0
LOMA.US,5,20250728,160000,11.895,11.915,11.82,11.9,6128,0
LOMA.US,5,20250728,160500,11.915,11.92,11.86,11.875,21636,0
LOMA.US,5,20250728,161000,11.9,11.9,11.75,11.76,11632,0
LOMA.US,5,20250728,161500,11.785,11.84,11.785,11.8,5840,0
LOMA.US,5,20250728,162000,11.8,11.8,11.695,11.79,14907,0
LOMA.US,5,20250728,162500,11.775,11.808,11.74,11.74,913,0
LOMA.US,5,20250728,163000,11.79,11.79,11.77,11.77,377,0
LOMA.US,5,20250728,163500,11.7625,11.7625,11.7625,11.7625,100,0
LOMA.US,5,20250728,164000,11.77,11.8491,11.765,11.8491,2100,0
LOMA.US,5,20250728,164500,11.845,11.845,11.845,11.845,200,0
LOMA.US,5,20250728,165000,11.7899,11.83,11.7899,11.815,1926,0
LOMA.US,5,20250728,165500,11.785,11.83,11.785,11.83,300,0
LOMA.US,5,20250728,170000,11.7845,11.7845,11.7845,11.7845,100,0
LOMA.US,5,20250728,170500,11.7693,11.84,11.7693,11.84,690,0
LOMA.US,5,20250728,171000,11.855,11.865,11.81,11.865,1001,0
LOMA.US,5,20250728,171500,11.865,11.95,11.85,11.91,12459,0
LOMA.US,5,20250728,172000,11.915,11.93,11.89,11.89,1540,0
LOMA.US,5,20250728,172500,11.885,11.95,11.885,11.92,755,0
LOMA.US,5,20250728,173500,11.94,11.94,11.93,11.93,600,0
LOMA.US,5,20250728,174000,11.92,11.92,11.92,11.92,200,0
LOMA.US,5,20250728,174500,11.94,11.94,11.93,11.94,824,0
LOMA.US,5,20250728,175000,11.9092,11.92,11.8941,11.91,3400,0
LOMA.US,5,20250728,175500,11.91,11.91,11.84,11.84,6986,0
LOMA.US,5,20250728,180000,11.91,11.92,11.875,11.875,1040,0
LOMA.US,5,20250728,180500,11.85,11.8502,11.825,11.825,1780,0
LOMA.US,5,20250728,181000,11.85,11.85,11.785,11.785,1992,0
LOMA.US,5,20250728,181500,11.79,11.83,11.79,11.83,2608,0
LOMA.US,5,20250728,182500,11.83,11.92,11.77,11.77,6460,0
LOMA.US,5,20250728,183000,11.81,11.845,11.81,11.845,500,0
LOMA.US,5,20250728,184000,11.81,11.81,11.81,11.81,2300,0
LOMA.US,5,20250728,184500,11.78,11.84,11.76,11.795,17507,0
LOMA.US,5,20250728,185000,11.79,11.82,11.79,11.81,2514,0
LOMA.US,5,20250728,185500,11.8299,11.92,11.82,11.92,5208,0
