<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LU.US,5,20250728,153000,2.96,2.99,2.955,2.97,206112,0
LU.US,5,20250728,153500,2.9713,2.975,2.95,2.955,37532,0
LU.US,5,20250728,154000,2.951,2.98,2.951,2.98,93915,0
LU.US,5,20250728,154500,2.985,2.99,2.9789,2.98,98664,0
LU.US,5,20250728,155000,2.98,2.99,2.97,2.975,79286,0
LU.US,5,20250728,155500,2.98,2.99,2.97,2.9789,84712,0
LU.US,5,20250728,160000,2.97,2.97,2.94,2.94,140205,0
LU.US,5,20250728,160500,2.9401,2.95,2.94,2.94,67538,0
LU.US,5,20250728,161000,2.94,2.945,2.94,2.94,14224,0
LU.US,5,20250728,161500,2.945,2.95,2.94,2.94,13574,0
LU.US,5,20250728,162000,2.945,2.95,2.94,2.945,8382,0
LU.US,5,20250728,162500,2.945,2.95,2.93,2.935,68023,0
LU.US,5,20250728,163000,2.935,2.9399,2.93,2.935,19833,0
LU.US,5,20250728,163500,2.935,2.935,2.93,2.935,6819,0
LU.US,5,20250728,164000,2.935,2.94,2.93,2.935,55136,0
LU.US,5,20250728,164500,2.935,2.935,2.93,2.935,10280,0
LU.US,5,20250728,165000,2.935,2.94,2.93,2.935,21545,0
LU.US,5,20250728,165500,2.935,2.94,2.93,2.935,26060,0
LU.US,5,20250728,170000,2.935,2.94,2.93,2.935,6669,0
LU.US,5,20250728,170500,2.935,2.94,2.93,2.94,87323,0
LU.US,5,20250728,171000,2.94,2.94,2.93,2.935,84457,0
LU.US,5,20250728,171500,2.93,2.935,2.92,2.925,33452,0
LU.US,5,20250728,172000,2.92,2.9288,2.92,2.92,33421,0
LU.US,5,20250728,172500,2.925,2.925,2.91,2.915,57134,0
LU.US,5,20250728,173000,2.915,2.919,2.91,2.915,9234,0
LU.US,5,20250728,173500,2.915,2.92,2.91,2.915,42224,0
LU.US,5,20250728,174000,2.915,2.92,2.91,2.915,13039,0
LU.US,5,20250728,174500,2.9101,2.92,2.91,2.915,10839,0
LU.US,5,20250728,175000,2.915,2.92,2.91,2.915,13149,0
LU.US,5,20250728,175500,2.915,2.9199,2.91,2.915,11475,0
LU.US,5,20250728,180000,2.91,2.92,2.91,2.915,4887,0
LU.US,5,20250728,180500,2.915,2.9198,2.91,2.91,14464,0
LU.US,5,20250728,181000,2.91,2.92,2.91,2.91,25508,0
LU.US,5,20250728,181500,2.91,2.92,2.91,2.91,11095,0
LU.US,5,20250728,182000,2.9101,2.9101,2.905,2.905,43005,0
LU.US,5,20250728,182500,2.9,2.91,2.89,2.89,156917,0
LU.US,5,20250728,183000,2.895,2.895,2.88,2.88,57612,0
LU.US,5,20250728,183500,2.88,2.8855,2.8601,2.87,267412,0
LU.US,5,20250728,184000,2.87,2.875,2.8684,2.875,38248,0
LU.US,5,20250728,184500,2.875,2.875,2.87,2.87,47300,0
LU.US,5,20250728,185000,2.87,2.88,2.87,2.87,35735,0
LU.US,5,20250728,185500,2.87,2.8788,2.87,2.87,29139,0
LU.US,5,20250728,190000,2.87,2.875,2.8648,2.865,26232,0
LU.US,5,20250728,190500,2.865,2.8697,2.865,2.865,15943,0
LU.US,5,20250728,191000,2.865,2.869,2.86,2.86,8889,0
LU.US,5,20250728,191500,2.8601,2.865,2.86,2.865,20265,0
LU.US,5,20250728,192000,2.865,2.87,2.8601,2.865,18022,0
LU.US,5,20250728,192500,2.862,2.87,2.8602,2.865,6007,0
LU.US,5,20250728,193000,2.865,2.8689,2.86,2.865,7439,0
LU.US,5,20250728,193500,2.865,2.865,2.86,2.86,3446,0
LU.US,5,20250728,194000,2.87,2.89,2.865,2.885,190042,0
LU.US,5,20250728,194500,2.885,2.89,2.88,2.885,21515,0
LU.US,5,20250728,195000,2.885,2.89,2.88,2.885,6532,0
LU.US,5,20250728,195500,2.885,2.89,2.88,2.885,4860,0
LU.US,5,20250728,200000,2.89,2.89,2.885,2.885,13567,0
LU.US,5,20250728,200500,2.89,2.89,2.88,2.885,5282,0
LU.US,5,20250728,201000,2.885,2.89,2.88,2.885,3226,0
LU.US,5,20250728,201500,2.885,2.89,2.88,2.885,3243,0
LU.US,5,20250728,202000,2.885,2.885,2.885,2.885,2105,0
LU.US,5,20250728,202500,2.885,2.89,2.885,2.89,18506,0
LU.US,5,20250728,203000,2.89,2.89,2.885,2.885,6473,0
LU.US,5,20250728,203500,2.885,2.885,2.885,2.885,1833,0
LU.US,5,20250728,204000,2.885,2.89,2.885,2.885,1600,0
LU.US,5,20250728,204500,2.885,2.885,2.885,2.885,1900,0
LU.US,5,20250728,205000,2.885,2.8898,2.885,2.885,2143,0
LU.US,5,20250728,205500,2.885,2.885,2.88,2.885,4201,0
LU.US,5,20250728,210000,2.885,2.8898,2.8803,2.885,4096,0
LU.US,5,20250728,210500,2.885,2.885,2.88,2.885,1743,0
LU.US,5,20250728,211000,2.885,2.8889,2.88,2.885,4882,0
LU.US,5,20250728,211500,2.885,2.885,2.885,2.885,3443,0
LU.US,5,20250728,212000,2.885,2.885,2.885,2.885,2804,0
LU.US,5,20250728,212500,2.885,2.8899,2.8801,2.885,3728,0
LU.US,5,20250728,213000,2.885,2.885,2.8701,2.875,53544,0
LU.US,5,20250728,213500,2.875,2.88,2.87,2.87,11009,0
LU.US,5,20250728,214000,2.875,2.88,2.87,2.875,13822,0
LU.US,5,20250728,214500,2.875,2.88,2.87,2.875,15674,0
LU.US,5,20250728,215000,2.875,2.875,2.87,2.875,30946,0
LU.US,5,20250728,215500,2.875,2.88,2.87,2.88,116677,0
LU.US,5,20250729,153000,2.88,2.88,2.855,2.855,79950,0
LU.US,5,20250729,153500,2.86,2.87,2.8552,2.8608,30830,0
LU.US,5,20250729,154000,2.865,2.88,2.865,2.865,21250,0
LU.US,5,20250729,154500,2.87,2.88,2.87,2.8774,7210,0
LU.US,5,20250729,155000,2.875,2.8794,2.86,2.865,14309,0
LU.US,5,20250729,155500,2.87,2.87,2.82,2.82,361655,0
LU.US,5,20250729,160000,2.83,2.84,2.825,2.835,52811,0
LU.US,5,20250729,160500,2.835,2.84,2.83,2.835,56632,0
LU.US,5,20250729,161000,2.835,2.84,2.83,2.835,19490,0
LU.US,5,20250729,161500,2.835,2.85,2.83,2.848,51729,0
LU.US,5,20250729,162000,2.845,2.855,2.841,2.85,20030,0
LU.US,5,20250729,162500,2.855,2.855,2.84,2.848,27655,0
LU.US,5,20250729,163000,2.8452,2.85,2.84,2.848,5860,0
LU.US,5,20250729,163500,2.85,2.85,2.84,2.84,5350,0
LU.US,5,20250729,164000,2.85,2.85,2.84,2.8401,16502,0
LU.US,5,20250729,164500,2.84,2.845,2.84,2.84,34199,0
LU.US,5,20250729,165000,2.8411,2.845,2.83,2.83,35907,0
LU.US,5,20250729,165500,2.835,2.84,2.83,2.835,18085,0
LU.US,5,20250729,170000,2.835,2.84,2.83,2.83,10835,0
LU.US,5,20250729,170500,2.835,2.838,2.83,2.83,1971,0
LU.US,5,20250729,171000,2.84,2.84,2.83,2.83,3494,0
LU.US,5,20250729,171500,2.835,2.84,2.83,2.838,4390,0
LU.US,5,20250729,172000,2.835,2.84,2.83,2.838,7000,0
LU.US,5,20250729,172500,2.83,2.838,2.825,2.825,32319,0
LU.US,5,20250729,173000,2.82,2.83,2.82,2.8202,44534,0
LU.US,5,20250729,173500,2.825,2.825,2.82,2.825,2300,0
LU.US,5,20250729,174000,2.821,2.825,2.82,2.825,2700,0
LU.US,5,20250729,174500,2.825,2.83,2.82,2.83,4100,0
LU.US,5,20250729,175000,2.828,2.83,2.825,2.828,16200,0
LU.US,5,20250729,175500,2.82,2.828,2.82,2.82,3017,0
LU.US,5,20250729,180000,2.83,2.84,2.825,2.84,55854,0
LU.US,5,20250729,180500,2.835,2.84,2.835,2.84,4600,0
LU.US,5,20250729,181000,2.839,2.84,2.83,2.838,5907,0
LU.US,5,20250729,181500,2.839,2.84,2.83,2.835,4076,0
LU.US,5,20250729,182000,2.838,2.838,2.83,2.835,9200,0
LU.US,5,20250729,182500,2.83,2.835,2.83,2.835,1639,0
LU.US,5,20250729,183000,2.83,2.84,2.83,2.83,1100,0
LU.US,5,20250729,183500,2.835,2.835,2.83,2.835,1000,0
LU.US,5,20250729,184000,2.835,2.835,2.83,2.835,1047,0
LU.US,5,20250729,184500,2.83,2.84,2.83,2.835,1600,0
LU.US,5,20250729,185000,2.83,2.835,2.83,2.835,1200,0
LU.US,5,20250729,185500,2.83,2.8388,2.815,2.815,68686,0
LU.US,5,20250729,190000,2.815,2.82,2.81,2.815,13996,0
LU.US,5,20250729,190500,2.815,2.8189,2.81,2.81,7774,0
LU.US,5,20250729,191000,2.815,2.8198,2.81,2.81,2080,0
LU.US,5,20250729,191500,2.81,2.82,2.81,2.815,44281,0
LU.US,5,20250729,192000,2.815,2.825,2.81,2.825,46305,0
LU.US,5,20250729,192500,2.825,2.825,2.825,2.825,2100,0
