<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LXP.US,5,20250728,153000,39.8699,40.0767,39.5236,39.5497,7446.323777643,0
LXP.US,5,20250728,153500,39.5024,39.599,39.5024,39.5409,2696.91939300428,0
LXP.US,5,20250728,154000,39.5251,39.5251,39.4758,39.4758,1415.9689713778398,0
LXP.US,5,20250728,154500,39.5005,39.6482,39.4758,39.4758,3622.5578416007193,0
LXP.US,5,20250728,155000,39.5005,39.5492,39.4512,39.4512,5817.167622447159,0
LXP.US,5,20250728,155500,39.4512,39.4512,39.3281,39.3281,6098.37166967376,0
LXP.US,5,20250728,160000,39.3281,39.402,39.3281,39.3527,3317.3956156212403,0
LXP.US,5,20250728,160500,39.3774,39.4266,39.2788,39.2788,3526.7251265891996,0
LXP.US,5,20250728,161000,39.2788,39.3774,39.2788,39.3774,3729.15143350972,0
LXP.US,5,20250728,161500,39.3527,39.3527,39.2764,39.3527,8211.36121442988,0
LXP.US,5,20250728,162000,39.3281,39.3281,39.1804,39.2296,8558.14570010716,0
LXP.US,5,20250728,162500,39.2542,39.3035,39.2542,39.2759,4450.5362564672,0
LXP.US,5,20250728,163000,39.3035,39.3847,39.3035,39.3281,7156.59224306368,0
LXP.US,5,20250728,163500,39.3281,39.3281,39.2542,39.3281,7501.346374609359,0
LXP.US,5,20250728,164000,39.3281,39.3774,39.3281,39.3774,4564.03305242364,0
LXP.US,5,20250728,164500,39.3774,39.3774,39.3281,39.3281,1087.2546374718,0
LXP.US,5,20250728,165000,39.3527,39.402,39.3281,39.3281,2493.88397984428,0
LXP.US,5,20250728,165500,39.3035,39.3774,39.3035,39.3281,4136.64350772184,0
LXP.US,5,20250728,170000,39.3281,39.3527,39.3035,39.3281,3225.62360887292,0
LXP.US,5,20250728,170500,39.3281,39.3527,39.3035,39.3035,639.1554806276799,0
LXP.US,5,20250728,171000,39.3527,39.3527,39.3281,39.3281,438.96256325192,0
LXP.US,5,20250728,171500,39.3527,39.3527,39.205,39.205,7182.986846774479,0
LXP.US,5,20250728,172000,39.2296,39.3527,39.2296,39.3527,5520.12681299408,0
LXP.US,5,20250728,172500,39.3281,39.3527,39.2282,39.2296,4192.681281754,0
LXP.US,5,20250728,173000,39.2296,39.2296,39.2296,39.2296,793.8684654556,0
LXP.US,5,20250728,173500,39.2296,39.2788,39.1804,39.1804,5160.145025461399,0
LXP.US,5,20250728,174000,39.1804,39.205,39.1558,39.205,2632.96323785888,0
LXP.US,5,20250728,174500,39.1804,39.205,39.1804,39.205,1934.31838117532,0
LXP.US,5,20250728,175000,39.205,39.2542,39.1804,39.2296,4505.3558180204,0
LXP.US,5,20250728,175500,39.2296,39.2542,39.2296,39.2296,3144.61247902208,0
LXP.US,5,20250728,180000,39.2296,39.2542,39.205,39.2449,935.79021925444,0
LXP.US,5,20250728,180500,39.2542,39.2542,39.2296,39.2296,514.28870153428,0
LXP.US,5,20250728,181000,39.2296,39.2296,39.1558,39.1558,3072.1288365239598,0
LXP.US,5,20250728,181500,39.1804,39.1804,39.1804,39.1804,1088.06677912444,0
LXP.US,5,20250728,182000,39.1804,39.1804,39.1311,39.1311,2097.76188876912,0
LXP.US,5,20250728,182500,39.107,39.1336,39.1065,39.1065,1019.0347386500398,0
LXP.US,5,20250728,183000,39.1311,39.1558,39.1311,39.1558,939.44485669132,0
LXP.US,5,20250728,183500,39.1311,39.1558,39.1065,39.1311,4982.4890389464,0
LXP.US,5,20250728,184000,39.1065,39.1558,39.1065,39.1311,2168.21517713564,0
LXP.US,5,20250728,184500,39.1282,39.1558,39.1065,39.1311,762.19494100264,0
LXP.US,5,20250728,185000,39.1065,39.1558,39.1065,39.1311,499.26408096043997,0
LXP.US,5,20250728,185500,39.1311,39.1311,39.0818,39.0818,1379.82866783536,0
LXP.US,5,20250728,190000,39.0818,39.1558,39.0621,39.1311,4621.695109761079,0
LXP.US,5,20250728,190500,39.1558,39.1558,39.0572,39.0572,3068.6772345002396,0
LXP.US,5,20250728,191000,39.0991,39.0991,38.9094,38.9341,3901.9345701088796,0
LXP.US,5,20250728,191500,38.9341,39.0572,38.9341,38.9833,19624.184823566637,0
LXP.US,5,20250728,192000,38.9833,39.008,38.9587,38.9587,35088.377066898036,0
LXP.US,5,20250728,192500,38.9833,38.9833,38.8838,38.9341,17547.74165317932,0
LXP.US,5,20250728,193000,38.9341,38.9587,38.9134,38.9587,8252.17133247504,0
LXP.US,5,20250728,193500,38.9578,39.008,38.9444,39.008,9780.215851917199,0
LXP.US,5,20250728,194000,38.9587,39.008,38.9587,38.9833,582.10252952972,0
LXP.US,5,20250728,194500,38.9833,39.008,38.9676,39.008,887.8738617486799,0
LXP.US,5,20250728,195000,39.008,39.0572,38.9587,39.0326,7252.424958075199,0
LXP.US,5,20250728,195500,39.0326,39.0572,38.9587,38.9833,14741.99527872128,0
LXP.US,5,20250728,200000,39.008,39.008,38.9094,38.9341,12354.90792619916,0
LXP.US,5,20250728,200500,38.9341,38.9587,38.9094,38.9094,7910.8688029530795,0
LXP.US,5,20250728,201000,38.9341,39.0572,38.9341,39.0326,31519.2175389584,0
LXP.US,5,20250728,201500,39.0326,39.0818,38.9587,38.9587,24183.5480614876,0
LXP.US,5,20250728,202000,38.9833,39.1065,38.9833,39.0818,9654.333895758,0
LXP.US,5,20250728,202500,39.0572,39.1558,39.008,39.1311,17587.53659415868,0
LXP.US,5,20250728,203000,39.1311,39.1804,39.0808,39.1804,44533.17841627492,0
