<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MER_K.US,5,20250728,153000,25.2701,25.2701,25.2701,25.2701,166,0
MER_K.US,5,20250728,154500,25.2794,25.2899,25.2794,25.2898,5500,0
MER_K.US,5,20250728,155500,25.29,25.29,25.29,25.29,100,0
MER_K.US,5,20250728,161500,25.2784,25.29,25.27,25.27,700,0
MER_K.US,5,20250728,162500,25.29,25.29,25.29,25.29,100,0
MER_K.US,5,20250728,164000,25.27,25.273,25.2623,25.2623,3712,0
MER_K.US,5,20250728,165000,25.26,25.26,25.26,25.26,100,0
MER_K.US,5,20250728,173500,25.26,25.26,25.26,25.26,1238,0
MER_K.US,5,20250728,175000,25.25,25.28,25.25,25.28,2000,0
MER_K.US,5,20250728,180000,25.2518,25.2518,25.2518,25.2518,1000,0
MER_K.US,5,20250728,182000,25.26,25.26,25.26,25.26,100,0
MER_K.US,5,20250728,190000,25.25,25.252,25.25,25.252,2725,0
MER_K.US,5,20250728,190500,25.25,25.2525,25.25,25.2525,1339,0
MER_K.US,5,20250728,191500,25.25,25.25,25.24,25.2441,1700,0
MER_K.US,5,20250728,192500,25.25,25.25,25.24,25.2473,716,0
MER_K.US,5,20250728,193000,25.2312,25.2473,25.2312,25.2473,993,0
MER_K.US,5,20250728,194500,25.24,25.24,25.24,25.24,100,0
MER_K.US,5,20250728,195500,25.25,25.25,25.25,25.25,6000,0
MER_K.US,5,20250728,203000,25.2402,25.2402,25.2402,25.2402,300,0
MER_K.US,5,20250728,204500,25.2453,25.2453,25.2453,25.2453,800,0
MER_K.US,5,20250728,211000,25.255,25.255,25.255,25.255,400,0
MER_K.US,5,20250728,212000,25.25,25.25,25.25,25.25,230,0
MER_K.US,5,20250728,212500,25.25,25.25,25.25,25.25,100,0
MER_K.US,5,20250728,213000,25.25,25.25,25.24,25.25,800,0
MER_K.US,5,20250728,214000,25.245,25.245,25.245,25.245,393,0
MER_K.US,5,20250728,215500,25.25,25.25,25.25,25.25,100,0
MER_K.US,5,20250729,155500,25.25,25.25,25.25,25.25,700,0
MER_K.US,5,20250729,160500,25.27,25.28,25.27,25.27,5800,0
MER_K.US,5,20250729,162000,25.27,25.27,25.27,25.27,773,0
MER_K.US,5,20250729,162500,25.27,25.27,25.27,25.27,344,0
MER_K.US,5,20250729,163000,25.28,25.28,25.27,25.27,815,0
MER_K.US,5,20250729,164000,25.28,25.28,25.28,25.28,200,0
MER_K.US,5,20250729,164500,25.28,25.28,25.265,25.265,1192,0
MER_K.US,5,20250729,165500,25.275,25.275,25.26,25.27,2092,0
MER_K.US,5,20250729,170000,25.285,25.285,25.28,25.28,600,0
MER_K.US,5,20250729,170500,25.2848,25.29,25.2848,25.29,2269,0
MER_K.US,5,20250729,171000,25.28,25.28,25.28,25.28,400,0
MER_K.US,5,20250729,171500,25.285,25.285,25.285,25.285,100,0
MER_K.US,5,20250729,172000,25.29,25.29,25.26,25.26,996,0
MER_K.US,5,20250729,172500,25.27,25.27,25.26,25.26,26599,0
MER_K.US,5,20250729,173500,25.27,25.27,25.27,25.27,740,0
MER_K.US,5,20250729,174000,25.27,25.27,25.26,25.26,500,0
MER_K.US,5,20250729,174500,25.27,25.27,25.27,25.27,5363,0
MER_K.US,5,20250729,175000,25.27,25.27,25.27,25.27,443,0
MER_K.US,5,20250729,175500,25.275,25.275,25.275,25.275,200,0
